level_0,index,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
0,Treasury Shares Number,0.0,,,
1,Ordinary Shares Number,15550061000.0,15943425000.0,16426786000.0,16976763000.0
2,Share Issued,15550061000.0,15943425000.0,16426786000.0,16976763000.0
3,Net Debt,81123000000.0,96423000000.0,89779000000.0,74420000000.0
4,Total Debt,111088000000.0,120069000000.0,124719000000.0,112436000000.0
5,Tangible Book Value,62146000000.0,50672000000.0,63090000000.0,65339000000.0
6,Invested Capital,173234000000.0,170741000000.0,187809000000.0,177775000000.0
7,Working Capital,-1742000000.0,-18577000000.0,9355000000.0,38321000000.0
8,Net Tangible Assets,62146000000.0,50672000000.0,63090000000.0,65339000000.0
9,Common Stock Equity,62146000000.0,50672000000.0,63090000000.0,65339000000.0
10,Total Capitalization,157427000000.0,149631000000.0,172196000000.0,164006000000.0
11,Total Equity Gross Minority Interest,62146000000.0,50672000000.0,63090000000.0,65339000000.0
12,Stockholders Equity,62146000000.0,50672000000.0,63090000000.0,65339000000.0
13,Gains Losses Not Affecting Retained Earnings,-11452000000.0,-11109000000.0,163000000.0,-406000000.0
14,Other Equity Adjustments,-11452000000.0,-11109000000.0,163000000.0,-406000000.0
15,Retained Earnings,-214000000.0,-3068000000.0,5562000000.0,14966000000.0
16,Capital Stock,73812000000.0,64849000000.0,57365000000.0,50779000000.0
17,Common Stock,73812000000.0,64849000000.0,57365000000.0,50779000000.0
18,Total Liabilities Net Minority Interest,290437000000.0,302083000000.0,287912000000.0,258549000000.0
19,Total Non Current Liabilities Net Minority Interest,145129000000.0,148101000000.0,162431000000.0,153157000000.0
20,Other Non Current Liabilities,34391000000.0,32485000000.0,28636000000.0,26320000000.0
21,Tradeand Other Payables Non Current,15457000000.0,16657000000.0,24689000000.0,28170000000.0
22,Long Term Debt And Capital Lease Obligation,95281000000.0,98959000000.0,109106000000.0,98667000000.0
23,Long Term Debt,95281000000.0,98959000000.0,109106000000.0,98667000000.0
24,Current Liabilities,145308000000.0,153982000000.0,125481000000.0,105392000000.0
25,Other Current Liabilities,58829000000.0,60845000000.0,47493000000.0,42684000000.0
26,Current Deferred Liabilities,8061000000.0,7912000000.0,7612000000.0,6643000000.0
27,Current Deferred Revenue,8061000000.0,7912000000.0,7612000000.0,6643000000.0
28,Current Debt And Capital Lease Obligation,15807000000.0,21110000000.0,15613000000.0,13769000000.0
29,Current Debt,15807000000.0,21110000000.0,15613000000.0,13769000000.0
30,Other Current Borrowings,9822000000.0,11128000000.0,9613000000.0,8773000000.0
31,Commercial Paper,5985000000.0,9982000000.0,6000000000.0,4996000000.0
32,Payables And Accrued Expenses,62611000000.0,64115000000.0,54763000000.0,42296000000.0
33,Payables,62611000000.0,64115000000.0,54763000000.0,42296000000.0
34,Accounts Payable,62611000000.0,64115000000.0,54763000000.0,42296000000.0
35,Total Assets,352583000000.0,352755000000.0,351002000000.0,323888000000.0
36,Total Non Current Assets,209017000000.0,217350000000.0,216166000000.0,180175000000.0
37,Other Non Current Assets,46906000000.0,39053000000.0,48849000000.0,42522000000.0
38,Non Current Deferred Assets,17852000000.0,15375000000.0,,
39,Non Current Deferred Taxes Assets,17852000000.0,15375000000.0,,
40,Investments And Advances,100544000000.0,120805000000.0,127877000000.0,100887000000.0
41,Other Investments,,120805000000.0,127877000000.0,100887000000.0
42,Investmentin Financial Assets,100544000000.0,120805000000.0,127877000000.0,100887000000.0
43,Available For Sale Securities,100544000000.0,120805000000.0,127877000000.0,100887000000.0
44,Net PPE,43715000000.0,42117000000.0,39440000000.0,36766000000.0
45,Accumulated Depreciation,-70884000000.0,-72340000000.0,-70283000000.0,-66760000000.0
46,Gross PPE,114599000000.0,114457000000.0,109723000000.0,103526000000.0
47,Leases,12839000000.0,11271000000.0,11023000000.0,10283000000.0
48,Machinery Furniture Equipment,78314000000.0,81060000000.0,78659000000.0,75291000000.0
49,Land And Improvements,23446000000.0,22126000000.0,20041000000.0,17952000000.0
50,Properties,0.0,0.0,0.0,0.0
51,Current Assets,143566000000.0,135405000000.0,134836000000.0,143713000000.0
52,Other Current Assets,14695000000.0,21223000000.0,14111000000.0,11264000000.0
53,Inventory,6331000000.0,4946000000.0,6580000000.0,4061000000.0
54,Receivables,60985000000.0,60932000000.0,51506000000.0,37445000000.0
55,Other Receivables,31477000000.0,32748000000.0,25228000000.0,21325000000.0
56,Accounts Receivable,29508000000.0,28184000000.0,26278000000.0,16120000000.0
57,Cash Cash Equivalents And Short Term Investments,61555000000.0,48304000000.0,62639000000.0,90943000000.0
58,Other Short Term Investments,31590000000.0,24658000000.0,27699000000.0,52927000000.0
59,Cash And Cash Equivalents,29965000000.0,23646000000.0,34940000000.0,38016000000.0
60,Cash Equivalents,1606000000.0,5100000000.0,17635000000.0,20243000000.0
61,Cash Financial,28359000000.0,18546000000.0,17305000000.0,17773000000.0
