level_0,index,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
0,Free Cash Flow,99584000000.0,111443000000.0,92953000000.0,73365000000.0
1,Repurchase Of Capital Stock,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0
2,Repayment Of Debt,-11151000000.0,-9543000000.0,-8750000000.0,-12629000000.0
3,Issuance Of Debt,5228000000.0,5465000000.0,20393000000.0,16091000000.0
4,Issuance Of Capital Stock,,,1105000000.0,880000000.0
5,Capital Expenditure,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
6,Interest Paid Supplemental Data,3803000000.0,2865000000.0,2687000000.0,3002000000.0
7,Income Tax Paid Supplemental Data,18679000000.0,19573000000.0,25385000000.0,9501000000.0
8,End Cash Position,30737000000.0,24977000000.0,35929000000.0,39789000000.0
9,Beginning Cash Position,24977000000.0,35929000000.0,39789000000.0,50224000000.0
10,Changes In Cash,5760000000.0,-10952000000.0,-3860000000.0,-10435000000.0
11,Financing Cash Flow,-108488000000.0,-110749000000.0,-93353000000.0,-86820000000.0
12,Cash Flow From Continuing Financing Activities,-108488000000.0,-110749000000.0,-93353000000.0,-86820000000.0
13,Net Other Financing Charges,-6012000000.0,-6383000000.0,-5580000000.0,-2880000000.0
14,Cash Dividends Paid,-15025000000.0,-14841000000.0,-14467000000.0,-14081000000.0
15,Common Stock Dividend Paid,-15025000000.0,-14841000000.0,-14467000000.0,-14081000000.0
16,Net Common Stock Issuance,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0
17,Common Stock Payments,-77550000000.0,-89402000000.0,-85971000000.0,-72358000000.0
18,Common Stock Issuance,,,1105000000.0,880000000.0
19,Net Issuance Payments Of Debt,-9901000000.0,-123000000.0,12665000000.0,2499000000.0
20,Net Short Term Debt Issuance,-3978000000.0,3955000000.0,1022000000.0,-963000000.0
21,Net Long Term Debt Issuance,-5923000000.0,-4078000000.0,11643000000.0,3462000000.0
22,Long Term Debt Payments,-11151000000.0,-9543000000.0,-8750000000.0,-12629000000.0
23,Long Term Debt Issuance,5228000000.0,5465000000.0,20393000000.0,16091000000.0
24,Investing Cash Flow,3705000000.0,-22354000000.0,-14545000000.0,-4289000000.0
25,Cash Flow From Continuing Investing Activities,3705000000.0,-22354000000.0,-14545000000.0,-4289000000.0
26,Net Other Investing Changes,-1337000000.0,-2086000000.0,-385000000.0,-909000000.0
27,Net Investment Purchase And Sale,16001000000.0,-9560000000.0,-3075000000.0,5453000000.0
28,Sale Of Investment,45514000000.0,67363000000.0,106483000000.0,120391000000.0
29,Purchase Of Investment,-29513000000.0,-76923000000.0,-109558000000.0,-114938000000.0
30,Net Business Purchase And Sale,,-306000000.0,-33000000.0,-1524000000.0
31,Purchase Of Business,,-306000000.0,-33000000.0,-1524000000.0
32,Net PPE Purchase And Sale,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
33,Purchase Of PPE,-10959000000.0,-10708000000.0,-11085000000.0,-7309000000.0
34,Operating Cash Flow,110543000000.0,122151000000.0,104038000000.0,80674000000.0
35,Cash Flow From Continuing Operating Activities,110543000000.0,122151000000.0,104038000000.0,80674000000.0
36,Change In Working Capital,-6577000000.0,1200000000.0,-4911000000.0,5690000000.0
37,Change In Other Working Capital,,478000000.0,1676000000.0,2081000000.0
38,Change In Other Current Liabilities,3031000000.0,6110000000.0,7475000000.0,8916000000.0
39,Change In Other Current Assets,-5684000000.0,-6499000000.0,-8042000000.0,-9588000000.0
40,Change In Payables And Accrued Expense,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
41,Change In Payable,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
42,Change In Account Payable,-1889000000.0,9448000000.0,12326000000.0,-4062000000.0
43,Change In Inventory,-1618000000.0,1484000000.0,-2642000000.0,-127000000.0
44,Change In Receivables,-417000000.0,-9343000000.0,-14028000000.0,8470000000.0
45,Changes In Account Receivables,-1688000000.0,-1823000000.0,-10125000000.0,6917000000.0
46,Other Non Cash Items,-2227000000.0,1006000000.0,-4921000000.0,-97000000.0
47,Stock Based Compensation,10833000000.0,9038000000.0,7906000000.0,6829000000.0
48,Deferred Tax,,895000000.0,-4774000000.0,-215000000.0
49,Deferred Income Tax,,895000000.0,-4774000000.0,-215000000.0
50,Depreciation Amortization Depletion,11519000000.0,11104000000.0,11284000000.0,11056000000.0
51,Depreciation And Amortization,11519000000.0,11104000000.0,11284000000.0,11056000000.0
52,Net Income From Continuing Operations,96995000000.0,99803000000.0,94680000000.0,57411000000.0
