level_0,index,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
1,Tax Rate For Calcs,0.147,0.162,0.133,0.144
2,Normalized EBITDA,129188000000.0,133138000000.0,123136000000.0,81020000000.0
3,Net Income From Continuing Operation Net Minority Interest,96995000000.0,99803000000.0,94680000000.0,57411000000.0
4,Reconciled Depreciation,11519000000.0,11104000000.0,11284000000.0,11056000000.0
5,Reconciled Cost Of Revenue,214137000000.0,223546000000.0,212981000000.0,169559000000.0
6,EBITDA,129188000000.0,133138000000.0,123136000000.0,81020000000.0
7,EBIT,117669000000.0,122034000000.0,111852000000.0,69964000000.0
8,Net Interest Income,-183000000.0,-106000000.0,198000000.0,890000000.0
9,Interest Expense,3933000000.0,2931000000.0,2645000000.0,2873000000.0
10,Interest Income,3750000000.0,2825000000.0,2843000000.0,3763000000.0
11,Normalized Income,96995000000.0,99803000000.0,94680000000.0,57411000000.0
12,Net Income From Continuing And Discontinued Operation,96995000000.0,99803000000.0,94680000000.0,57411000000.0
13,Total Expenses,268984000000.0,274891000000.0,256868000000.0,208227000000.0
14,Total Operating Income As Reported,114301000000.0,119437000000.0,108949000000.0,66288000000.0
15,Diluted Average Shares,15812547000.0,16325819000.0,16864919000.0,17528214000.0
16,Basic Average Shares,15744231000.0,16215963000.0,16701272000.0,17352119000.0
17,Diluted EPS,6.13,6.11,5.61,3.28
18,Basic EPS,6.16,6.15,5.67,3.31
19,Diluted NI Availto Com Stockholders,96995000000.0,99803000000.0,94680000000.0,57411000000.0
20,Net Income Common Stockholders,96995000000.0,99803000000.0,94680000000.0,57411000000.0
21,Net Income,96995000000.0,99803000000.0,94680000000.0,57411000000.0
22,Net Income Including Noncontrolling Interests,96995000000.0,99803000000.0,94680000000.0,57411000000.0
23,Net Income Continuous Operations,96995000000.0,99803000000.0,94680000000.0,57411000000.0
24,Tax Provision,16741000000.0,19300000000.0,14527000000.0,9680000000.0
25,Pretax Income,113736000000.0,119103000000.0,109207000000.0,67091000000.0
26,Other Income Expense,-382000000.0,-228000000.0,60000000.0,-87000000.0
27,Other Non Operating Income Expenses,-382000000.0,-228000000.0,60000000.0,-87000000.0
28,Net Non Operating Interest Income Expense,-183000000.0,-106000000.0,198000000.0,890000000.0
29,Interest Expense Non Operating,3933000000.0,2931000000.0,2645000000.0,2873000000.0
30,Interest Income Non Operating,3750000000.0,2825000000.0,2843000000.0,3763000000.0
31,Operating Income,114301000000.0,119437000000.0,108949000000.0,66288000000.0
32,Operating Expense,54847000000.0,51345000000.0,43887000000.0,38668000000.0
33,Research And Development,29915000000.0,26251000000.0,21914000000.0,18752000000.0
34,Selling General And Administration,24932000000.0,25094000000.0,21973000000.0,19916000000.0
35,Gross Profit,169148000000.0,170782000000.0,152836000000.0,104956000000.0
36,Cost Of Revenue,214137000000.0,223546000000.0,212981000000.0,169559000000.0
37,Total Revenue,383285000000.0,394328000000.0,365817000000.0,274515000000.0
38,Operating Revenue,383285000000.0,394328000000.0,365817000000.0,274515000000.0
