level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Free Cash Flow,32217000000.0,-16893000000.0,-14726000000.0,25924000000.0
1,Repurchase Of Capital Stock,0.0,-6000000000.0,0.0,0.0
2,Repayment Of Debt,-33737000000.0,-46753000000.0,-20506000000.0,-18425000000.0
3,Issuance Of Debt,18129000000.0,62719000000.0,26959000000.0,17321000000.0
4,Capital Expenditure,-52729000000.0,-63645000000.0,-61053000000.0,-40140000000.0
5,Interest Paid Supplemental Data,3112000000.0,2142000000.0,1772000000.0,1630000000.0
6,Income Tax Paid Supplemental Data,11179000000.0,6035000000.0,3688000000.0,1713000000.0
7,End Cash Position,73890000000.0,54253000000.0,36477000000.0,42377000000.0
8,Beginning Cash Position,54253000000.0,36477000000.0,42377000000.0,36410000000.0
9,Effect Of Exchange Rate Changes,403000000.0,-1093000000.0,-364000000.0,618000000.0
10,Changes In Cash,19234000000.0,18869000000.0,-5536000000.0,5349000000.0
11,Financing Cash Flow,-15879000000.0,9718000000.0,6291000000.0,-1104000000.0
12,Cash Flow From Continuing Financing Activities,-15879000000.0,9718000000.0,6291000000.0,-1104000000.0
13,Net Other Financing Charges,-271000000.0,-248000000.0,-162000000.0,
14,Net Common Stock Issuance,0.0,-6000000000.0,0.0,0.0
15,Common Stock Payments,0.0,-6000000000.0,0.0,0.0
16,Net Issuance Payments Of Debt,-15608000000.0,15966000000.0,6453000000.0,-1104000000.0
17,Net Short Term Debt Issuance,-7548000000.0,3999000000.0,203000000.0,619000000.0
18,Short Term Debt Payments,-25677000000.0,-37554000000.0,-7753000000.0,-6177000000.0
19,Short Term Debt Issuance,18129000000.0,41553000000.0,7956000000.0,6796000000.0
20,Net Long Term Debt Issuance,-8060000000.0,11967000000.0,6250000000.0,-1723000000.0
21,Long Term Debt Payments,-8060000000.0,-9199000000.0,-12753000000.0,-12248000000.0
22,Long Term Debt Issuance,0.0,21166000000.0,19003000000.0,10525000000.0
23,Investing Cash Flow,-49833000000.0,-37601000000.0,-58154000000.0,-59611000000.0
24,Cash Flow From Continuing Investing Activities,-49833000000.0,-37601000000.0,-58154000000.0,-59611000000.0
25,Net Investment Purchase And Sale,4139000000.0,29036000000.0,-773000000.0,-22242000000.0
26,Sale Of Investment,5627000000.0,31601000000.0,59384000000.0,50237000000.0
27,Purchase Of Investment,-1488000000.0,-2565000000.0,-60157000000.0,-72479000000.0
28,Net Business Purchase And Sale,-5839000000.0,-8316000000.0,-1985000000.0,-2325000000.0
29,Purchase Of Business,-5839000000.0,-8316000000.0,-1985000000.0,-2325000000.0
30,Net PPE Purchase And Sale,-48133000000.0,-58321000000.0,-55396000000.0,-35044000000.0
31,Sale Of PPE,4596000000.0,5324000000.0,5657000000.0,5096000000.0
32,Purchase Of PPE,-52729000000.0,-63645000000.0,-61053000000.0,-40140000000.0
33,Operating Cash Flow,84946000000.0,46752000000.0,46327000000.0,66064000000.0
34,Cash Flow From Continuing Operating Activities,84946000000.0,46752000000.0,46327000000.0,66064000000.0
35,Change In Working Capital,-11541000000.0,-20886000000.0,-19611000000.0,13481000000.0
36,Change In Other Working Capital,4578000000.0,2216000000.0,2314000000.0,1265000000.0
37,Change In Other Current Assets,-12265000000.0,-13275000000.0,-9018000000.0,
38,Change In Payables And Accrued Expense,3045000000.0,1387000000.0,5725000000.0,23234000000.0
39,Change In Accrued Expense,-2428000000.0,-1558000000.0,2123000000.0,5754000000.0
40,Change In Payable,5473000000.0,2945000000.0,3602000000.0,17480000000.0
41,Change In Account Payable,5473000000.0,2945000000.0,3602000000.0,17480000000.0
42,Change In Inventory,1449000000.0,-2592000000.0,-9487000000.0,-2849000000.0
43,Change In Receivables,-8348000000.0,-8622000000.0,-9145000000.0,-8169000000.0
44,Changes In Account Receivables,-8348000000.0,-8622000000.0,-9145000000.0,-8169000000.0
45,Other Non Cash Items,-748000000.0,16966000000.0,-14306000000.0,-2653000000.0
46,Stock Based Compensation,24023000000.0,19621000000.0,12757000000.0,9208000000.0
47,Deferred Tax,-5876000000.0,-8148000000.0,-310000000.0,-554000000.0
48,Deferred Income Tax,-5876000000.0,-8148000000.0,-310000000.0,-554000000.0
49,Depreciation Amortization Depletion,48663000000.0,41921000000.0,34433000000.0,25251000000.0
50,Depreciation And Amortization,48663000000.0,41921000000.0,34433000000.0,25251000000.0
51,Net Income From Continuing Operations,30425000000.0,-2722000000.0,33364000000.0,21331000000.0
