level_0,index,2023-10-31 00:00:00,2022-10-31 00:00:00,2021-10-31 00:00:00,2020-10-31 00:00:00
0,Tax Effect Of Unusual Items,-15611000.0,-16950000.0,-196000.0,-10812000.0
1,Tax Rate For Calcs,0.067,0.075,0.004,0.212
2,Normalized EBITDA,20787000000.0,19381000000.0,14740000000.0,11176000000.0
3,Total Unusual Items,-233000000.0,-226000000.0,-49000000.0,-51000000.0
4,Total Unusual Items Excluding Goodwill,-233000000.0,-226000000.0,-49000000.0,-51000000.0
5,Net Income From Continuing Operation Net Minority Interest,14082000000.0,11495000000.0,6736000000.0,2961000000.0
6,Reconciled Depreciation,3835000000.0,4984000000.0,6041000000.0,6905000000.0
7,Reconciled Cost Of Revenue,8688000000.0,7636000000.0,6541000000.0,5868000000.0
8,EBITDA,20554000000.0,19155000000.0,14691000000.0,11125000000.0
9,EBIT,16719000000.0,14171000000.0,8650000000.0,4220000000.0
10,Net Interest Income,-1087000000.0,-1637000000.0,-1869000000.0,-1724000000.0
11,Interest Expense,1622000000.0,1737000000.0,1885000000.0,1777000000.0
12,Interest Income,535000000.0,100000000.0,16000000.0,53000000.0
13,Normalized Income,14299389000.0,11704050000.0,6784804000.0,3001188000.0
14,Net Income From Continuing And Discontinued Operation,14082000000.0,11495000000.0,6736000000.0,2960000000.0
15,Total Expenses,19368000000.0,18921000000.0,18783000000.0,19676000000.0
16,Total Operating Income As Reported,16207000000.0,14225000000.0,8519000000.0,4014000000.0
17,Diluted Average Shares,427000000.0,424060141.0,430075179.0,422055129.0
18,Basic Average Shares,415000000.0,410025054.0,411027560.0,403007510.0
19,Diluted EPS,32.98,26.463676,14.9625,6.314175
20,Basic EPS,33.93,27.371401,15.66075,6.60345
21,Diluted NI Availto Com Stockholders,14082000000.0,11223000000.0,6437000000.0,2663000000.0
22,Net Income Common Stockholders,14082000000.0,11223000000.0,6437000000.0,2663000000.0
23,Preferred Stock Dividends,,272000000.0,299000000.0,297000000.0
24,Net Income,14082000000.0,11495000000.0,6736000000.0,2960000000.0
25,Minority Interests,,,,0.0
26,Net Income Including Noncontrolling Interests,14082000000.0,11495000000.0,6736000000.0,2960000000.0
27,Net Income Discontinuous Operations,,0.0,0.0,-1000000.0
28,Net Income Continuous Operations,14082000000.0,11495000000.0,6736000000.0,2961000000.0
29,Tax Provision,1015000000.0,939000000.0,29000000.0,-518000000.0
30,Pretax Income,15097000000.0,12434000000.0,6765000000.0,2443000000.0
31,Other Income Expense,-267000000.0,-211000000.0,-33000000.0,-45000000.0
32,Other Non Operating Income Expenses,-34000000.0,15000000.0,16000000.0,6000000.0
33,Special Income Charges,-244000000.0,-57000000.0,-148000000.0,-82000000.0
34,Other Special Charges,,,,-116000000.0
35,Write Off,,,,0.0
36,Restructuring And Mergern Acquisition,244000000.0,57000000.0,148000000.0,198000000.0
37,Gain On Sale Of Security,11000000.0,-169000000.0,99000000.0,31000000.0
38,Net Non Operating Interest Income Expense,-1087000000.0,-1637000000.0,-1869000000.0,-1724000000.0
39,Interest Expense Non Operating,1622000000.0,1737000000.0,1885000000.0,1777000000.0
40,Interest Income Non Operating,535000000.0,100000000.0,16000000.0,53000000.0
41,Operating Income,16451000000.0,14282000000.0,8667000000.0,4212000000.0
42,Operating Expense,8239000000.0,7813000000.0,8177000000.0,9304000000.0
43,Depreciation Amortization Depletion Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
44,Depreciation And Amortization In Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
45,Amortization,1394000000.0,1512000000.0,1976000000.0,2401000000.0
46,Amortization Of Intangibles Income Statement,1394000000.0,1512000000.0,1976000000.0,2401000000.0
47,Research And Development,5253000000.0,4919000000.0,4854000000.0,4968000000.0
48,Selling General And Administration,1592000000.0,1382000000.0,1347000000.0,1935000000.0
49,Gross Profit,24690000000.0,22095000000.0,16844000000.0,13516000000.0
50,Cost Of Revenue,11129000000.0,11108000000.0,10606000000.0,10372000000.0
51,Total Revenue,35819000000.0,33203000000.0,27450000000.0,23888000000.0
52,Operating Revenue,35819000000.0,33203000000.0,27450000000.0,23888000000.0
