level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Treasury Shares Number,216613.0,198362.0,180666.0,114136.0
1,Ordinary Shares Number,1441483.0,1459733.0,1477429.0,1543960.0
2,Share Issued,1658096.0,1658095.0,1658095.0,1658096.0
3,Net Debt,90249000000.0,86933000000.0,26078000000.0,68905000000.0
4,Total Debt,128271000000.0,122744000000.0,114262000000.0,116895000000.0
5,Tangible Book Value,447320000000.0,366118000000.0,403838000000.0,339968000000.0
6,Invested Capital,689544000000.0,596168000000.0,620461000000.0,560059000000.0
7,Net Tangible Assets,447320000000.0,366118000000.0,403838000000.0,339968000000.0
8,Common Stock Equity,561273000000.0,473424000000.0,506199000000.0,443164000000.0
9,Total Capitalization,684209000000.0,593739000000.0,618110000000.0,556711000000.0
10,Total Equity Gross Minority Interest,570770000000.0,481681000000.0,514930000000.0,451336000000.0
11,Minority Interest,9497000000.0,8257000000.0,8731000000.0,8172000000.0
12,Stockholders Equity,561273000000.0,473424000000.0,506199000000.0,443164000000.0
13,Gains Losses Not Affecting Retained Earnings,-3763000000.0,-5052000000.0,-4027000000.0,-4243000000.0
14,Treasury Stock,76802000000.0,67826000000.0,59795000000.0,32853000000.0
15,Retained Earnings,607350000000.0,511127000000.0,534421000000.0,444626000000.0
16,Additional Paid In Capital,34480000000.0,35167000000.0,35592000000.0,35626000000.0
17,Capital Stock,8000000.0,8000000.0,8000000.0,8000000.0
18,Common Stock,8000000.0,8000000.0,8000000.0,8000000.0
19,Total Liabilities Net Minority Interest,499208000000.0,466784000000.0,443854000000.0,422393000000.0
20,Derivative Product Liabilities,,,,1065000000.0
21,Non Current Deferred Liabilities,93009000000.0,77368000000.0,90243000000.0,74098000000.0
22,Non Current Deferred Taxes Liabilities,93009000000.0,77368000000.0,90243000000.0,74098000000.0
23,Long Term Debt And Capital Lease Obligation,122936000000.0,120315000000.0,111911000000.0,113547000000.0
24,Long Term Debt,122936000000.0,120315000000.0,111911000000.0,113547000000.0
25,Current Debt And Capital Lease Obligation,5335000000.0,2429000000.0,2351000000.0,3348000000.0
26,Current Debt,5335000000.0,2429000000.0,2351000000.0,3348000000.0
27,Other Current Borrowings,5335000000.0,2429000000.0,2351000000.0,3348000000.0
28,Payables And Accrued Expenses,54863000000.0,49816000000.0,46072000000.0,45568000000.0
29,Total Assets,1069978000000.0,948465000000.0,958784000000.0,873729000000.0
30,Investments And Advances,536285000000.0,454745000000.0,441733000000.0,409183000000.0
31,Long Term Equity Investment,29066000000.0,28050000000.0,16045000000.0,17303000000.0
32,Investments In Other Ventures Under Equity Method,29066000000.0,28050000000.0,16045000000.0,17303000000.0
33,Goodwill And Other Intangible Assets,113953000000.0,107306000000.0,102361000000.0,103196000000.0
34,Other Intangible Assets,29327000000.0,29187000000.0,28486000000.0,29462000000.0
35,Goodwill,84626000000.0,78119000000.0,73875000000.0,73734000000.0
36,Net PPE,216593000000.0,196965000000.0,191282000000.0,187017000000.0
37,Receivables,44200000000.0,41179000000.0,39565000000.0,35852000000.0
38,Receivables Adjustments Allowances,-832000000.0,-816000000.0,-830000000.0,-678000000.0
39,Other Receivables,5497000000.0,4908000000.0,3796000000.0,2637000000.0
40,Loans Receivable,,,,19201000000.0
41,Accounts Receivable,39535000000.0,37087000000.0,36599000000.0,33893000000.0
42,Cash Cash Equivalents And Short Term Investments,167641000000.0,128585000000.0,146719000000.0,138290000000.0
43,Other Short Term Investments,129619000000.0,92774000000.0,58535000000.0,90300000000.0
44,Cash And Cash Equivalents,38022000000.0,35811000000.0,88184000000.0,47990000000.0
