level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Free Cash Flow,29787000000.0,21886000000.0,26151000000.0,26761000000.0
1,Repurchase Of Capital Stock,-9171000000.0,-7854000000.0,-27061000000.0,-24706000000.0
2,Repayment Of Debt,-11311000000.0,-3928000000.0,-7048000000.0,-6461000000.0
3,Issuance Of Debt,7817000000.0,12695000000.0,6920000000.0,14370000000.0
4,Capital Expenditure,-19409000000.0,-15464000000.0,-13276000000.0,-13012000000.0
5,End Cash Position,38643000000.0,36399000000.0,88706000000.0,48396000000.0
6,Beginning Cash Position,36399000000.0,88706000000.0,48396000000.0,64632000000.0
7,Effect Of Exchange Rate Changes,116000000.0,-394000000.0,-1000000.0,92000000.0
8,Changes In Cash,2128000000.0,-51913000000.0,40311000000.0,-16328000000.0
9,Financing Cash Flow,-14405000000.0,-1662000000.0,-28508000000.0,-18344000000.0
10,Cash Flow From Continuing Financing Activities,-14405000000.0,-1662000000.0,-28508000000.0,-18344000000.0
11,Net Other Financing Charges,-4147000000.0,-1979000000.0,-695000000.0,-429000000.0
12,Net Common Stock Issuance,-9171000000.0,-7854000000.0,-27061000000.0,-24706000000.0
13,Common Stock Payments,-9171000000.0,-7854000000.0,-27061000000.0,-24706000000.0
14,Net Issuance Payments Of Debt,-1087000000.0,8171000000.0,-752000000.0,6791000000.0
15,Net Short Term Debt Issuance,2407000000.0,-596000000.0,-624000000.0,-1118000000.0
16,Net Long Term Debt Issuance,-3494000000.0,8767000000.0,-128000000.0,7909000000.0
17,Long Term Debt Payments,-11311000000.0,-3928000000.0,-7048000000.0,-6461000000.0
18,Long Term Debt Issuance,7817000000.0,12695000000.0,6920000000.0,14370000000.0
19,Investing Cash Flow,-32663000000.0,-87601000000.0,29392000000.0,-37757000000.0
20,Cash Flow From Continuing Investing Activities,-32663000000.0,-87601000000.0,29392000000.0,-37757000000.0
21,Net Other Investing Changes,685000000.0,239000000.0,770000000.0,-3961000000.0
22,Net Investment Purchase And Sale,-5335000000.0,-61782000000.0,42354000000.0,-18252000000.0
23,Sale Of Investment,246134000000.0,190070000000.0,203439000000.0,220338000000.0
24,Purchase Of Investment,-251469000000.0,-251852000000.0,-161085000000.0,-238590000000.0
25,Net Business Purchase And Sale,-8604000000.0,-10594000000.0,-456000000.0,-2532000000.0
26,Purchase Of Business,-8604000000.0,-10594000000.0,-456000000.0,-2532000000.0
27,Net PPE Purchase And Sale,-19409000000.0,-15464000000.0,-13276000000.0,-13012000000.0
28,Purchase Of PPE,-19409000000.0,-15464000000.0,-13276000000.0,-13012000000.0
29,Operating Cash Flow,49196000000.0,37350000000.0,39427000000.0,39773000000.0
30,Cash Flow From Continuing Operating Activities,49196000000.0,37350000000.0,39427000000.0,39773000000.0
31,Change In Working Capital,20441000000.0,-14968000000.0,18718000000.0,15566000000.0
32,Change In Other Working Capital,15240000000.0,-12103000000.0,17132000000.0,8502000000.0
33,Change In Other Current Liabilities,2570000000.0,1995000000.0,2658000000.0,3719000000.0
34,Change In Other Current Assets,98000000.0,-5157000000.0,-1708000000.0,-1109000000.0
35,Change In Receivables,-1949000000.0,-5621000000.0,-5864000000.0,-1609000000.0
36,Changes In Account Receivables,,,-5834000000.0,-1609000000.0
37,Other Non Cash Items,-6023000000.0,-4206000000.0,-3382000000.0,11263000000.0
38,Unrealized Gain Loss On Investment Securities,-69144000000.0,63120000000.0,-76375000000.0,-54951000000.0
39,Depreciation And Amortization,12486000000.0,10899000000.0,10718000000.0,10596000000.0
40,Amortization Cash Flow,1828000000.0,1233000000.0,1252000000.0,1277000000.0
41,Amortization Of Intangibles,1828000000.0,1233000000.0,1252000000.0,1277000000.0
42,Depreciation,10658000000.0,9666000000.0,9466000000.0,9319000000.0
43,Operating Gains Losses,-5711000000.0,4503000000.0,-1201000000.0,14046000000.0
44,Gain Loss On Investment Securities,-5711000000.0,4503000000.0,-1201000000.0,14046000000.0
45,Net Income From Continuing Operations,97147000000.0,-21998000000.0,90949000000.0,43253000000.0
