level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,0.0,-2379633000.0
1,Tax Rate For Calcs,0.192,0.279,0.187,0.223
2,Total Unusual Items,,0.0,0.0,-10671000000.0
3,Total Unusual Items Excluding Goodwill,,0.0,0.0,-10671000000.0
4,Net Income From Continuing Operation Net Minority Interest,96223000000.0,-22759000000.0,89937000000.0,42521000000.0
5,Reconciled Depreciation,12486000000.0,10899000000.0,10718000000.0,10596000000.0
6,EBIT,125169000000.0,-26148000000.0,116033000000.0,59776000000.0
7,Net Interest Income,-5003000000.0,-4352000000.0,-4172000000.0,-4083000000.0
8,Interest Expense,5003000000.0,4352000000.0,4172000000.0,4083000000.0
9,Interest Income,15561000000.0,10263000000.0,7465000000.0,8092000000.0
10,Normalized Income,96223000000.0,-22759000000.0,89937000000.0,50812367000.0
11,Net Income From Continuing And Discontinued Operation,96223000000.0,-22759000000.0,89937000000.0,42521000000.0
12,Total Expenses,319171000000.0,264621000000.0,242866000000.0,230632000000.0
13,Rent Expense Supplemental,6037000000.0,5550000000.0,4201000000.0,3520000000.0
14,Diluted Average Shares,,2203312898.0,2265268867.0,2391702304.0
15,Basic Average Shares,,2203312898.0,2265268867.0,2391702304.0
16,Diluted EPS,,-10.329338,39.702687,17.778676
17,Basic EPS,,-10.329338,39.702687,17.778676
18,Diluted NI Availto Com Stockholders,96223000000.0,-22759000000.0,89937000000.0,42521000000.0
19,Net Income Common Stockholders,96223000000.0,-22759000000.0,89937000000.0,42521000000.0
20,Net Income,96223000000.0,-22759000000.0,89937000000.0,42521000000.0
21,Minority Interests,-924000000.0,-761000000.0,-1012000000.0,-732000000.0
22,Net Income Including Noncontrolling Interests,97147000000.0,-21998000000.0,90949000000.0,43253000000.0
23,Net Income Continuous Operations,97147000000.0,-21998000000.0,90949000000.0,43253000000.0
24,Tax Provision,23019000000.0,-8502000000.0,20912000000.0,12440000000.0
25,Pretax Income,120166000000.0,-30500000000.0,111861000000.0,55693000000.0
26,Other Income Expense,260587000000.0,211857000000.0,193099000000.0,168543000000.0
27,Special Income Charges,,0.0,0.0,-10671000000.0
28,Impairment Of Capital Assets,,0.0,0.0,10671000000.0
29,Net Non Operating Interest Income Expense,-5003000000.0,-4352000000.0,-4172000000.0,-4083000000.0
30,Interest Expense Non Operating,5003000000.0,4352000000.0,4172000000.0,4083000000.0
31,Other Operating Expenses,211013000000.0,162481000000.0,148189000000.0,130645000000.0
32,Selling General And Administration,28642000000.0,25056000000.0,23044000000.0,23329000000.0
33,Selling And Marketing Expense,22605000000.0,19506000000.0,18843000000.0,19809000000.0
34,General And Administrative Expense,6037000000.0,5550000000.0,4201000000.0,3520000000.0
35,Other Gand A,6037000000.0,5550000000.0,4201000000.0,3520000000.0
36,Total Revenue,439337000000.0,234121000000.0,354727000000.0,286325000000.0
37,Operating Revenue,439337000000.0,234121000000.0,354727000000.0,286325000000.0
