level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Treasury Shares Number,0.0,,,
1,Preferred Shares Number,40000.0,,,
2,Ordinary Shares Number,1088415995.0,1089107878.0,1099027213.0,1095686625.0
3,Share Issued,1088415995.0,1089107878.0,1099027213.0,1095686625.0
4,Net Debt,3997000000.0,8249000000.0,19414000000.0,38371000000.0
5,Total Debt,22937000000.0,26148000000.0,38032000000.0,78096000000.0
6,Tangible Book Value,8298000000.0,14585000000.0,4840000000.0,352000000.0
7,Invested Capital,48342000000.0,57749000000.0,75488000000.0,110447000000.0
8,Working Capital,8922000000.0,8954000000.0,14397000000.0,30237000000.0
9,Net Tangible Assets,8298000000.0,14591000000.0,4846000000.0,358000000.0
10,Capital Lease Obligations,1973000000.0,2089000000.0,2848000000.0,3195000000.0
11,Common Stock Equity,27378000000.0,33690000000.0,40304000000.0,35546000000.0
12,Preferred Stock Equity,,6000000.0,6000000.0,6000000.0
13,Total Capitalization,47089000000.0,54016000000.0,71133000000.0,105740000000.0
14,Total Equity Gross Minority Interest,28580000000.0,34912000000.0,41612000000.0,37074000000.0
15,Minority Interest,1202000000.0,1216000000.0,1302000000.0,1522000000.0
16,Stockholders Equity,27378000000.0,33696000000.0,40310000000.0,35552000000.0
17,Other Equity Interest,26962000000.0,34173000000.0,34690000000.0,34307000000.0
18,Gains Losses Not Affecting Retained Earnings,-6150000000.0,-2272000000.0,1582000000.0,-9749000000.0
19,Other Equity Adjustments,-6150000000.0,-2272000000.0,1582000000.0,-9749000000.0
20,Treasury Stock,79976000000.0,81209000000.0,81093000000.0,81961000000.0
21,Retained Earnings,86527000000.0,82983000000.0,85110000000.0,92247000000.0
22,Capital Stock,15000000.0,21000000.0,21000000.0,708000000.0
23,Common Stock,15000000.0,15000000.0,15000000.0,702000000.0
24,Preferred Stock,0.0,6000000.0,6000000.0,6000000.0
25,Total Liabilities Net Minority Interest,134465000000.0,153939000000.0,157262000000.0,219137000000.0
26,Total Non Current Liabilities Net Minority Interest,83589000000.0,104511000000.0,105310000000.0,164522000000.0
27,Other Non Current Liabilities,45977000000.0,43360000000.0,44341000000.0,50008000000.0
28,Liabilities Heldfor Sale Non Current,1193000000.0,24474000000.0,887000000.0,5886000000.0
29,Employee Benefits,11214000000.0,10400000000.0,21202000000.0,29677000000.0
30,Tradeand Other Payables Non Current,2182000000.0,2459000000.0,3220000000.0,3767000000.0
31,Non Current Deferred Liabilities,1339000000.0,1409000000.0,1989000000.0,1801000000.0
32,Non Current Deferred Revenue,1339000000.0,1409000000.0,1989000000.0,1801000000.0
33,Long Term Debt And Capital Lease Obligation,21684000000.0,22409000000.0,33671000000.0,73383000000.0
34,Long Term Capital Lease Obligation,1973000000.0,2089000000.0,2848000000.0,3195000000.0
35,Long Term Debt,19711000000.0,20320000000.0,30823000000.0,70188000000.0
36,Current Liabilities,50876000000.0,49428000000.0,51952000000.0,54615000000.0
37,Other Current Liabilities,9561000000.0,9805000000.0,8523000000.0,8979000000.0
38,Current Deferred Liabilities,19677000000.0,16216000000.0,,
39,Current Deferred Revenue,19677000000.0,16216000000.0,,
40,Current Debt And Capital Lease Obligation,1253000000.0,3739000000.0,4361000000.0,4713000000.0
41,Current Debt,1253000000.0,3739000000.0,4361000000.0,4713000000.0
42,Other Current Borrowings,1253000000.0,3739000000.0,4361000000.0,4713000000.0
43,Pensionand Other Post Retirement Benefit Plans Current,4001000000.0,3339000000.0,4677000000.0,4838000000.0
44,Payables And Accrued Expenses,16384000000.0,16329000000.0,34391000000.0,36085000000.0
45,Current Accrued Expenses,323000000.0,352000000.0,17648000000.0,19164000000.0
46,Interest Payable,323000000.0,352000000.0,276000000.0,793000000.0
47,Payables,16061000000.0,15977000000.0,16743000000.0,16921000000.0
48,Other Payable,4326000000.0,4925000000.0,,
49,Total Tax Payable,1057000000.0,1019000000.0,500000000.0,463000000.0
50,Accounts Payable,10678000000.0,10033000000.0,16243000000.0,16458000000.0
51,Total Assets,163045000000.0,188851000000.0,198874000000.0,256211000000.0
52,Total Non Current Assets,103247000000.0,130469000000.0,132478000000.0,171359000000.0
53,Other Non Current Assets,3253000000.0,33136000000.0,3991000000.0,41570000000.0
54,Defined Pension Benefit,1468000000.0,1793000000.0,2784000000.0,843000000.0
55,Non Current Prepaid Assets,608000000.0,583000000.0,800000000.0,800000000.0
56,Non Current Deferred Assets,10575000000.0,10001000000.0,10855000000.0,14253000000.0
57,Non Current Deferred Taxes Assets,10575000000.0,10001000000.0,10855000000.0,14253000000.0
58,Non Current Accounts Receivable,8899000000.0,9450000000.0,12926000000.0,13067000000.0
59,Investments And Advances,46870000000.0,44208000000.0,50049000000.0,48932000000.0
60,Other Investments,939000000.0,548000000.0,,
61,Investmentin Financial Assets,38000000000.0,36027000000.0,42209000000.0,42549000000.0
62,Held To Maturity Securities,37670000000.0,35619000000.0,,
63,Available For Sale Securities,330000000.0,408000000.0,,
64,Long Term Equity Investment,7931000000.0,7633000000.0,7840000000.0,6383000000.0
65,Goodwill And Other Intangible Assets,19080000000.0,19105000000.0,35464000000.0,35194000000.0
66,Other Intangible Assets,5695000000.0,6106000000.0,9282000000.0,9670000000.0
67,Goodwill,13385000000.0,12999000000.0,26182000000.0,25524000000.0
68,Net PPE,12494000000.0,12193000000.0,15609000000.0,16700000000.0
69,Gross PPE,12494000000.0,12193000000.0,15609000000.0,16700000000.0
70,Leases,1840000000.0,1854000000.0,1343000000.0,1447000000.0
71,Other Properties,1053000000.0,1012000000.0,2606000000.0,2852000000.0
72,Machinery Furniture Equipment,6280000000.0,6163000000.0,7356000000.0,7968000000.0
73,Buildings And Improvements,2852000000.0,2703000000.0,3728000000.0,3841000000.0
74,Land And Improvements,469000000.0,461000000.0,576000000.0,592000000.0
75,Properties,0.0,0.0,0.0,0.0
76,Current Assets,59798000000.0,58382000000.0,66349000000.0,84852000000.0
77,Other Current Assets,495000000.0,176000000.0,199000000.0,202000000.0
78,Hedging Assets Current,437000000.0,454000000.0,684000000.0,487000000.0
79,Assets Held For Sale Current,1985000000.0,1374000000.0,208000000.0,212000000.0
80,Restricted Cash,,0.0,76000000.0,812000000.0
81,Prepaid Assets,248000000.0,313000000.0,341000000.0,408000000.0
82,Inventory,16528000000.0,14891000000.0,15847000000.0,15890000000.0
83,Other Inventories,1599000000.0,1763000000.0,2210000000.0,2299000000.0
84,Finished Goods,3720000000.0,3937000000.0,4927000000.0,5654000000.0
85,Raw Materials,11209000000.0,9191000000.0,8710000000.0,7937000000.0
86,Receivables,17432000000.0,17755000000.0,20927000000.0,22992000000.0
87,Receivables Adjustments Allowances,,-859000000.0,-1074000000.0,-1164000000.0
88,Other Receivables,1500000000.0,2467000000.0,4881000000.0,10159000000.0
89,Duefrom Related Parties Current,,,,0.0
90,Accrued Interest Receivable,466000000.0,457000000.0,426000000.0,538000000.0
91,Accounts Receivable,15466000000.0,14831000000.0,15620000000.0,13459000000.0
92,Gross Accounts Receivable,,14916000000.0,13079000000.0,13459000000.0
93,Cash Cash Equivalents And Short Term Investments,22673000000.0,23419000000.0,28067000000.0,43849000000.0
94,Other Short Term Investments,5706000000.0,7609000000.0,12297000000.0,7319000000.0
95,Cash And Cash Equivalents,16967000000.0,15810000000.0,15770000000.0,36530000000.0
