level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Tax Effect Of Unusual Items,559056000.0,-4292000.0,-384306000.0,3048300000.0
1,Tax Rate For Calcs,0.114,0.004,0.078,0.27
2,Normalized EBITDA,8484000000.0,4653000000.0,3382000000.0,1659000000.0
3,Total Unusual Items,4904000000.0,-1073000000.0,-4927000000.0,11290000000.0
4,Total Unusual Items Excluding Goodwill,4904000000.0,-1073000000.0,-4927000000.0,11290000000.0
5,Net Income From Continuing Operation Net Minority Interest,9067000000.0,-863000000.0,-4868000000.0,6615000000.0
6,Reconciled Depreciation,2079000000.0,2902000000.0,2360000000.0,3464000000.0
7,Reconciled Cost Of Revenue,50392000000.0,44272000000.0,43378000000.0,57871000000.0
8,EBITDA,13388000000.0,3580000000.0,-1545000000.0,12949000000.0
9,EBIT,11309000000.0,678000000.0,-3905000000.0,9485000000.0
10,Net Interest Income,-379000000.0,-1003000000.0,-1205000000.0,-3515000000.0
11,Interest Expense,1118000000.0,1477000000.0,1790000000.0,3515000000.0
12,Interest Income,739000000.0,474000000.0,585000000.0,
13,Normalized Income,4722056000.0,205708000.0,-325306000.0,-1626700000.0
14,Net Income From Continuing And Discontinued Operation,9481000000.0,339000000.0,-6337000000.0,5704000000.0
15,Total Expenses,64380000000.0,57823000000.0,55411000000.0,75425000000.0
16,Diluted Average Shares,,1096000000.0,1098000000.0,1095125000.0
17,Basic Average Shares,,1096000000.0,1098000000.0,1094125000.0
18,Diluted EPS,,0.05,-6.0,4.64
19,Basic EPS,,0.05,-6.0,4.64
20,Diluted NI Availto Com Stockholders,9186000000.0,51000000.0,-6573000000.0,5230000000.0
21,Net Income Common Stockholders,9186000000.0,51000000.0,-6573000000.0,5230000000.0
22,Preferred Stock Dividends,295000000.0,289000000.0,237000000.0,474000000.0
23,Net Income,9481000000.0,339000000.0,-6337000000.0,5704000000.0
24,Minority Interests,37000000.0,-67000000.0,71000000.0,158000000.0
25,Net Income Including Noncontrolling Interests,9443000000.0,407000000.0,-6408000000.0,5546000000.0
26,Net Income Discontinuous Operations,414000000.0,1202000000.0,-1469000000.0,-911000000.0
27,Net Income Continuous Operations,9029000000.0,-795000000.0,-4939000000.0,6457000000.0
28,Tax Provision,1162000000.0,-3000000.0,-757000000.0,-487000000.0
29,Pretax Income,10191000000.0,-799000000.0,-5695000000.0,5970000000.0
30,Other Income Expense,6998000000.0,-74000000.0,-5549000000.0,9076000000.0
31,Other Non Operating Income Expenses,1857000000.0,779000000.0,-499000000.0,-2221000000.0
32,Special Income Charges,-874000000.0,-1120000000.0,-6576000000.0,11290000000.0
33,Gain On Sale Of Business,104000000.0,60000000.0,-52000000.0,12468000000.0
34,Other Special Charges,,465000000.0,6524000000.0,301000000.0
35,Impairment Of Capital Assets,,0.0,0.0,877000000.0
36,Restructuring And Mergern Acquisition,978000000.0,715000000.0,0.0,
37,Earnings From Equity Interest,237000000.0,220000000.0,-123000000.0,7000000.0
38,Gain On Sale Of Security,5778000000.0,47000000.0,1649000000.0,
39,Net Non Operating Interest Income Expense,-379000000.0,-1003000000.0,-1205000000.0,-3515000000.0
40,Interest Expense Non Operating,1118000000.0,1477000000.0,1790000000.0,3515000000.0
41,Interest Income Non Operating,739000000.0,474000000.0,585000000.0,
42,Operating Income,3574000000.0,276000000.0,1058000000.0,409000000.0
43,Operating Expense,13988000000.0,13551000000.0,12033000000.0,17554000000.0
44,Research And Development,1907000000.0,1786000000.0,1682000000.0,2565000000.0
45,Selling General And Administration,12081000000.0,11765000000.0,10351000000.0,14989000000.0
46,General And Administrative Expense,12081000000.0,11765000000.0,10351000000.0,14989000000.0
47,Other Gand A,9195000000.0,9173000000.0,8177000000.0,12592000000.0
48,Insurance And Claims,2886000000.0,2592000000.0,2174000000.0,2397000000.0
49,Gross Profit,17562000000.0,13827000000.0,13091000000.0,17963000000.0
50,Cost Of Revenue,50392000000.0,44272000000.0,43378000000.0,57871000000.0
51,Total Revenue,67954000000.0,58099000000.0,56469000000.0,75834000000.0
52,Operating Revenue,67954000000.0,58099000000.0,56469000000.0,75834000000.0
