level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Treasury Shares Number,0.0,,,
1,Ordinary Shares Number,12460000000.0,12849000000.0,13242420000.0,13504440000.0
2,Share Issued,12460000000.0,12849000000.0,13242420000.0,13504440000.0
3,Total Debt,28504000000.0,29679000000.0,28395000000.0,26772000000.0
4,Tangible Book Value,254181000000.0,227184000000.0,227262000000.0,199924000000.0
5,Invested Capital,295249000000.0,269001000000.0,264479000000.0,235376000000.0
6,Working Capital,89716000000.0,95495000000.0,123889000000.0,117462000000.0
7,Net Tangible Assets,254181000000.0,227184000000.0,227262000000.0,199924000000.0
8,Capital Lease Obligations,16634000000.0,16822000000.0,15551000000.0,13940000000.0
9,Common Stock Equity,283379000000.0,256144000000.0,251635000000.0,222544000000.0
10,Total Capitalization,295249000000.0,269001000000.0,264479000000.0,235376000000.0
11,Total Equity Gross Minority Interest,283379000000.0,256144000000.0,251635000000.0,222544000000.0
12,Stockholders Equity,283379000000.0,256144000000.0,251635000000.0,222544000000.0
13,Gains Losses Not Affecting Retained Earnings,-4402000000.0,-7603000000.0,-1623000000.0,633000000.0
14,Other Equity Adjustments,-4402000000.0,-7603000000.0,-1623000000.0,633000000.0
15,Retained Earnings,211247000000.0,195563000000.0,191484000000.0,163401000000.0
16,Capital Stock,76534000000.0,68184000000.0,61774000000.0,58510000000.0
17,Common Stock,76534000000.0,68184000000.0,61774000000.0,58510000000.0
18,Preferred Stock,0.0,0.0,0.0,0.0
19,Total Liabilities Net Minority Interest,119013000000.0,109120000000.0,107633000000.0,97072000000.0
20,Total Non Current Liabilities Net Minority Interest,37199000000.0,39820000000.0,43379000000.0,40238000000.0
21,Other Non Current Liabilities,1616000000.0,2247000000.0,2205000000.0,2269000000.0
22,Tradeand Other Payables Non Current,8474000000.0,9258000000.0,9176000000.0,8849000000.0
23,Non Current Deferred Liabilities,1396000000.0,1113000000.0,5792000000.0,4042000000.0
24,Non Current Deferred Revenue,911000000.0,599000000.0,535000000.0,481000000.0
25,Non Current Deferred Taxes Liabilities,485000000.0,514000000.0,5257000000.0,3561000000.0
26,Long Term Debt And Capital Lease Obligation,25713000000.0,27202000000.0,26206000000.0,25078000000.0
27,Long Term Capital Lease Obligation,13843000000.0,14345000000.0,13362000000.0,12246000000.0
28,Long Term Debt,11870000000.0,12857000000.0,12844000000.0,12832000000.0
29,Current Liabilities,81814000000.0,69300000000.0,64254000000.0,56834000000.0
30,Other Current Liabilities,9525000000.0,9106000000.0,9799000000.0,10409000000.0
31,Current Deferred Liabilities,4137000000.0,3908000000.0,3288000000.0,2543000000.0
32,Current Deferred Revenue,4137000000.0,3908000000.0,3288000000.0,2543000000.0
33,Current Debt And Capital Lease Obligation,2791000000.0,2477000000.0,2189000000.0,1694000000.0
34,Current Capital Lease Obligation,2791000000.0,2477000000.0,2189000000.0,1694000000.0
35,Pensionand Other Post Retirement Benefit Plans Current,15140000000.0,14028000000.0,13889000000.0,11086000000.0
36,Payables And Accrued Expenses,50221000000.0,39781000000.0,35089000000.0,31102000000.0
37,Current Accrued Expenses,39980000000.0,33021000000.0,29052000000.0,23274000000.0
38,Payables,10241000000.0,6760000000.0,6037000000.0,7828000000.0
39,Other Payable,,,397000000.0,754000000.0
40,Total Tax Payable,2748000000.0,1632000000.0,808000000.0,1485000000.0
41,Income Tax Payable,2748000000.0,1632000000.0,808000000.0,1485000000.0
42,Accounts Payable,7493000000.0,5128000000.0,6037000000.0,5589000000.0
43,Total Assets,402392000000.0,365264000000.0,359268000000.0,319616000000.0
44,Total Non Current Assets,230862000000.0,200469000000.0,171125000000.0,145320000000.0
45,Other Non Current Assets,10051000000.0,8707000000.0,5361000000.0,3953000000.0
46,Non Current Deferred Assets,12169000000.0,5261000000.0,1284000000.0,1084000000.0
47,Non Current Deferred Taxes Assets,12169000000.0,5261000000.0,1284000000.0,1084000000.0
48,Investments And Advances,31008000000.0,30492000000.0,29549000000.0,20703000000.0
49,Investmentin Financial Assets,31008000000.0,30492000000.0,29549000000.0,20703000000.0
50,Available For Sale Securities,31008000000.0,30492000000.0,29549000000.0,20703000000.0
51,Goodwill And Other Intangible Assets,29198000000.0,28960000000.0,24373000000.0,22620000000.0
52,Other Intangible Assets,,2084000000.0,1417000000.0,1445000000.0
53,Goodwill,29198000000.0,28960000000.0,22956000000.0,21175000000.0
54,Net PPE,148436000000.0,127049000000.0,110558000000.0,96960000000.0
55,Accumulated Depreciation,-67458000000.0,-59042000000.0,-49414000000.0,-41713000000.0
56,Gross PPE,215894000000.0,186091000000.0,159972000000.0,138673000000.0
57,Leases,11425000000.0,10575000000.0,9146000000.0,7516000000.0
58,Construction In Progress,35229000000.0,27657000000.0,23172000000.0,23111000000.0
59,Other Properties,94685000000.0,80648000000.0,68565000000.0,58117000000.0
60,Machinery Furniture Equipment,472000000.0,314000000.0,208000000.0,197000000.0
61,Land And Improvements,74083000000.0,66897000000.0,58881000000.0,49732000000.0
62,Properties,0.0,0.0,0.0,0.0
63,Current Assets,171530000000.0,164795000000.0,188143000000.0,174296000000.0
64,Other Current Assets,12650000000.0,10775000000.0,8020000000.0,5490000000.0
65,Inventory,,2670000000.0,1170000000.0,728000000.0
66,Receivables,47964000000.0,40258000000.0,39304000000.0,31384000000.0
67,Taxes Receivable,,,966000000.0,454000000.0
68,Accounts Receivable,47964000000.0,40258000000.0,39304000000.0,30930000000.0
69,Allowance For Doubtful Accounts Receivable,-771000000.0,-754000000.0,-550000000.0,-789000000.0
70,Gross Accounts Receivable,48735000000.0,41012000000.0,39854000000.0,31719000000.0
71,Cash Cash Equivalents And Short Term Investments,110916000000.0,113762000000.0,139649000000.0,136694000000.0
72,Other Short Term Investments,86868000000.0,91883000000.0,118704000000.0,110229000000.0
73,Cash And Cash Equivalents,24048000000.0,21879000000.0,20945000000.0,26465000000.0
