level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Tax Effect Of Unusual Items,-21119429.143716,-276555294.966625,-16055000.0,-27782801.41844
1,Tax Rate For Calcs,0.227091,0.258705,0.247,0.250296
2,Normalized EBITDA,12310000000.0,11031000000.0,9969000000.0,8376000000.0
3,Total Unusual Items,-93000000.0,-1069000000.0,-65000000.0,-111000000.0
4,Total Unusual Items Excluding Goodwill,-93000000.0,-1069000000.0,-65000000.0,-111000000.0
5,Net Income From Continuing Operation Net Minority Interest,6199000000.0,4147000000.0,3821000000.0,2497000000.0
6,Reconciled Depreciation,3816000000.0,4204000000.0,4635000000.0,4626000000.0
7,Reconciled Cost Of Revenue,17492000000.0,19450000000.0,17543000000.0,15383000000.0
8,EBITDA,12217000000.0,9962000000.0,9904000000.0,8265000000.0
9,EBIT,8401000000.0,5758000000.0,5269000000.0,3639000000.0
10,Net Interest Income,-200000000.0,-63000000.0,-77000000.0,-115000000.0
11,Interest Expense,413000000.0,215000000.0,170000000.0,255000000.0
12,Interest Income,213000000.0,152000000.0,93000000.0,140000000.0
13,Normalized Income,6270880570.856284,4939444705.033375,3869945000.0,2580217198.58156
14,Net Income From Continuing And Discontinued Operation,6199000000.0,4147000000.0,3826000000.0,2501000000.0
15,Total Expenses,24585000000.0,26667000000.0,25318000000.0,23354000000.0
16,Total Operating Income As Reported,8024000000.0,5369000000.0,4984000000.0,3322000000.0
17,Diluted Average Shares,492290000.0,504038000.0,521875000.0,531157000.0
18,Basic Average Shares,488191000.0,499736000.0,516896000.0,526736000.0
19,Diluted EPS,12.59,8.23,7.33,4.71
20,Basic EPS,12.7,8.3,7.4,4.75
21,Diluted NI Availto Com Stockholders,6199000000.0,4147000000.0,3826000000.0,2501000000.0
22,Net Income Common Stockholders,6199000000.0,4147000000.0,3826000000.0,2501000000.0
23,Net Income,6199000000.0,4147000000.0,3826000000.0,2501000000.0
24,Minority Interests,-142000000.0,-134000000.0,-135000000.0,-125000000.0
25,Net Income Including Noncontrolling Interests,6341000000.0,4281000000.0,3961000000.0,2626000000.0
26,Net Income Discontinuous Operations,0.0,0.0,5000000.0,4000000.0
27,Net Income Continuous Operations,6341000000.0,4281000000.0,3956000000.0,2622000000.0
28,Earnings From Equity Interest Net Of Tax,167000000.0,172000000.0,119000000.0,85000000.0
29,Tax Provision,1814000000.0,1434000000.0,1262000000.0,847000000.0
30,Pretax Income,7988000000.0,5543000000.0,5099000000.0,3384000000.0
31,Other Income Expense,-81000000.0,-1091000000.0,-299000000.0,-390000000.0
32,Other Non Operating Income Expenses,12000000.0,-22000000.0,-234000000.0,-279000000.0
33,Special Income Charges,-46000000.0,-1051000000.0,-36000000.0,-83000000.0
34,Gain On Sale Of Ppe,6000000.0,-9000000.0,-31000000.0,-78000000.0
35,Gain On Sale Of Business,,,0.0,0.0
36,Other Special Charges,,890000000.0,,
37,Restructuring And Mergern Acquisition,52000000.0,152000000.0,5000000.0,5000000.0
38,Gain On Sale Of Security,-47000000.0,-18000000.0,-29000000.0,-28000000.0
39,Net Non Operating Interest Income Expense,-200000000.0,-63000000.0,-77000000.0,-115000000.0
40,Total Other Finance Cost,,-35000000.0,-53000000.0,-85000000.0
41,Interest Expense Non Operating,413000000.0,215000000.0,170000000.0,255000000.0
42,Interest Income Non Operating,213000000.0,152000000.0,93000000.0,140000000.0
43,Operating Income,8269000000.0,6697000000.0,5475000000.0,3889000000.0
44,Operating Expense,7093000000.0,7217000000.0,7775000000.0,7971000000.0
45,Depreciation Amortization Depletion Income Statement,3816000000.0,4204000000.0,4635000000.0,4626000000.0
46,Depreciation And Amortization In Income Statement,3816000000.0,4204000000.0,4635000000.0,4626000000.0
47,Amortization,550000000.0,571000000.0,723000000.0,765000000.0
48,Amortization Of Intangibles Income Statement,550000000.0,571000000.0,723000000.0,765000000.0
49,Depreciation Income Statement,3266000000.0,3633000000.0,3912000000.0,3861000000.0
50,Research And Development,146000000.0,143000000.0,143000000.0,152000000.0
51,Selling General And Administration,3131000000.0,2870000000.0,2997000000.0,3193000000.0
52,Selling And Marketing Expense,1330000000.0,1295000000.0,1342000000.0,1303000000.0
53,General And Administrative Expense,1801000000.0,1575000000.0,1655000000.0,1890000000.0
54,Other Gand A,1965000000.0,1812000000.0,1847000000.0,1890000000.0
55,Salaries And Wages,-164000000.0,-237000000.0,-192000000.0,
56,Gross Profit,15362000000.0,13914000000.0,13250000000.0,11860000000.0
57,Cost Of Revenue,17492000000.0,19450000000.0,17543000000.0,15383000000.0
58,Total Revenue,32854000000.0,33364000000.0,30793000000.0,27243000000.0
59,Operating Revenue,32854000000.0,33364000000.0,30793000000.0,27243000000.0
