level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Treasury Shares Number,402000.0,450000.0,463000.0,487000.0
1,Ordinary Shares Number,949379000.0,950182000.0,953653000.0,956590000.0
2,Share Issued,949781000.0,950632000.0,954116000.0,957077000.0
3,Net Debt,22406700000.0,14171600000.0,13066200000.0,12938200000.0
4,Total Debt,25225300000.0,16238600000.0,16884700000.0,16595300000.0
5,Tangible Book Value,-1074400000.0,-629800000.0,-2604700000.0,-5574900000.0
6,Invested Capital,35997200000.0,26888400000.0,25863900000.0,22236900000.0
7,Working Capital,-1566200000.0,896300000.0,3399700000.0,4980500000.0
8,Net Tangible Assets,-1074400000.0,-629800000.0,-2604700000.0,-5574900000.0
9,Common Stock Equity,10771900000.0,10649800000.0,8979200000.0,5641600000.0
10,Total Capitalization,29092700000.0,25387300000.0,24325600000.0,22228200000.0
11,Total Equity Gross Minority Interest,10863700000.0,10775400000.0,9154800000.0,5825200000.0
12,Minority Interest,91800000.0,125600000.0,175600000.0,183600000.0
13,Stockholders Equity,10771900000.0,10649800000.0,8979200000.0,5641600000.0
14,Other Equity Interest,-3013200000.0,-3013200000.0,-3013200000.0,-3013200000.0
15,Gains Losses Not Affecting Retained Earnings,-4327000000.0,-3844600000.0,-4343100000.0,-6496400000.0
16,Other Equity Adjustments,-4327000000.0,-3844600000.0,-4343100000.0,-6496400000.0
17,Treasury Stock,44200000.0,50500000.0,52700000.0,55700000.0
18,Retained Earnings,10312300000.0,10042600000.0,8958500000.0,7830200000.0
19,Additional Paid In Capital,7250400000.0,6921400000.0,6833400000.0,6778500000.0
20,Capital Stock,593600000.0,594100000.0,596300000.0,598200000.0
21,Common Stock,593600000.0,594100000.0,596300000.0,598200000.0
22,Total Liabilities Net Minority Interest,53142600000.0,38714400000.0,39651200000.0,40807900000.0
23,Total Non Current Liabilities Net Minority Interest,25849400000.0,21576200000.0,24598500000.0,28326300000.0
24,Other Non Current Liabilities,2240600000.0,1824000000.0,1644300000.0,1707500000.0
25,Employee Benefits,1438800000.0,1305100000.0,1954100000.0,4094500000.0
26,Non Current Pension And Other Postretirement Benefit Plans,1438800000.0,1305100000.0,1954100000.0,4094500000.0
27,Tradeand Other Payables Non Current,3849200000.0,3709600000.0,3920000000.0,3837800000.0
28,Non Current Deferred Liabilities,,87300000.0,1733700000.0,2099900000.0
29,Non Current Deferred Taxes Liabilities,,87300000.0,1733700000.0,2099900000.0
30,Long Term Debt And Capital Lease Obligation,18320800000.0,14737500000.0,15346400000.0,16586600000.0
31,Long Term Debt,18320800000.0,14737500000.0,15346400000.0,16586600000.0
32,Current Liabilities,27293200000.0,17138200000.0,15052700000.0,12481600000.0
33,Other Current Liabilities,3281300000.0,2845400000.0,3027500000.0,2750300000.0
34,Current Debt And Capital Lease Obligation,6904500000.0,1501100000.0,1538300000.0,8700000.0
35,Current Debt,6904500000.0,1501100000.0,1538300000.0,8700000.0
36,Pensionand Other Post Retirement Benefit Plans Current,1650400000.0,1059800000.0,958100000.0,997200000.0
37,Payables And Accrued Expenses,15457000000.0,11731900000.0,9528800000.0,8725400000.0
38,Current Accrued Expenses,11689000000.0,8784100000.0,6845800000.0,5853000000.0
39,Payables,3768000000.0,2947800000.0,2683000000.0,2872400000.0
40,Dividends Payable,1169200000.0,1017200000.0,885500000.0,770600000.0
41,Total Tax Payable,,475100000.0,126900000.0,495100000.0
42,Income Tax Payable,,475100000.0,126900000.0,495100000.0
43,Accounts Payable,2598800000.0,1930600000.0,1670600000.0,1606700000.0
44,Total Assets,64006300000.0,49489800000.0,48806000000.0,46633100000.0
45,Total Non Current Assets,38279300000.0,31455300000.0,30353600000.0,29171000000.0
46,Other Non Current Assets,4989900000.0,4337000000.0,4082700000.0,3475400000.0
47,Non Current Deferred Assets,5477300000.0,2792900000.0,2489300000.0,2830400000.0
48,Non Current Deferred Taxes Assets,5477300000.0,2792900000.0,2489300000.0,2830400000.0
49,Investments And Advances,3052200000.0,2901800000.0,3212600000.0,2966800000.0
50,Investmentin Financial Assets,1481900000.0,1642300000.0,,
51,Held To Maturity Securities,214300000.0,213900000.0,,
52,Available For Sale Securities,1267600000.0,1428400000.0,,
53,Long Term Equity Investment,1570300000.0,1259500000.0,,
54,Goodwill And Other Intangible Assets,11846300000.0,11279600000.0,11583900000.0,11216500000.0
55,Other Intangible Assets,6906600000.0,7206600000.0,7691900000.0,7450000000.0
56,Goodwill,4939700000.0,4073000000.0,3892000000.0,3766500000.0
57,Net PPE,12913600000.0,10144000000.0,8985100000.0,8681900000.0
58,Accumulated Depreciation,-11099300000.0,-10233400000.0,-9976700000.0,-9570700000.0
59,Gross PPE,24012900000.0,20377400000.0,18961800000.0,18252600000.0
