level_0,index,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00
0,Ordinary Shares Number,7432000000.0,7464000000.0,7519000000.0,7571000000.0
1,Share Issued,7432000000.0,7464000000.0,7519000000.0,7571000000.0
2,Net Debt,12533000000.0,35850000000.0,43922000000.0,49751000000.0
3,Total Debt,59965000000.0,61270000000.0,67775000000.0,70998000000.0
4,Tangible Book Value,128971000000.0,87720000000.0,84477000000.0,67915000000.0
5,Invested Capital,253460000000.0,216323000000.0,200134000000.0,181631000000.0
6,Working Capital,80108000000.0,74602000000.0,95749000000.0,109605000000.0
7,Net Tangible Assets,128971000000.0,87720000000.0,84477000000.0,67915000000.0
8,Capital Lease Obligations,12728000000.0,11489000000.0,9629000000.0,7671000000.0
9,Common Stock Equity,206223000000.0,166542000000.0,141988000000.0,118304000000.0
10,Total Capitalization,248213000000.0,213574000000.0,192062000000.0,177882000000.0
11,Total Equity Gross Minority Interest,206223000000.0,166542000000.0,141988000000.0,118304000000.0
12,Stockholders Equity,206223000000.0,166542000000.0,141988000000.0,118304000000.0
13,Gains Losses Not Affecting Retained Earnings,-6343000000.0,-4678000000.0,1822000000.0,3186000000.0
14,Other Equity Adjustments,-6343000000.0,-4678000000.0,1822000000.0,3186000000.0
15,Retained Earnings,118848000000.0,84281000000.0,57055000000.0,34566000000.0
16,Capital Stock,93718000000.0,86939000000.0,83111000000.0,80552000000.0
17,Common Stock,93718000000.0,86939000000.0,83111000000.0,80552000000.0
18,Total Liabilities Net Minority Interest,205753000000.0,198298000000.0,191791000000.0,183007000000.0
19,Total Non Current Liabilities Net Minority Interest,101604000000.0,103216000000.0,103134000000.0,110697000000.0
20,Other Non Current Liabilities,17981000000.0,15526000000.0,13427000000.0,10632000000.0
21,Tradeand Other Payables Non Current,25560000000.0,26069000000.0,27190000000.0,29432000000.0
22,Non Current Deferred Liabilities,3345000000.0,3100000000.0,2814000000.0,3384000000.0
23,Non Current Deferred Revenue,2912000000.0,2870000000.0,2616000000.0,3180000000.0
24,Non Current Deferred Taxes Liabilities,433000000.0,230000000.0,198000000.0,204000000.0
25,Long Term Debt And Capital Lease Obligation,54718000000.0,58521000000.0,59703000000.0,67249000000.0
26,Long Term Capital Lease Obligation,12728000000.0,11489000000.0,9629000000.0,7671000000.0
27,Long Term Debt,41990000000.0,47032000000.0,50074000000.0,59578000000.0
28,Current Liabilities,104149000000.0,95082000000.0,88657000000.0,72310000000.0
29,Other Current Liabilities,14745000000.0,13067000000.0,11666000000.0,10027000000.0
30,Current Deferred Liabilities,50901000000.0,45538000000.0,41525000000.0,36000000000.0
31,Current Deferred Revenue,50901000000.0,45538000000.0,41525000000.0,36000000000.0
32,Current Debt And Capital Lease Obligation,5247000000.0,2749000000.0,8072000000.0,3749000000.0
33,Current Debt,5247000000.0,2749000000.0,8072000000.0,3749000000.0
34,Pensionand Other Post Retirement Benefit Plans Current,11009000000.0,10661000000.0,10057000000.0,7874000000.0
35,Payables And Accrued Expenses,22247000000.0,23067000000.0,17337000000.0,14660000000.0
36,Payables,22247000000.0,23067000000.0,17337000000.0,14660000000.0
37,Total Tax Payable,4152000000.0,4067000000.0,2174000000.0,2130000000.0
38,Income Tax Payable,4152000000.0,4067000000.0,2174000000.0,2130000000.0
39,Accounts Payable,18095000000.0,19000000000.0,15163000000.0,12530000000.0
40,Total Assets,411976000000.0,364840000000.0,333779000000.0,301311000000.0
41,Total Non Current Assets,227719000000.0,195156000000.0,149373000000.0,119396000000.0
42,Other Non Current Assets,30601000000.0,21897000000.0,15075000000.0,13138000000.0
43,Investments And Advances,9879000000.0,6891000000.0,5984000000.0,2965000000.0
44,Long Term Equity Investment,9879000000.0,6891000000.0,5984000000.0,2965000000.0
45,Goodwill And Other Intangible Assets,77252000000.0,78822000000.0,57511000000.0,50389000000.0
46,Other Intangible Assets,9366000000.0,11298000000.0,7800000000.0,7038000000.0
47,Goodwill,67886000000.0,67524000000.0,49711000000.0,43351000000.0
48,Net PPE,109987000000.0,87546000000.0,70803000000.0,52904000000.0
49,Accumulated Depreciation,-68251000000.0,-59660000000.0,-51351000000.0,-43197000000.0
50,Gross PPE,178238000000.0,147206000000.0,122154000000.0,96101000000.0
51,Leases,8537000000.0,7819000000.0,6884000000.0,5487000000.0
52,Other Properties,14346000000.0,13148000000.0,11088000000.0,8753000000.0
53,Machinery Furniture Equipment,81207000000.0,66491000000.0,56594000000.0,46043000000.0
54,Buildings And Improvements,68465000000.0,55014000000.0,43928000000.0,33995000000.0
55,Land And Improvements,5683000000.0,4734000000.0,3660000000.0,1823000000.0
56,Properties,0.0,0.0,0.0,0.0
57,Current Assets,184257000000.0,169684000000.0,184406000000.0,181915000000.0
58,Other Current Assets,21807000000.0,16924000000.0,13393000000.0,11482000000.0
59,Hedging Assets Current,6000000.0,8000000.0,78000000.0,0.0
60,Inventory,2500000000.0,3742000000.0,2636000000.0,1895000000.0
61,Finished Goods,1768000000.0,2516000000.0,1367000000.0,1112000000.0
62,Work In Process,23000000.0,82000000.0,79000000.0,83000000.0
63,Raw Materials,709000000.0,1144000000.0,1190000000.0,700000000.0
64,Receivables,48688000000.0,44261000000.0,38043000000.0,32011000000.0
65,Accounts Receivable,48688000000.0,44261000000.0,38043000000.0,32011000000.0
66,Allowance For Doubtful Accounts Receivable,-650000000.0,-633000000.0,-751000000.0,-788000000.0
67,Gross Accounts Receivable,49338000000.0,44894000000.0,38794000000.0,32799000000.0
68,Cash Cash Equivalents And Short Term Investments,111256000000.0,104749000000.0,130256000000.0,136527000000.0
69,Other Short Term Investments,76552000000.0,90818000000.0,116032000000.0,122951000000.0
70,Cash And Cash Equivalents,34704000000.0,13931000000.0,14224000000.0,13576000000.0
71,Cash Equivalents,26226000000.0,5673000000.0,6952000000.0,7666000000.0
72,Cash Financial,8478000000.0,8258000000.0,7272000000.0,5910000000.0
