level_0,index,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00
0,Tax Effect Of Unusual Items,-2850000.0,43420000.0,180160797.164637,4760000.0
1,Tax Rate For Calcs,0.19,0.13,0.138266,0.17
2,Normalized EBITDA,105155000000.0,99905000000.0,83831000000.0,68395000000.0
3,Total Unusual Items,-15000000.0,334000000.0,1303000000.0,28000000.0
4,Total Unusual Items Excluding Goodwill,-15000000.0,334000000.0,1303000000.0,28000000.0
5,Net Income From Continuing Operation Net Minority Interest,72361000000.0,72738000000.0,61271000000.0,44281000000.0
6,Reconciled Depreciation,13861000000.0,14460000000.0,11686000000.0,12796000000.0
7,Reconciled Cost Of Revenue,65863000000.0,62650000000.0,52232000000.0,46078000000.0
8,EBITDA,105140000000.0,100239000000.0,85134000000.0,68423000000.0
9,EBIT,91279000000.0,85779000000.0,73448000000.0,55627000000.0
10,Net Interest Income,1026000000.0,31000000.0,-215000000.0,89000000.0
11,Interest Expense,1968000000.0,2063000000.0,2346000000.0,2591000000.0
12,Interest Income,2994000000.0,2094000000.0,2131000000.0,2680000000.0
13,Normalized Income,72373150000.0,72447420000.0,60148160797.164635,44257760000.0
14,Net Income From Continuing And Discontinued Operation,72361000000.0,72738000000.0,61271000000.0,44281000000.0
15,Total Expenses,123392000000.0,114887000000.0,98172000000.0,90056000000.0
16,Total Operating Income As Reported,88523000000.0,83383000000.0,69916000000.0,52959000000.0
17,Diluted Average Shares,7472000000.0,7540000000.0,7608000000.0,7683000000.0
18,Basic Average Shares,7446000000.0,7496000000.0,7547000000.0,7610000000.0
19,Diluted EPS,9.68,9.65,8.05,5.76
20,Basic EPS,9.72,9.7,8.12,5.82
21,Diluted NI Availto Com Stockholders,72361000000.0,72738000000.0,61271000000.0,44281000000.0
22,Net Income Common Stockholders,72361000000.0,72738000000.0,61271000000.0,44281000000.0
23,Net Income,72361000000.0,72738000000.0,61271000000.0,44281000000.0
24,Net Income Including Noncontrolling Interests,72361000000.0,72738000000.0,61271000000.0,44281000000.0
25,Net Income Continuous Operations,72361000000.0,72738000000.0,61271000000.0,44281000000.0
26,Tax Provision,16950000000.0,10978000000.0,9831000000.0,8755000000.0
27,Pretax Income,89311000000.0,83716000000.0,71102000000.0,53036000000.0
28,Other Income Expense,-238000000.0,302000000.0,1401000000.0,-12000000.0
29,Other Non Operating Income Expenses,-223000000.0,-32000000.0,98000000.0,-40000000.0
30,Special Income Charges,-30000000.0,-101000000.0,-13000000.0,-133000000.0
31,Write Off,30000000.0,101000000.0,13000000.0,133000000.0
32,Gain On Sale Of Security,15000000.0,435000000.0,1316000000.0,161000000.0
33,Net Non Operating Interest Income Expense,1026000000.0,31000000.0,-215000000.0,89000000.0
34,Interest Expense Non Operating,1968000000.0,2063000000.0,2346000000.0,2591000000.0
35,Interest Income Non Operating,2994000000.0,2094000000.0,2131000000.0,2680000000.0
36,Operating Income,88523000000.0,83383000000.0,69916000000.0,52959000000.0
37,Operating Expense,57529000000.0,52237000000.0,45940000000.0,43978000000.0
38,Research And Development,27195000000.0,24512000000.0,20716000000.0,19269000000.0
39,Selling General And Administration,30334000000.0,27725000000.0,25224000000.0,24709000000.0
40,Selling And Marketing Expense,22759000000.0,21825000000.0,20117000000.0,19598000000.0
41,General And Administrative Expense,7575000000.0,5900000000.0,5107000000.0,5111000000.0
42,Other Gand A,7575000000.0,5900000000.0,5107000000.0,5111000000.0
43,Gross Profit,146052000000.0,135620000000.0,115856000000.0,96937000000.0
44,Cost Of Revenue,65863000000.0,62650000000.0,52232000000.0,46078000000.0
45,Total Revenue,211915000000.0,198270000000.0,168088000000.0,143015000000.0
46,Operating Revenue,211915000000.0,198270000000.0,168088000000.0,143015000000.0
