level_0,index,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00
0,Treasury Shares Number,,,,1380000000.0
1,Ordinary Shares Number,2464000000.0,2466136572.0,2506000000.0,2480000000.0
2,Share Issued,2464000000.0,2466136572.0,2506000000.0,3860000000.0
3,Net Debt,2429000000.0,7564000000.0,8956000000.0,6116000000.0
4,Total Debt,11056000000.0,12031000000.0,11831000000.0,7597000000.0
5,Tangible Book Value,37436000000.0,16053000000.0,19924000000.0,9963000000.0
6,Invested Capital,52687000000.0,33054000000.0,37558000000.0,23856000000.0
7,Working Capital,33714000000.0,16510000000.0,24494000000.0,12130000000.0
8,Net Tangible Assets,37436000000.0,16053000000.0,19924000000.0,9963000000.0
9,Capital Lease Obligations,1347000000.0,1078000000.0,885000000.0,634000000.0
10,Common Stock Equity,42978000000.0,22101000000.0,26612000000.0,16893000000.0
11,Total Capitalization,51437000000.0,31804000000.0,37558000000.0,22857000000.0
12,Total Equity Gross Minority Interest,42978000000.0,22101000000.0,26612000000.0,16893000000.0
13,Stockholders Equity,42978000000.0,22101000000.0,26612000000.0,16893000000.0
14,Gains Losses Not Affecting Retained Earnings,27000000.0,-43000000.0,-11000000.0,19000000.0
15,Other Equity Adjustments,27000000.0,-43000000.0,-11000000.0,19000000.0
16,Treasury Stock,,,0.0,10756000000.0
17,Retained Earnings,29817000000.0,10171000000.0,16235000000.0,18908000000.0
18,Additional Paid In Capital,13132000000.0,11971000000.0,10385000000.0,8719000000.0
19,Capital Stock,2000000.0,2000000.0,3000000.0,3000000.0
20,Common Stock,2000000.0,2000000.0,3000000.0,3000000.0
21,Preferred Stock,0.0,0.0,0.0,0.0
22,Total Liabilities Net Minority Interest,22750000000.0,19081000000.0,17575000000.0,11898000000.0
23,Total Non Current Liabilities Net Minority Interest,12119000000.0,12518000000.0,13240000000.0,7973000000.0
24,Other Non Current Liabilities,65000000.0,63000000.0,49000000.0,135000000.0
25,Employee Benefits,,,,33000000.0
26,Tradeand Other Payables Non Current,1441000000.0,1385000000.0,1057000000.0,836000000.0
27,Non Current Deferred Liabilities,1035000000.0,465000000.0,447000000.0,404000000.0
28,Non Current Deferred Revenue,573000000.0,218000000.0,202000000.0,163000000.0
29,Non Current Deferred Taxes Liabilities,462000000.0,247000000.0,245000000.0,241000000.0
30,Long Term Debt And Capital Lease Obligation,9578000000.0,10605000000.0,11687000000.0,6598000000.0
31,Long Term Capital Lease Obligation,1119000000.0,902000000.0,741000000.0,634000000.0
32,Long Term Debt,8459000000.0,9703000000.0,10946000000.0,5964000000.0
33,Current Liabilities,10631000000.0,6563000000.0,4335000000.0,3925000000.0
34,Other Current Liabilities,1854000000.0,1023000000.0,567000000.0,562000000.0
35,Current Deferred Liabilities,764000000.0,354000000.0,300000000.0,288000000.0
36,Current Deferred Revenue,764000000.0,354000000.0,300000000.0,288000000.0
37,Current Debt And Capital Lease Obligation,1478000000.0,1426000000.0,144000000.0,999000000.0
38,Current Capital Lease Obligation,228000000.0,176000000.0,144000000.0,121000000.0
39,Current Debt,1250000000.0,1250000000.0,,999000000.0
40,Other Current Borrowings,1250000000.0,1250000000.0,,999000000.0
41,Current Provisions,415000000.0,108000000.0,,
42,Payables And Accrued Expenses,6120000000.0,3652000000.0,3324000000.0,2076000000.0
43,Current Accrued Expenses,3125000000.0,1992000000.0,1409000000.0,927000000.0
44,Interest Payable,,,,74000000.0
45,Payables,2995000000.0,1660000000.0,1915000000.0,1149000000.0
46,Total Tax Payable,296000000.0,467000000.0,132000000.0,61000000.0
47,Accounts Payable,2699000000.0,1193000000.0,1783000000.0,1149000000.0
48,Total Assets,65728000000.0,41182000000.0,44187000000.0,28791000000.0
49,Total Non Current Assets,21383000000.0,18109000000.0,15358000000.0,12736000000.0
50,Other Non Current Assets,132000000.0,145000000.0,66000000.0,203000000.0
51,Non Current Prepaid Assets,2822000000.0,3376000000.0,3509000000.0,1797000000.0
52,Non Current Deferred Assets,6081000000.0,3396000000.0,1222000000.0,806000000.0
53,Non Current Deferred Taxes Assets,6081000000.0,3396000000.0,1222000000.0,806000000.0
54,Investments And Advances,1546000000.0,299000000.0,266000000.0,144000000.0
55,Other Investments,1546000000.0,299000000.0,266000000.0,144000000.0
56,Goodwill And Other Intangible Assets,5542000000.0,6048000000.0,6688000000.0,6930000000.0
57,Other Intangible Assets,1112000000.0,1676000000.0,2339000000.0,2737000000.0
58,Goodwill,4430000000.0,4372000000.0,4349000000.0,4193000000.0
59,Net PPE,5260000000.0,4845000000.0,3607000000.0,2856000000.0
60,Accumulated Depreciation,-3509000000.0,-2694000000.0,-1903000000.0,-1408000000.0
61,Gross PPE,8769000000.0,7539000000.0,5510000000.0,4264000000.0
62,Leases,,,,385000000.0
63,Construction In Progress,189000000.0,382000000.0,737000000.0,558000000.0
64,Other Properties,1346000000.0,1038000000.0,829000000.0,707000000.0
