level_0,index,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00
0,Free Cash Flow,27021000000.0,3808000000.0,8132000000.0,4694000000.0
1,Repurchase Of Capital Stock,-9533000000.0,-10039000000.0,0.0,0.0
2,Repayment Of Debt,-1250000000.0,0.0,-1000000000.0,0.0
3,Issuance Of Debt,0.0,0.0,4977000000.0,4968000000.0
4,Capital Expenditure,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0
5,Interest Paid Supplemental Data,252000000.0,254000000.0,246000000.0,138000000.0
6,Income Tax Paid Supplemental Data,6549000000.0,1404000000.0,396000000.0,249000000.0
7,End Cash Position,7280000000.0,3389000000.0,1990000000.0,847000000.0
8,Beginning Cash Position,3389000000.0,1990000000.0,847000000.0,10896000000.0
9,Changes In Cash,3891000000.0,1399000000.0,1143000000.0,-10049000000.0
10,Financing Cash Flow,-13633000000.0,-11617000000.0,1865000000.0,3804000000.0
11,Cash Flow From Continuing Financing Activities,-13633000000.0,-11617000000.0,1865000000.0,3804000000.0
12,Net Other Financing Charges,-2858000000.0,-1535000000.0,-1994000000.0,-963000000.0
13,Proceeds From Stock Option Exercised,403000000.0,355000000.0,281000000.0,194000000.0
14,Cash Dividends Paid,-395000000.0,-398000000.0,-399000000.0,-395000000.0
15,Common Stock Dividend Paid,,-398000000.0,-399000000.0,-395000000.0
16,Net Common Stock Issuance,-9533000000.0,-10039000000.0,0.0,0.0
17,Common Stock Payments,-9533000000.0,-10039000000.0,0.0,0.0
18,Net Issuance Payments Of Debt,-1250000000.0,0.0,3977000000.0,4968000000.0
19,Net Long Term Debt Issuance,-1250000000.0,0.0,3977000000.0,4968000000.0
20,Long Term Debt Payments,-1250000000.0,0.0,-1000000000.0,0.0
21,Long Term Debt Issuance,0.0,0.0,4977000000.0,4968000000.0
22,Investing Cash Flow,-10566000000.0,7375000000.0,-9830000000.0,-19675000000.0
23,Cash Flow From Continuing Investing Activities,-10566000000.0,7375000000.0,-9830000000.0,-19675000000.0
24,Net Investment Purchase And Sale,-9414000000.0,9257000000.0,-8591000000.0,-10023000000.0
25,Sale Of Investment,9782000000.0,21231000000.0,16220000000.0,9319000000.0
26,Purchase Of Investment,-19196000000.0,-11974000000.0,-24811000000.0,-19342000000.0
27,Net Business Purchase And Sale,-83000000.0,-49000000.0,-263000000.0,-8524000000.0
28,Purchase Of Business,-83000000.0,-49000000.0,-263000000.0,-8524000000.0
29,Net PPE Purchase And Sale,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0
30,Purchase Of PPE,-1069000000.0,-1833000000.0,-976000000.0,-1128000000.0
31,Capital Expenditure Reported,,,,-1128000000.0
32,Operating Cash Flow,28090000000.0,5641000000.0,9108000000.0,5822000000.0
33,Cash Flow From Continuing Operating Activities,28090000000.0,5641000000.0,9108000000.0,5822000000.0
34,Change In Working Capital,-3722000000.0,-2207000000.0,-3363000000.0,-703000000.0
35,Change In Other Working Capital,,,,163000000.0
36,Change In Other Current Liabilities,514000000.0,252000000.0,192000000.0,163000000.0
37,Change In Payables And Accrued Expense,3556000000.0,790000000.0,1149000000.0,602000000.0
38,Change In Accrued Expense,2025000000.0,1341000000.0,581000000.0,290000000.0
39,Change In Payable,1531000000.0,-551000000.0,568000000.0,312000000.0
40,Change In Account Payable,1531000000.0,-551000000.0,568000000.0,312000000.0
41,Change In Prepaid Assets,-1522000000.0,-1517000000.0,-1715000000.0,-394000000.0
42,Change In Inventory,-98000000.0,-2554000000.0,-774000000.0,-524000000.0
43,Change In Receivables,-6172000000.0,822000000.0,-2215000000.0,-550000000.0
44,Changes In Account Receivables,-6172000000.0,822000000.0,-2215000000.0,-550000000.0
45,Other Non Cash Items,-278000000.0,1346000000.0,47000000.0,-20000000.0
46,Stock Based Compensation,3549000000.0,2709000000.0,2004000000.0,1397000000.0
47,Deferred Tax,-2489000000.0,-2164000000.0,-406000000.0,-282000000.0
48,Deferred Income Tax,-2489000000.0,-2164000000.0,-406000000.0,-282000000.0
49,Depreciation Amortization Depletion,1508000000.0,1544000000.0,1174000000.0,1098000000.0
50,Depreciation And Amortization,1508000000.0,1544000000.0,1174000000.0,1098000000.0
51,Operating Gains Losses,-238000000.0,45000000.0,-100000000.0,
52,Gain Loss On Investment Securities,-238000000.0,45000000.0,-100000000.0,
53,Net Income From Continuing Operations,29760000000.0,4368000000.0,9752000000.0,4332000000.0
