level_0,index,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,-284130000.0,0.0,0.0
1,Tax Rate For Calcs,0.12,0.21,0.019,0.017
2,Normalized EBITDA,35583000000.0,7340000000.0,11351000000.0,5691000000.0
3,Total Unusual Items,0.0,-1353000000.0,0.0,0.0
4,Total Unusual Items Excluding Goodwill,0.0,-1353000000.0,0.0,0.0
5,Net Income From Continuing Operation Net Minority Interest,29760000000.0,4368000000.0,9752000000.0,4332000000.0
6,Reconciled Depreciation,1508000000.0,1544000000.0,1174000000.0,1098000000.0
7,Reconciled Cost Of Revenue,16621000000.0,11618000000.0,9439000000.0,6279000000.0
8,EBITDA,35583000000.0,5987000000.0,11351000000.0,5691000000.0
9,EBIT,34075000000.0,4443000000.0,10177000000.0,4593000000.0
10,Net Interest Income,609000000.0,5000000.0,-207000000.0,-127000000.0
11,Interest Expense,257000000.0,262000000.0,236000000.0,184000000.0
12,Interest Income,866000000.0,267000000.0,29000000.0,57000000.0
13,Normalized Income,29760000000.0,5436870000.0,9752000000.0,4332000000.0
14,Net Income From Continuing And Discontinued Operation,29760000000.0,4368000000.0,9752000000.0,4332000000.0
15,Total Expenses,27950000000.0,21397000000.0,16873000000.0,12143000000.0
16,Total Operating Income As Reported,32972000000.0,4224000000.0,10041000000.0,4532000000.0
17,Diluted Average Shares,2494000000.0,2507000000.0,2535000000.0,2512000000.0
18,Basic Average Shares,2469000000.0,2487000000.0,2496000000.0,2468000000.0
19,Diluted EPS,11.93,1.74,3.85,1.725
20,Basic EPS,12.05,1.76,3.91,1.755
21,Diluted NI Availto Com Stockholders,29760000000.0,4368000000.0,9752000000.0,4332000000.0
22,Net Income Common Stockholders,29760000000.0,4368000000.0,9752000000.0,4332000000.0
23,Net Income,29760000000.0,4368000000.0,9752000000.0,4332000000.0
24,Net Income Including Noncontrolling Interests,29760000000.0,4368000000.0,9752000000.0,4332000000.0
25,Net Income Continuous Operations,29760000000.0,4368000000.0,9752000000.0,4332000000.0
26,Tax Provision,4058000000.0,-187000000.0,189000000.0,77000000.0
27,Pretax Income,33818000000.0,4181000000.0,9941000000.0,4409000000.0
28,Other Income Expense,237000000.0,-1401000000.0,107000000.0,4000000.0
29,Other Non Operating Income Expenses,237000000.0,-48000000.0,107000000.0,4000000.0
30,Special Income Charges,0.0,-1353000000.0,0.0,0.0
31,Restructuring And Mergern Acquisition,0.0,1353000000.0,0.0,0.0
32,Net Non Operating Interest Income Expense,609000000.0,5000000.0,-207000000.0,-127000000.0
33,Interest Expense Non Operating,257000000.0,262000000.0,236000000.0,184000000.0
34,Interest Income Non Operating,866000000.0,267000000.0,29000000.0,57000000.0
35,Operating Income,32972000000.0,5577000000.0,10041000000.0,4532000000.0
36,Operating Expense,11329000000.0,9779000000.0,7434000000.0,5864000000.0
37,Research And Development,8675000000.0,7339000000.0,5268000000.0,3924000000.0
38,Selling General And Administration,2654000000.0,2440000000.0,2166000000.0,1940000000.0
39,Gross Profit,44301000000.0,15356000000.0,17475000000.0,10396000000.0
40,Cost Of Revenue,16621000000.0,11618000000.0,9439000000.0,6279000000.0
41,Total Revenue,60922000000.0,26974000000.0,26914000000.0,16675000000.0
42,Operating Revenue,60922000000.0,26974000000.0,26914000000.0,16675000000.0
