level_0,index,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
1,Tax Rate For Calcs,0.205001,0.216528,0.205,0.24
2,Normalized EBITDA,36330000000.0,31835000000.0,27073000000.0,25296000000.0
3,Total Unusual Items,,2030000000.0,2324000000.0,1502000000.0
4,Total Unusual Items Excluding Goodwill,,2030000000.0,2324000000.0,1502000000.0
5,Net Income From Continuing Operation Net Minority Interest,22381000000.0,20120000000.0,17285000000.0,15403000000.0
6,Reconciled Depreciation,3972000000.0,3400000000.0,3103000000.0,2891000000.0
7,Reconciled Cost Of Revenue,280664000000.0,244545000000.0,217945000000.0,190141000000.0
8,EBITDA,36330000000.0,31835000000.0,27073000000.0,25296000000.0
9,EBIT,32358000000.0,28435000000.0,23970000000.0,22405000000.0
10,Net Interest Income,-3246000000.0,-2092000000.0,-1660000000.0,-1663000000.0
11,Interest Expense,3246000000.0,2092000000.0,1660000000.0,1663000000.0
12,Normalized Income,22381000000.0,20120000000.0,17285000000.0,15403000000.0
13,Net Income From Continuing And Discontinued Operation,22381000000.0,20120000000.0,17285000000.0,15403000000.0
14,Total Expenses,339264000000.0,295727000000.0,263627000000.0,234736000000.0
15,Total Operating Income As Reported,32358000000.0,28435000000.0,23970000000.0,22405000000.0
16,Diluted Average Shares,938000000.0,950000000.0,956000000.0,961000000.0
17,Basic Average Shares,928000000.0,934000000.0,943000000.0,946000000.0
18,Diluted EPS,23.86,21.18,18.08,16.03
19,Basic EPS,24.12,21.541756,18.33,16.282241
20,Diluted NI Availto Com Stockholders,22381000000.0,20120000000.0,17285000000.0,15403000000.0
21,Net Income Common Stockholders,22381000000.0,20120000000.0,17285000000.0,15403000000.0
22,Net Income,22381000000.0,20120000000.0,17285000000.0,15403000000.0
23,Minority Interests,-763000000.0,-519000000.0,-447000000.0,-366000000.0
24,Net Income Including Noncontrolling Interests,23144000000.0,20639000000.0,17732000000.0,15769000000.0
25,Net Income Continuous Operations,23144000000.0,20639000000.0,17732000000.0,15769000000.0
26,Tax Provision,5968000000.0,5704000000.0,4578000000.0,4973000000.0
27,Pretax Income,29112000000.0,26343000000.0,22310000000.0,20742000000.0
28,Other Income Expense,,2030000000.0,2324000000.0,1502000000.0
29,Gain On Sale Of Security,,2030000000.0,2324000000.0,1502000000.0
30,Net Non Operating Interest Income Expense,-3246000000.0,-2092000000.0,-1660000000.0,-1663000000.0
31,Interest Expense Non Operating,3246000000.0,2092000000.0,1660000000.0,1663000000.0
32,Operating Income,32358000000.0,28435000000.0,23970000000.0,22405000000.0
33,Operating Expense,58600000000.0,51182000000.0,45682000000.0,44595000000.0
34,Other Operating Expenses,54628000000.0,47782000000.0,42579000000.0,41704000000.0
35,Depreciation Amortization Depletion Income Statement,3972000000.0,3400000000.0,3103000000.0,2891000000.0
36,Depreciation And Amortization In Income Statement,3972000000.0,3400000000.0,3103000000.0,2891000000.0
37,Gross Profit,90958000000.0,79617000000.0,69652000000.0,67000000000.0
38,Cost Of Revenue,280664000000.0,244545000000.0,217945000000.0,190141000000.0
39,Total Revenue,371622000000.0,324162000000.0,287597000000.0,257141000000.0
40,Operating Revenue,367533000000.0,322132000000.0,285273000000.0,255639000000.0
