level_0,index,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00
0,Tax Effect Of Unusual Items,0.0,0.0,-612140000.0,0.0
1,Tax Rate For Calcs,0.255,0.336,0.254,0.333
2,Normalized EBITDA,36384000000.0,30089000000.0,33758000000.0,34031000000.0
3,Total Unusual Items,0.0,0.0,-2410000000.0,0.0
4,Total Unusual Items Excluding Goodwill,0.0,0.0,-2410000000.0,0.0
5,Net Income From Continuing Operation Net Minority Interest,15511000000.0,11680000000.0,13673000000.0,13510000000.0
6,Reconciled Depreciation,11853000000.0,10945000000.0,10658000000.0,11152000000.0
7,Reconciled Cost Of Revenue,490142000000.0,463721000000.0,429000000000.0,420315000000.0
8,EBITDA,36384000000.0,30089000000.0,31348000000.0,34031000000.0
9,EBIT,24531000000.0,19144000000.0,20690000000.0,22879000000.0
10,Net Interest Income,-2137000000.0,-1874000000.0,-1836000000.0,-2194000000.0
11,Interest Expense,2683000000.0,2128000000.0,1994000000.0,2315000000.0
12,Interest Income,546000000.0,254000000.0,158000000.0,121000000.0
13,Normalized Income,15511000000.0,11680000000.0,15470860000.0,13510000000.0
14,Net Income From Continuing And Discontinued Operation,15511000000.0,11680000000.0,13673000000.0,13510000000.0
15,Total Expenses,621113000000.0,590861000000.0,546812000000.0,536603000000.0
16,Total Operating Income As Reported,27012000000.0,20428000000.0,25942000000.0,22548000000.0
17,Diluted Average Shares,8108000000.0,8202000000.0,8415000000.0,8541000000.0
18,Basic Average Shares,8076999999.0,8171000000.0,8376000000.0,8493000000.0
19,Diluted EPS,1.91,1.42,1.62,1.583333
20,Basic EPS,1.92,1.43,1.63,1.59
21,Diluted NI Availto Com Stockholders,15511000000.0,11680000000.0,13673000000.0,13510000000.0
22,Net Income Common Stockholders,15511000000.0,11680000000.0,13673000000.0,13510000000.0
23,Net Income,15511000000.0,11680000000.0,13673000000.0,13510000000.0
24,Minority Interests,-759000000.0,388000000.0,-267000000.0,-196000000.0
25,Net Income Including Noncontrolling Interests,16270000000.0,11292000000.0,13940000000.0,13706000000.0
26,Net Income Continuous Operations,16270000000.0,11292000000.0,13940000000.0,13706000000.0
27,Tax Provision,5578000000.0,5724000000.0,4756000000.0,6858000000.0
28,Pretax Income,21848000000.0,17016000000.0,18696000000.0,20564000000.0
29,Other Income Expense,-3027000000.0,-1538000000.0,-5410000000.0,210000000.0
30,Other Non Operating Income Expenses,-3027000000.0,-1538000000.0,-3000000000.0,210000000.0
31,Special Income Charges,0.0,0.0,-2410000000.0,0.0
32,Other Special Charges,,,2410000000.0,
33,Net Non Operating Interest Income Expense,-2137000000.0,-1874000000.0,-1836000000.0,-2194000000.0
34,Interest Expense Non Operating,2683000000.0,2128000000.0,1994000000.0,2315000000.0
35,Interest Income Non Operating,546000000.0,254000000.0,158000000.0,121000000.0
36,Operating Income,27012000000.0,20428000000.0,25942000000.0,22548000000.0
37,Operating Expense,130971000000.0,127140000000.0,117812000000.0,116288000000.0
38,Selling General And Administration,130971000000.0,127140000000.0,117812000000.0,116288000000.0
39,Gross Profit,157983000000.0,147568000000.0,143754000000.0,138836000000.0
40,Cost Of Revenue,490142000000.0,463721000000.0,429000000000.0,420315000000.0
41,Total Revenue,648125000000.0,611289000000.0,572754000000.0,559151000000.0
42,Operating Revenue,648125000000.0,611289000000.0,572754000000.0,559151000000.0
