index,Date,MSFT,AAPL,NVDA,AVGO,BRK-B,JPM,LLY,UNH,AMZN,GE,GOOG,WMT,XOM,LIN
0,2019-03-24,18,25,5,11,21,27,25,70,44,71,41,25,17,19
1,2019-03-31,20,20,5,9,29,28,25,69,54,71,40,29,17,23
2,2019-04-07,18,21,5,8,19,41,20,76,49,76,40,29,16,22
3,2019-04-14,18,19,4,11,21,25,23,97,44,69,36,28,14,20
4,2019-04-21,45,22,5,10,34,25,23,79,92,66,42,31,23,20
5,2019-04-28,28,37,5,12,52,26,25,78,64,73,64,30,18,20
6,2019-05-05,24,20,5,10,41,23,20,64,56,68,43,29,17,20
7,2019-05-12,24,23,9,12,21,23,21,65,54,66,46,45,16,22
8,2019-05-19,19,19,5,18,14,21,22,53,49,69,41,28,15,22
9,2019-05-26,15,15,4,11,0,20,20,37,42,67,38,24,15,24
10,2019-06-02,24,20,5,14,15,25,22,40,58,70,51,33,16,29
11,2019-06-09,22,16,5,37,27,21,26,39,46,68,39,38,17,54
12,2019-06-16,23,17,4,18,17,22,24,42,45,76,41,38,17,33
13,2019-06-23,23,17,5,14,29,24,21,41,37,75,40,35,16,21
14,2019-06-30,18,15,4,20,13,22,21,32,32,72,33,27,14,22
15,2019-07-07,22,17,5,14,29,26,25,51,46,73,36,35,15,21
16,2019-07-14,41,15,4,12,28,34,22,54,43,74,34,32,15,22
17,2019-07-21,28,17,4,11,12,21,20,47,58,70,53,30,14,20
18,2019-07-28,23,30,4,10,22,21,24,47,41,75,40,28,16,40
19,2019-08-04,25,19,4,13,28,25,23,43,48,70,37,31,17,20
20,2019-08-11,25,21,6,11,28,24,23,49,41,100,35,56,21,20
21,2019-08-18,23,18,5,11,27,23,20,69,39,86,37,38,18,23
22,2019-08-25,21,16,3,11,23,19,21,100,35,71,39,31,16,21
23,2019-09-01,16,12,3,10,22,18,18,76,28,71,34,33,14,18
24,2019-09-08,20,21,4,25,21,26,20,80,37,67,39,32,17,17
25,2019-09-15,24,16,3,13,31,27,21,78,30,66,36,29,25,20
26,2019-09-22,20,14,3,12,18,20,21,82,33,66,37,30,15,20
27,2019-09-29,21,17,3,10,14,22,19,83,30,66,34,31,16,19
28,2019-10-06,21,18,4,9,22,22,20,76,29,71,33,28,16,20
29,2019-10-13,21,16,4,10,26,38,20,78,30,65,32,30,15,23
30,2019-10-20,45,18,4,9,19,27,21,67,66,69,37,28,15,20
31,2019-10-27,36,30,4,10,11,23,22,72,35,70,50,27,18,19
32,2019-11-03,24,21,4,14,35,26,21,74,31,82,38,31,21,20
33,2019-11-10,24,17,7,11,22,20,19,74,27,75,36,52,15,19
34,2019-11-17,25,17,4,11,10,19,18,81,28,74,36,34,15,21
35,2019-11-24,18,13,4,8,11,17,21,50,25,81,26,27,13,20
36,2019-12-01,21,16,4,10,20,22,20,64,31,71,36,26,16,19
37,2019-12-08,20,18,4,23,23,24,21,58,26,66,36,26,17,19
38,2019-12-15,23,20,5,17,20,26,28,51,30,69,32,28,16,20
39,2019-12-22,19,16,3,11,27,17,20,37,32,68,26,27,15,23
40,2019-12-29,23,19,3,12,32,21,18,38,31,72,27,25,20,19
41,2020-01-05,29,24,4,14,25,31,23,48,38,76,37,31,22,19
42,2020-01-12,33,24,4,14,40,54,22,68,34,73,42,31,18,18
43,2020-01-19,25,19,3,18,24,24,21,76,27,71,35,25,19,19
44,2020-01-26,43,41,4,16,30,24,25,76,79,77,41,27,31,20
45,2020-02-02,45,24,4,12,27,24,24,65,47,74,56,28,35,19
46,2020-02-09,62,21,11,14,23,21,24,73,47,71,41,32,29,21
47,2020-02-16,37,23,8,13,30,20,22,68,35,69,35,51,23,17
48,2020-02-23,67,40,9,15,52,34,27,79,53,71,45,40,45,19
49,2020-03-01,56,40,7,15,61,42,23,79,46,73,43,40,47,18
50,2020-03-08,81,50,8,25,86,75,26,83,75,77,52,62,100,18
51,2020-03-15,71,48,7,26,80,74,24,45,85,78,51,91,72,19
52,2020-03-22,62,40,7,22,100,64,22,48,63,88,50,73,74,19
53,2020-03-29,51,26,6,15,82,51,23,45,38,80,38,47,69,18
54,2020-04-05,43,20,5,13,85,50,22,45,38,78,35,49,65,19
55,2020-04-12,45,27,6,13,75,100,26,56,81,77,41,56,61,20
56,2020-04-19,41,20,5,14,55,52,27,50,65,80,40,49,93,17
57,2020-04-26,67,32,5,14,62,48,22,48,99,84,60,43,63,20
58,2020-05-03,44,21,5,13,93,45,22,40,50,84,37,37,54,17
59,2020-05-10,39,22,7,12,59,60,23,42,41,81,38,44,47,19
60,2020-05-17,34,18,12,12,61,47,23,41,39,86,36,81,48,18
61,2020-05-24,31,15,7,12,39,52,23,34,36,91,35,34,38,15
62,2020-05-31,34,17,6,26,52,50,25,35,37,82,32,37,48,17
63,2020-06-07,46,26,6,17,57,57,26,37,55,87,38,40,54,17
64,2020-06-14,39,22,6,16,54,49,33,40,43,78,32,37,45,18
65,2020-06-21,45,28,6,12,55,57,25,37,45,84,35,35,39,19
66,2020-06-28,35,19,5,12,29,49,24,32,46,84,33,28,32,56
67,2020-07-05,45,25,8,12,45,54,26,36,80,81,35,78,34,75
68,2020-07-12,47,28,7,11,44,92,23,47,79,82,37,60,34,54
69,2020-07-19,95,27,6,11,32,42,23,41,81,80,36,47,34,45
70,2020-07-26,50,48,6,11,31,41,26,37,100,83,49,41,38,35
71,2020-08-02,78,48,7,15,54,39,31,40,58,80,39,41,36,30
72,2020-08-09,44,43,7,11,50,46,24,44,50,76,35,46,36,25
73,2020-08-16,40,50,17,10,52,38,23,45,55,77,35,95,29,27
74,2020-08-23,49,63,9,14,51,38,20,60,50,82,39,71,45,26
75,2020-08-30,57,100,14,35,38,40,25,84,68,76,41,99,39,22
76,2020-09-06,43,62,9,12,24,33,22,66,47,74,37,52,34,22
77,2020-09-13,45,63,12,12,40,38,23,57,49,72,36,59,35,22
78,2020-09-20,41,54,8,12,31,40,22,53,54,68,37,54,33,20
79,2020-09-27,34,43,8,10,42,37,23,57,44,71,35,49,36,20
80,2020-10-04,34,39,9,10,38,36,31,57,42,74,35,46,38,21
81,2020-10-11,33,58,7,11,31,52,30,64,56,82,32,49,33,18
82,2020-10-18,31,38,5,7,17,31,24,52,46,75,37,41,34,18
83,2020-10-25,52,50,6,8,35,36,31,51,69,78,44,44,41,19
84,2020-11-01,32,36,5,7,20,28,21,50,47,65,35,35,31,16
85,2020-11-08,35,39,7,9,50,42,31,62,54,82,35,50,43,26
86,2020-11-15,29,30,11,8,36,37,25,59,48,92,33,80,40,48
87,2020-11-22,24,24,5,7,25,26,23,32,38,97,26,42,37,54
88,2020-11-29,27,33,6,11,31,33,27,45,44,85,32,52,40,57
89,2020-12-06,26,28,5,17,42,30,25,41,38,80,30,43,41,43
90,2020-12-13,29,33,5,12,31,35,32,36,40,75,30,44,40,60
91,2020-12-20,26,33,3,10,25,38,27,27,33,72,25,39,28,52
92,2020-12-27,24,30,3,10,30,25,22,31,36,77,25,37,30,67
93,2021-01-03,30,35,6,10,52,42,25,39,40,81,31,40,39,100
94,2021-01-10,26,30,6,10,34,61,36,41,34,79,30,41,48,62
95,2021-01-17,28,31,5,9,42,37,32,46,40,79,32,34,37,41
96,2021-01-24,60,66,5,9,48,38,30,49,44,82,36,41,38,26
97,2021-01-31,40,45,5,11,34,38,28,69,87,81,52,44,49,24
98,2021-02-07,31,32,8,12,41,28,28,70,37,74,34,38,47,22
99,2021-02-14,24,27,6,11,28,30,28,62,31,73,30,68,41,25
100,2021-02-21,32,43,10,11,50,41,29,65,39,81,33,55,49,27
101,2021-02-28,31,40,8,19,59,39,28,66,41,80,33,63,54,25
102,2021-03-07,31,40,7,14,53,34,32,56,36,88,33,57,56,20
103,2021-03-14,26,34,5,12,46,36,42,53,34,78,30,44,41,22
104,2021-03-21,27,29,4,9,48,32,28,56,30,68,29,42,37,19
105,2021-03-28,26,24,4,9,48,28,26,56,28,68,30,37,29,19
106,2021-04-04,34,31,4,10,29,33,27,52,38,70,34,44,30,20
107,2021-04-11,35,30,9,8,24,50,26,57,34,70,31,36,30,19
108,2021-04-18,28,30,6,9,36,29,27,61,30,69,31,37,29,23
109,2021-04-25,49,43,4,7,30,30,26,55,64,69,50,33,34,23
110,2021-05-02,31,27,4,7,56,30,24,56,40,69,33,34,36,20
111,2021-05-09,31,27,5,10,57,34,23,48,37,67,33,37,42,21
112,2021-05-16,26,23,6,8,38,29,23,45,31,65,30,48,34,23
113,2021-05-23,24,21,12,8,37,26,26,32,31,72,31,31,34,20
114,2021-05-30,20,18,8,12,26,23,24,28,22,70,27,25,31,18
115,2021-06-06,25,20,8,8,24,28,36,27,30,74,30,29,32,26
116,2021-06-13,25,22,10,10,17,35,25,29,32,69,31,30,36,31
117,2021-06-20,32,21,10,9,25,33,32,32,34,69,30,27,33,23
118,2021-06-27,28,21,11,9,24,37,25,27,30,76,31,35,31,18
119,2021-07-04,30,24,9,7,15,27,26,32,47,70,30,28,27,21
120,2021-07-11,30,30,11,11,32,48,26,37,37,71,33,29,29,20
121,2021-07-18,31,26,17,9,27,32,27,34,36,72,34,27,30,19
122,2021-07-25,40,38,10,9,27,26,27,37,61,71,51,29,31,18
123,2021-08-01,25,22,9,8,21,30,28,39,43,80,32,30,26,19
124,2021-08-08,24,21,8,7,29,27,26,36,31,70,30,39,24,23
125,2021-08-15,31,23,13,7,22,26,29,44,31,69,31,49,25,19
126,2021-08-22,31,20,11,8,29,27,28,57,32,72,36,34,26,19
127,2021-08-29,25,22,9,15,27,26,24,100,33,67,34,30,23,17
128,2021-09-05,20,21,6,8,15,21,25,80,24,67,31,25,18,20
129,2021-09-12,26,24,6,7,21,22,24,71,24,62,34,25,22,19
130,2021-09-19,28,22,8,9,22,28,25,70,26,68,35,24,24,18
