,time,scores
0,20220301T080000,-0.27746
1,20220302T020013,-0.495467
2,20220302T080000,-0.469431
3,20220302T080000,-0.118323
4,20220303T080000,-0.092622
5,20220303T080000,-0.32199
6,20220303T172517,-0.04104
7,20220303T210336,-0.009081
8,20220304T080000,-0.260707
9,20220304T133004,0.199746
10,20220304T135006,0.095876
11,20220304T151933,-0.061315
12,20220304T155000,0.136708
13,20220304T161100,0.017721
14,20220304T212700,0.15932
15,20220305T022509,-0.249991
16,20220305T151200,0.082638
17,20220305T230100,-0.252991
18,20220306T111500,0.184712
19,20220306T142103,0.004142
20,20220306T173400,0.036571
21,20220307T104257,-0.021708
22,20220307T105300,-0.094578
23,20220307T120000,0.008423
24,20220307T120000,0.009702
25,20220307T121800,-0.055535
26,20220307T134126,0.021101
27,20220307T135003,-0.030878
28,20220307T140000,0.394929
29,20220307T141640,-0.074536
30,20220307T142000,-0.169237
31,20220307T150300,0.114362
32,20220307T151451,-0.115669
33,20220307T152100,0.334464
34,20220307T152100,0.339247
35,20220307T152100,0.361503
36,20220307T153600,0.254281
37,20220307T155100,-0.046687
38,20220307T164000,-0.094686
39,20220307T164000,-0.100677
40,20220307T164000,-0.101977
41,20220307T170500,-0.105532
42,20220307T191710,0.025978
43,20220307T192633,-0.443884
44,20220307T200102,-0.375937
45,20220307T204200,-0.081035
46,20220307T210000,0.004504
47,20220307T215100,-0.07063
48,20220307T221957,0.111787
49,20220308T002100,-0.126248
50,20220401T060314,-0.168565
51,20220401T090100,0.43251
52,20220401T101419,-0.280531
53,20220401T101419,-0.306544
54,20220401T101757,-0.037092
55,20220401T102008,0.077727
56,20220401T102008,0.087454
57,20220401T104600,0.065927
58,20220401T105200,-0.201736
59,20220401T105300,0.029762
60,20220401T110000,0.040252
61,20220401T110200,-0.25426
62,20220401T110300,0.577822
63,20220401T111400,0.059433
64,20220401T114100,-0.607914
65,20220401T114606,-0.069069
66,20220401T121300,-0.079516
67,20220401T122200,-0.014834
68,20220401T131500,0.360981
69,20220401T132123,-0.016447
70,20220401T132400,-0.092513
71,20220401T134800,-0.030102
72,20220401T135539,-0.012358
73,20220401T141049,0.094253
74,20220401T141352,-0.040714
75,20220401T144500,0.107854
76,20220401T152400,-0.01158
77,20220401T153100,-0.039539
78,20220401T160000,0.143432
79,20220401T160500,-0.317871
80,20220401T161238,-0.033652
81,20220401T165700,-0.192608
82,20220401T165700,-0.032937
83,20220401T170000,0.006127
84,20220401T170000,0.004872
85,20220401T171303,-0.045411
86,20220401T180800,0.086628
87,20220401T181911,-0.24813
88,20220401T193000,0.190086
89,20220401T200025,0.020753
90,20220401T201238,-0.331051
91,20220401T202528,0.036473
92,20220401T202528,0.035044
93,20220401T210300,-0.12234
94,20220402T002900,-0.168803
95,20220402T014100,-0.131738
96,20220402T034711,-0.062928
97,20220402T094753,-0.259529
98,20220402T095500,0.313146
99,20220402T103000,-0.031682
100,20220501T125500,0.078992
101,20220501T130300,-0.117024
102,20220501T162653,-0.285103
103,20220501T190000,0.104638
104,20220502T070000,0.015774
105,20220502T071000,0.01477
106,20220502T090300,-0.122611
107,20220502T093000,-0.056689
108,20220502T100600,-0.119304
109,20220502T101736,-0.0986
110,20220502T103633,-0.168803
111,20220502T110602,-0.020128
112,20220502T112500,-0.180033
113,20220502T114000,0.022094
114,20220502T115558,0.028594
115,20220502T115800,-0.288977
116,20220502T120000,-0.211657
117,20220502T121700,-0.347167
118,20220502T130006,0.04547
119,20220502T132022,-0.23387
120,20220502T133200,-0.104015
121,20220502T133300,-0.482665
122,20220502T133800,-0.115086
123,20220502T135400,-0.225447
124,20220502T145600,-0.065732
125,20220502T153000,-0.343713
126,20220502T160109,-0.253058
127,20220502T162300,-0.068197
128,20220502T163025,-0.18766
129,20220502T165200,-0.306224
130,20220502T165441,-0.114741
131,20220502T170500,-0.027122
132,20220502T173700,-0.29272
133,20220502T174426,0.046258
134,20220502T175600,-0.018146
135,20220502T181500,-0.038852
136,20220502T183900,-0.189944
137,20220502T184411,0.08928
138,20220502T185615,-0.232264
139,20220502T192600,-0.262074
140,20220502T195300,-0.199539
