,time,scores
0,20220301T080000,-0.337465
1,20220301T212653,-0.056675
2,20220303T172517,-0.04104
3,20220303T201500,0.150597
4,20220304T114200,-0.074308
5,20220304T120400,0.047425
6,20220304T140000,0.388264
7,20220304T153000,0.186759
8,20220304T154410,-0.28593
9,20220304T155300,0.106331
10,20220304T160140,0.010127
11,20220304T160700,0.156452
12,20220304T173700,-0.218787
13,20220304T213559,0.176178
14,20220305T005700,-0.320941
15,20220305T022509,-0.249991
16,20220305T131500,-0.371636
17,20220305T204400,-0.103437
18,20220306T091500,0.008616
19,20220306T130000,-0.196634
20,20220306T175900,-0.22453
21,20220306T210100,-0.290753
22,20220307T070000,0.065314
23,20220307T073000,0.01084
24,20220307T110000,0.279273
25,20220307T110000,0.269129
26,20220307T123000,-0.346293
27,20220307T123000,-0.346456
28,20220307T123000,-0.346193
29,20220307T131500,0.219493
30,20220307T131500,0.217734
31,20220307T131500,0.235093
32,20220307T134126,0.021101
33,20220307T142427,-0.201534
34,20220307T150300,0.114362
35,20220307T151641,-0.013892
36,20220307T152641,0.205444
37,20220307T160848,-0.116559
38,20220307T163606,0.015639
39,20220307T163901,0.103364
40,20220307T175952,-0.269201
41,20220307T175952,-0.269985
42,20220307T191041,-0.062198
43,20220307T191710,0.025978
44,20220307T192000,0.29933
45,20220307T201600,0.018549
46,20220307T201600,0.018549
47,20220307T211142,-0.246647
48,20220307T215100,-0.07063
49,20220307T215300,0.744377
50,20220401T051447,-0.012929
51,20220401T060314,-0.168565
52,20220401T090100,0.43251
53,20220401T090831,-0.029419
54,20220401T095500,-0.029561
55,20220401T101500,0.028177
56,20220401T105200,-0.201736
57,20220401T111212,0.018406
58,20220401T112909,-0.294702
59,20220401T114500,-0.248126
60,20220401T114802,-0.129396
61,20220401T120000,-0.067356
62,20220401T123000,-0.000882
63,20220401T135800,-0.28887
64,20220401T140600,-0.052754
65,20220401T142200,0.155585
66,20220401T143000,-0.247592
67,20220401T144100,0.019668
68,20220401T152553,-0.00652
69,20220401T154339,-0.046036
70,20220401T155300,-0.13173
71,20220401T160006,-0.044671
72,20220401T160500,-0.317871
73,20220401T162200,0.124618
74,20220401T165817,-0.267358
75,20220401T165900,-0.25287
76,20220401T170822,-0.229452
77,20220401T171500,0.164189
78,20220401T174155,-0.105784
79,20220401T174155,-0.105784
80,20220401T180922,-0.105265
81,20220401T182006,-0.067329
82,20220401T182346,-0.143531
83,20220401T182400,-0.142088
84,20220401T184200,0.096923
85,20220401T191400,-0.019023
86,20220401T191400,-0.022033
87,20220401T191400,-0.009901
88,20220401T193015,0.016849
89,20220401T194610,0.130615
90,20220401T195200,0.071749
91,20220401T200608,0.037596
92,20220401T200902,-0.063328
93,20220401T201200,0.237573
94,20220401T201245,-0.081225
95,20220401T201818,0.018994
96,20220401T210300,-0.12234
97,20220401T213500,0.017301
98,20220401T215100,-0.204873
99,20220402T013000,-0.006427
100,20220501T050100,-0.115447
101,20220501T110000,0.092683
102,20220501T120000,-0.348947
103,20220501T124000,-0.280986
104,20220501T125000,0.179819
105,20220501T125200,-0.057496
106,20220501T131113,0.069658
107,20220501T144500,-0.435581
108,20220501T163139,-0.117465
109,20220501T163300,-0.017066
110,20220501T173008,-0.052143
111,20220501T203323,-0.121368
112,20220501T220100,-0.249774
113,20220502T085600,-0.096933
114,20220502T090300,-0.122611
115,20220502T090500,0.051591
116,20220502T090800,-0.915648
117,20220502T093000,-0.056689
118,20220502T094100,-0.067008
119,20220502T094646,-0.033097
120,20220502T105300,-0.363788
121,20220502T110602,-0.020128
122,20220502T111000,-0.057161
123,20220502T111000,-0.036762
124,20220502T115558,0.028594
125,20220502T120000,-0.400493
126,20220502T121700,-0.347167
127,20220502T124600,-0.240527
128,20220502T125343,-0.156998
129,20220502T130000,-0.124973
130,20220502T130006,0.026645
131,20220502T131949,-0.034019
132,20220502T132022,-0.23387
133,20220502T132022,-0.269425
134,20220502T133300,-0.482665
135,20220502T134721,-0.432859
136,20220502T140128,-0.207301
137,20220502T142742,0.649511
138,20220502T143423,0.006903
139,20220502T145600,0.126792
140,20220502T145901,-0.60283
141,20220502T150000,0.016465
142,20220502T150919,-0.540275
143,20220502T151500,-0.002614
144,20220502T153000,-0.343713
145,20220502T160109,-0.253058
146,20220502T163000,0.065588
147,20220502T163500,-0.043287
148,20220502T163900,-0.062257
149,20220502T165200,-0.306224
150,20220601T013800,-0.150587
151,20220601T023207,-0.107807
152,20220601T043000,-0.203052
153,20220601T045746,-0.135486
154,20220601T060828,0.01044
155,20220601T090600,-0.038378
156,20220601T095200,-0.15255
157,20220601T101500,0.005282
158,20220601T102008,0.031631
159,20220601T102009,0.044436
160,20220601T103000,-0.396727
