,time,scores
0,20220303T065619,0.010325
1,20220303T210336,-0.009081
2,20220304T172200,0.125201
3,20220304T193600,-0.311832
4,20220306T000000,-0.365286
5,20220307T111311,-0.014886
6,20220307T120000,0.008423
7,20220307T120000,0.009702
8,20220307T125400,0.151308
9,20220307T133500,0.091723
10,20220307T133500,0.077543
11,20220307T144707,-0.326723
12,20220307T151245,-0.052257
13,20220307T153839,-0.068493
14,20220307T163927,-0.015156
15,20220307T173217,-0.317636
16,20220307T173217,-0.303647
17,20220307T190552,-0.003495
18,20220307T200800,-0.087795
19,20220307T200800,-0.292198
20,20220307T212000,-0.015859
21,20220307T215100,-0.07063
22,20220307T232952,-0.193356
23,20220307T232952,-0.187471
24,20220307T232952,-0.180919
25,20220308T120000,0.031097
26,20220308T122100,0.129842
27,20220308T122100,0.126742
28,20220308T122100,0.125369
29,20220308T122100,0.128561
30,20220308T123000,0.259907
31,20220308T123000,0.258545
32,20220308T123000,0.256271
33,20220308T123000,0.256676
34,20220308T123000,0.271521
35,20220308T132135,-0.302096
36,20220308T132135,-0.28398
37,20220308T132135,-0.284356
38,20220308T132900,0.089403
39,20220308T134900,-0.013398
40,20220308T152000,0.083024
41,20220308T153800,0.227341
42,20220308T164000,-0.007525
43,20220308T174000,-0.058355
44,20220308T181943,0.155833
45,20220308T183805,0.012403
46,20220308T191252,0.072319
47,20220308T191943,0.049645
48,20220308T192800,-0.007525
49,20220308T195200,0.114965
50,20220401T102008,0.078354
51,20220401T110000,0.040252
52,20220401T111000,0.12957
53,20220401T113500,0.106207
54,20220401T120500,0.118805
55,20220401T135539,-0.012358
56,20220401T142200,0.155585
57,20220401T153100,-0.039539
58,20220401T174315,-0.223436
59,20220401T185600,0.045133
60,20220401T220236,-0.118432
61,20220401T220236,-0.131311
62,20220401T234500,-0.443871
63,20220402T114800,0.072925
64,20220402T122000,0.326072
65,20220402T134319,0.012434
66,20220402T134319,0.012434
67,20220403T100500,-0.146536
68,20220403T102000,0.108941
69,20220403T110700,0.006283
70,20220403T140000,-0.000116
71,20220403T195305,-0.005318
72,20220404T092000,-0.012013
73,20220404T100000,0.170603
74,20220404T111400,0.045781
75,20220404T123600,-0.065202
76,20220404T123900,0.10479
77,20220404T125339,0.163446
78,20220404T130000,0.145979
79,20220404T152600,0.081308
80,20220404T155231,0.060015
81,20220404T162100,-0.016234
82,20220404T162351,0.03819
83,20220404T174900,-0.031974
84,20220404T182700,-0.005279
85,20220404T182719,0.130569
86,20220404T183000,0.123579
87,20220404T191600,-0.032026
88,20220404T204000,0.075904
89,20220404T205800,-0.429247
90,20220404T205918,0.558887
91,20220404T235343,-0.089246
92,20220405T044913,0.020752
