,time,scores
0,20220301T212653,-0.056675
1,20220302T080000,-0.137569
2,20220302T222604,-0.242739
3,20220303T172008,0.128489
4,20220303T213922,-0.080803
5,20220303T220522,-0.18681
6,20220303T223541,0.063986
7,20220304T020044,0.238714
8,20220304T053036,0.267032
9,20220304T151541,-0.048999
10,20220304T153000,0.186759
11,20220304T153000,-0.001982
12,20220304T154410,-0.28593
13,20220304T160140,0.010127
14,20220304T164500,0.123478
15,20220304T172200,0.125201
16,20220304T180301,-0.002252
17,20220305T000000,-0.039473
18,20220305T005700,-0.320941
19,20220305T204400,-0.103437
20,20220306T000000,-0.365286
21,20220306T130000,-0.196634
22,20220306T221200,0.032512
23,20220307T110000,0.135749
24,20220307T141129,-0.125715
25,20220307T141900,0.276024
26,20220307T142427,-0.201534
27,20220307T142738,0.048049
28,20220307T144424,0.008723
29,20220307T153526,0.004475
30,20220307T164012,0.240905
31,20220307T170600,-0.013167
32,20220307T183500,0.203849
33,20220307T191041,-0.062198
34,20220307T201318,0.228318
35,20220308T110043,0.313391
36,20220308T110047,0.107007
37,20220308T110055,0.311266
38,20220308T133600,0.107709
39,20220308T140600,0.30286
40,20220308T140600,0.304245
41,20220308T140600,0.310157
42,20220308T141500,0.177905
43,20220308T143005,0.14829
44,20220308T150325,-0.062556
45,20220308T151359,0.422918
46,20220308T151500,0.28281
47,20220308T151600,0.28108
48,20220308T162043,-0.051568
49,20220308T170645,0.039535
50,20220401T063550,0.009424
51,20220401T083652,0.06065
52,20220401T095500,-0.167397
53,20220401T102643,0.055402
54,20220401T104500,-0.037867
55,20220401T112013,0.019597
56,20220401T123000,0.002161
57,20220401T125843,-0.197869
58,20220401T130008,-0.206173
59,20220401T130300,0.037145
60,20220401T132543,-0.226568
61,20220401T133003,0.134182
62,20220401T142100,-0.04798
63,20220401T142200,0.155585
64,20220401T142800,-0.222005
65,20220401T143000,-0.247592
66,20220401T150000,0.134169
67,20220401T155300,-0.13173
68,20220401T161109,0.046286
69,20220401T164500,0.000258
70,20220401T164506,0.119663
71,20220401T185600,0.045133
72,20220401T191400,-0.019023
73,20220401T191400,-0.022033
74,20220401T191400,-0.009901
75,20220402T090019,-0.210437
76,20220402T103000,-0.282001
77,20220402T114000,0.089955
78,20220402T121100,0.26394
79,20220402T225800,-0.001224
80,20220403T110300,0.150821
81,20220403T141200,0.205422
82,20220403T214500,0.051313
83,20220404T090000,0.049666
84,20220404T102336,-0.027559
85,20220404T120516,0.009424
86,20220404T123200,0.350268
87,20220404T124600,-0.007596
88,20220404T131200,0.168112
89,20220404T141905,0.187493
90,20220404T142600,0.159318
91,20220404T155759,0.042036
92,20220404T164102,0.001008
93,20220404T164600,-0.091815
94,20220404T173451,-0.02893
95,20220404T175006,0.186713
96,20220404T175244,-0.226094
97,20220404T180819,0.019645
98,20220404T182052,-0.092172
99,20220404T183932,-0.164249
100,20220501T121800,0.171297
101,20220501T131900,0.137275
102,20220501T134700,-0.053588
103,20220502T012645,0.060246
104,20220502T070000,0.015774
105,20220502T111500,0.343694
106,20220502T111500,0.003305
107,20220502T112046,-0.06307
108,20220502T114000,0.022094
109,20220502T121842,0.17108
110,20220502T132136,-0.052607
111,20220502T140000,0.199684
112,20220502T160000,0.069402
113,20220502T183900,0.091043
114,20220502T183900,0.148011
115,20220502T184351,-0.005446
116,20220502T205500,-0.084555
117,20220502T210028,-0.484027
118,20220502T211149,-0.018339
119,20220502T214512,0.000807
120,20220503T040100,0.141647
121,20220503T084900,-0.858509
122,20220503T093017,-0.141209
123,20220503T103000,0.34458
124,20220503T110100,0.037431
125,20220503T120000,0.108397
126,20220503T123000,0.000569
127,20220503T130000,0.174863
128,20220503T142300,0.211198
129,20220503T143000,0.210494
130,20220503T162100,0.018904
131,20220503T165400,0.013294
132,20220503T171800,0.029821
133,20220503T190800,-0.055741
134,20220503T194355,-0.255659
135,20220503T210100,-0.131865
136,20220503T212835,-0.204411
137,20220504T082131,0.029202
138,20220504T083600,0.060752
139,20220504T090021,-0.227816
140,20220504T100145,0.18101
141,20220504T113500,-0.298798
142,20220504T124500,-0.095175
143,20220504T124800,-0.286361
144,20220504T132128,-0.024525
145,20220504T132400,-0.027301
146,20220504T151500,-0.004684
147,20220504T162200,-0.014294
148,20220504T183732,-0.090594
149,20220504T200057,0.271776
150,20220601T014700,-0.28003
151,20220601T103800,-0.213405
152,20220601T110600,-0.01103
153,20220601T113000,0.042378
154,20220601T114500,0.138344
155,20220601T114814,-0.178187
156,20220601T115000,-0.077167
157,20220601T115000,-0.077201
158,20220601T115500,0.03731
159,20220601T130731,0.206629
160,20220601T143000,-0.037409
161,20220601T143000,0.00846
162,20220601T150001,0.028926
163,20220601T160000,0.161872
164,20220601T160000,0.161872
165,20220601T160658,0.030412
166,20220601T162100,0.382206
167,20220601T163100,-0.298548
168,20220601T163200,-0.014537
169,20220601T170537,-0.382839
170,20220601T214500,0.022384
171,20220601T215400,0.348779
172,20220602T000600,-0.136959
173,20220602T023800,-0.148568
174,20220602T030215,0.058958
175,20220602T041800,0.107473
176,20220602T042545,-0.195552
177,20220602T044800,-0.187893
178,20220602T050000,0.21969
179,20220602T073716,-0.069032
180,20220602T100100,-0.033177
181,20220602T101300,-0.27647
182,20220602T102123,-0.149387
183,20220602T102418,-0.527984
184,20220602T102500,-0.15789
185,20220602T104900,0.365722
186,20220602T110101,0.044362
187,20220602T111500,0.252015
188,20220602T112339,0.075397
189,20220602T120000,-0.030593
190,20220602T141000,0.304817
191,20220602T144538,-0.216
192,20220602T145230,-0.123896
193,20220602T150000,0.023269
194,20220602T150000,0.02169
195,20220602T150700,0.046951
196,20220602T154620,0.085608
197,20220602T160042,-0.007048
198,20220602T163731,-0.237178
199,20220602T164300,-0.15261
200,20220701T015134,-0.718424
201,20220701T070200,0.183116
202,20220701T070200,0.172498
203,20220701T070200,0.203899
204,20220701T101100,-0.231911
205,20220701T105100,0.32493
206,20220701T111500,-0.264803
207,20220701T112500,-0.339583
208,20220701T120255,-0.201581
209,20220701T124231,-0.021278
210,20220701T132300,0.073823
211,20220701T135400,-0.186158
212,20220701T135555,-0.562126
213,20220701T140100,-0.096402
214,20220701T151449,-0.169633
215,20220701T155431,-0.458965
216,20220701T184000,0.236504
217,20220701T184500,0.003098
218,20220701T190041,0.057693
219,20220701T193228,-0.037476
220,20220701T194500,-0.119257
221,20220701T211400,-0.18118
222,20220702T090017,-0.230956
223,20220702T103300,0.08764
224,20220702T110500,-0.381671
225,20220702T112200,0.019487
226,20220702T153700,-0.016619
227,20220703T120000,0.053943
228,20220703T181000,0.279902
229,20220703T195809,-0.092393
230,20220704T093300,-0.154347
231,20220704T100916,0.036498
232,20220704T123800,-0.319927
233,20220704T172949,0.060226
234,20220704T195320,-0.127493
235,20220705T010000,-0.339317
236,20220705T050000,0.179235
237,20220705T120621,-0.345826
238,20220705T134700,0.076002
239,20220705T150002,0.023957
240,20220705T150700,0.06297
241,20220705T180111,-0.150741
242,20220705T180653,0.105469
243,20220705T184118,-0.017678
244,20220705T192332,-0.273255
245,20220705T201825,-0.345937
246,20220705T215300,-0.045331
247,20220705T230100,-0.087229
248,20220706T000134,0.073081
249,20220706T013500,0.039175
250,20220801T010000,0.133815
251,20220801T050600,0.034087
252,20220801T100035,0.205768
253,20220801T102000,-0.043489
254,20220801T113027,0.118612
255,20220801T120000,-0.023993
256,20220801T120000,0.300793
257,20220801T120036,0.074509
258,20220801T121400,0.170269
259,20220801T130000,0.144749
260,20220801T132352,-0.016997
261,20220801T140000,-0.066669
262,20220801T140500,0.366765
263,20220801T141500,0.296789
264,20220801T141625,0.153053
265,20220801T151722,0.260148
266,20220801T153000,0.095633
267,20220801T154704,0.064889
268,20220801T163625,0.401731
269,20220801T164908,0.150565
270,20220801T170600,0.047649
271,20220801T171314,0.117047
272,20220801T174654,0.136917
273,20220801T175206,-0.073063
274,20220801T182300,-0.069625
275,20220801T194111,0.160792
276,20220801T195430,0.309863
277,20220801T202400,-0.00485
278,20220801T214518,0.179442
279,20220801T223800,0.041104
280,20220802T010041,0.270586
281,20220802T040017,0.352214
282,20220802T043444,0.341354
283,20220802T053000,0.146294
284,20220802T060538,-0.184459
285,20220802T100500,-0.080152
286,20220802T112045,0.232153
287,20220802T115700,0.273513
