,time,scores
0,20220301T080000,-0.291782
1,20220301T080000,-0.362344
2,20220301T080000,-0.205053
3,20220301T125836,-0.138797
4,20220302T023256,-0.031243
5,20220302T075042,-0.390838
6,20220302T080000,-0.469431
7,20220302T080000,-0.118323
8,20220302T080000,-0.407234
9,20220302T123812,-0.221891
10,20220302T140149,-0.274001
11,20220303T080000,-0.376658
12,20220303T080000,-0.306202
13,20220303T080000,-0.447262
14,20220303T080000,-0.32199
15,20220303T162055,0.157441
16,20220303T170029,-0.34326
17,20220304T124700,0.086344
18,20220304T140007,0.120279
19,20220304T210600,-0.018335
20,20220305T000000,-0.304198
21,20220306T000000,-0.365286
22,20220307T050054,0.029807
23,20220307T100000,0.001683
24,20220307T111500,0.003763
25,20220307T113631,0.120944
26,20220307T121800,-0.055535
27,20220307T131200,0.070237
28,20220307T131802,-0.084869
29,20220307T132400,-0.001861
30,20220307T142427,-0.201534
31,20220307T144300,-0.302677
32,20220307T144400,0.086369
33,20220307T144700,-0.174005
34,20220307T160354,-0.399577
35,20220307T161142,-0.461902
36,20220307T175516,-0.880532
37,20220307T181821,-0.035538
38,20220307T182052,0.008652
39,20220307T184201,-0.205243
40,20220307T210656,-0.230447
41,20220307T213300,-0.005372
42,20220307T214000,-0.390295
43,20220307T214000,-0.390295
44,20220307T221529,-0.232238
45,20220307T224842,-0.24453
46,20220307T233800,0.088231
47,20220308T002100,-0.126248
48,20220308T032516,-0.068867
49,20220308T034800,-0.140627
50,20220401T102008,0.077727
51,20220401T102008,0.087454
52,20220401T105600,0.185777
53,20220401T115200,0.066843
54,20220401T115251,-0.07683
55,20220401T130500,0.012917
56,20220401T132600,-0.046091
57,20220401T155147,0.218738
58,20220401T180600,-0.148933
59,20220401T223500,0.051843
60,20220401T225900,-0.109057
61,20220402T014100,-0.131738
62,20220402T120000,-0.062082
63,20220404T020100,-0.136556
64,20220404T040212,-0.003103
65,20220404T075800,-0.345771
66,20220404T110242,-0.097059
67,20220404T113845,-0.326017
68,20220404T115600,-0.11995
69,20220404T115629,-0.043277
70,20220404T140753,0.033292
71,20220404T141900,0.039556
72,20220404T143100,-0.241659
73,20220404T155500,-0.107717
74,20220404T161012,0.08568
75,20220404T175704,0.125427
76,20220404T184606,-0.253097
77,20220404T214519,0.025472
78,20220404T221700,-0.036126
79,20220405T053000,0.009677
80,20220405T053000,0.030879
81,20220405T070000,-0.029382
82,20220405T111400,0.092676
83,20220405T113100,-0.101162
84,20220405T121000,0.002267
85,20220405T121700,-0.184718
86,20220405T121748,-0.184718
87,20220405T121900,-0.085182
88,20220405T130000,0.152883
89,20220405T180600,0.056293
90,20220405T185902,-0.090687
91,20220405T193036,-0.350362
92,20220405T222900,-0.025397
93,20220405T235700,-0.129697
94,20220406T093000,-0.085696
95,20220406T095900,-0.085425
96,20220406T114300,-0.113296
97,20220406T115124,-0.132482
98,20220406T115139,0.044872
99,20220406T120840,-0.324803
100,20220501T123000,0.145935
101,20220501T140000,0.207744
102,20220502T084100,-0.276805
103,20220502T115100,-0.282055
104,20220502T132022,-0.23387
105,20220502T133800,-0.102808
106,20220502T135432,0.084433
107,20220502T144504,-0.255313
108,20220502T152524,-0.226693
109,20220502T152910,-0.040072
110,20220502T160109,-0.253058
111,20220502T175700,0.030541
112,20220502T203000,0.108266
113,20220502T215700,0.000874
114,20220502T231133,0.003963
115,20220503T025700,-0.063068
116,20220503T070700,-0.232243
117,20220503T092443,0.028283
118,20220503T121600,-0.084916
119,20220503T123400,-0.176693
120,20220503T123459,-0.167081
121,20220503T131500,0.046959
122,20220503T140100,0.017295
123,20220503T151000,-0.022852
124,20220503T155500,0.11112
125,20220503T202500,0.027792
126,20220503T210423,-0.221964
127,20220503T210800,-0.0268
128,20220503T212300,-0.06671
129,20220503T214700,0.002563
130,20220504T005102,-0.130178
131,20220504T022728,-0.162542
132,20220504T115000,0.08547
133,20220504T125929,-0.131254
134,20220504T125929,-0.312508
135,20220504T125929,-0.10891
136,20220504T130007,0.043309
137,20220504T134700,-0.062763
138,20220504T140028,-0.149764
139,20220504T193025,-0.217822
140,20220504T210706,-0.013654
141,20220504T233024,0.332795
142,20220505T012100,-0.086939
143,20220505T060911,-0.131428
144,20220505T093000,-0.062258
145,20220505T102006,0.097684
146,20220505T121300,-0.057906
147,20220505T125030,-0.231511
148,20220505T133100,-0.028834
149,20220505T143903,0.036385
150,20220601T013117,-0.465063
151,20220601T051400,-0.133436
152,20220601T122400,-0.33751
153,20220601T122459,-0.33751
154,20220601T123000,0.119342
155,20220601T123600,0.075078
156,20220601T124000,0.003389
157,20220601T124452,0.041686
158,20220601T160219,0.043354
159,20220601T173600,-0.006503
160,20220601T181900,-0.018447
161,20220601T185800,0.069749
162,20220601T192127,-0.461963
163,20220602T100049,0.180013
164,20220602T100049,0.180013
165,20220602T102008,0.081646
166,20220602T110212,-0.018903
167,20220602T111000,-0.033768
168,20220602T124725,0.02653
169,20220602T151000,-0.033394
170,20220602T154400,-0.018926
171,20220602T155315,-0.068547
172,20220602T182300,0.09879
173,20220603T000110,-0.318974
174,20220603T123600,-0.192708
175,20220603T130007,-0.16153
176,20220603T160500,0.054136
177,20220603T180200,-0.008405
178,20220603T182445,-0.210366
179,20220603T193656,0.023939
180,20220603T200000,-0.121665
181,20220604T100000,0.027138
182,20220604T121500,-0.192658
183,20220604T124500,-0.100919
184,20220604T201038,0.051923
185,20220604T201038,-0.095946
186,20220605T163900,-0.095634
187,20220605T174310,-0.17249
188,20220605T203129,-0.59511
189,20220606T094500,-0.21492
190,20220606T123131,-0.035201
191,20220606T124300,-0.022009
192,20220606T130300,0.02245
193,20220606T132012,0.10705
194,20220606T134700,-0.057037
195,20220606T161534,0.002421
196,20220606T171200,0.068503
197,20220606T214521,0.007861
198,20220607T030001,-0.072535
199,20220607T055728,0.074501
200,20220701T073317,-0.155449
201,20220701T095200,0.297709
202,20220701T102007,0.034186
203,20220701T102600,0.123602
204,20220701T105200,-0.024368
205,20220701T115100,-0.128901
206,20220701T121100,0.006909
207,20220701T130010,0.05225
208,20220701T130900,-0.092718
209,20220701T134500,-0.003186
210,20220701T140700,-0.166417
211,20220701T143345,0.025999
212,20220701T145700,-0.276104
213,20220701T203900,0.032053
214,20220701T215700,-0.064373
215,20220701T225300,-0.056711
216,20220702T040300,-0.321565
217,20220702T100000,0.261146
218,20220702T120300,-0.081718
219,20220702T123000,0.016904
220,20220702T124500,-0.028688
221,20220702T140710,-0.017697
222,20220703T033218,-0.05549
223,20220703T105500,0.0193
224,20220704T061500,0.001633
225,20220704T124000,-0.000783
226,20220704T140700,0.043458
227,20220704T200000,0.020374
228,20220705T050049,-0.376632
229,20220705T050049,-0.376786
230,20220705T093000,-0.010172
231,20220705T101300,-0.134895
232,20220705T112200,-0.100034
233,20220705T113900,-0.111177
234,20220705T114354,-0.026503
235,20220705T121500,0.242308
236,20220705T131559,0.003691
237,20220705T131935,0.057419
238,20220705T142550,-0.157095
239,20220705T143408,-0.209605
240,20220705T144900,0.050834
241,20220705T160730,-0.393292
242,20220705T164125,-0.18708
243,20220705T164432,-0.033933
244,20220705T172125,-0.195985
245,20220705T175900,-0.062043
246,20220705T181900,-0.01727
247,20220705T182400,-0.097546
248,20220705T192600,-0.095466
249,20220705T195209,-0.174984
250,20220801T030659,0.251611
251,20220801T080000,0.217964
252,20220801T101751,0.07293
253,20220801T115800,0.21901
254,20220801T120000,0.211142
255,20220801T121000,0.187126
256,20220801T123400,0.203294
257,20220801T123946,0.278336
258,20220801T124000,0.043692
259,20220801T130529,0.205808
260,20220801T132200,0.148907
261,20220801T143000,0.273122
262,20220801T160000,0.384766
263,20220801T184300,0.139583
264,20220801T190100,0.101672
265,20220801T190612,0.20451
266,20220801T205200,0.157326
267,20220801T210714,-0.017291
268,20220802T013443,0.051938
269,20220802T050500,0.194237
270,20220802T050500,0.207052
271,20220802T073923,0.0
272,20220802T075511,0.029019
273,20220802T081400,0.531624
274,20220802T084112,0.29077
275,20220802T102005,0.326025
276,20220802T105100,0.298697
277,20220802T115800,0.108445
278,20220802T122300,0.359276
279,20220802T123200,0.366955
280,20220802T162142,0.073991
281,20220802T181300,0.13212
282,20220802T183045,0.286065
283,20220802T183100,0.029233
284,20220802T195800,-0.058097
285,20220803T073111,0.028284
286,20220803T101100,0.148464
287,20220803T101800,0.366709
288,20220803T104500,0.111633
289,20220803T104800,0.230398
290,20220803T125007,0.40765
291,20220803T125900,0.348412
292,20220803T131000,-0.093455
293,20220803T131000,-0.167668
294,20220803T131003,-0.167668
295,20220803T131140,0.192042
296,20220803T135000,0.112195
297,20220803T140000,0.125988
298,20220803T142200,0.15939
299,20220803T160700,0.177487
300,20220901T070148,0.236493
301,20220901T102007,0.284835
302,20220901T110827,0.105802
303,20220901T122211,0.047622
304,20220901T123000,0.235923
305,20220901T142000,0.425744
306,20220901T144512,0.127451
307,20220901T185000,-0.036172
308,20220901T202000,0.255043
309,20220901T210000,0.34735
310,20220901T234514,0.171572
311,20220902T061900,-0.011996
312,20220902T073700,-0.036335
313,20220902T102007,0.317346
314,20220902T102007,0.283699
315,20220902T122000,0.384356
316,20220902T140600,0.388701
317,20220902T175200,0.114071
318,20220902T185223,0.077881
319,20220902T190800,0.317483
320,20220902T194300,0.249746
321,20220902T194653,0.029337
322,20220902T202100,0.093965
323,20220902T203730,0.186722
324,20220902T211600,0.387545
325,20220904T091600,0.353057
326,20220904T115100,0.096275
327,20220905T021716,-0.043233
328,20220905T125000,0.384
329,20220906T031500,0.33856
330,20220906T080000,0.225032
331,20220906T094800,0.175701
332,20220906T102006,0.332843
333,20220906T113800,0.280682
334,20220906T133600,0.255115
335,20220906T153607,0.149005
336,20220906T163500,0.167644
337,20220907T084810,0.266802
338,20220907T094216,0.243408
339,20220907T102005,0.358731
340,20220907T120900,0.232177
341,20220907T121300,0.239205
342,20220907T121454,0.20013
343,20220907T152603,-0.105473
344,20220908T000100,0.116307
345,20220908T102007,0.329165
346,20220908T131500,0.267345
347,20220908T142000,0.26935
348,20220908T142559,-0.050867
349,20220908T155339,0.146307
350,20221001T222200,0.090551
351,20221002T100000,0.128145
352,20221002T125033,-0.063365
353,20221003T012700,0.276118
354,20221003T014116,0.271582
355,20221003T052624,-0.014729
356,20221003T052624,-0.070606
357,20221003T052624,-0.075425
358,20221003T052624,-0.181421
359,20221003T072200,-0.095596
360,20221003T102009,0.298507
361,20221003T124952,0.032948
362,20221003T125033,0.123701
363,20221003T130011,0.248592
364,20221003T132000,0.239953
365,20221003T140500,0.39159
366,20221003T143555,0.150971
367,20221003T143730,-0.075425
368,20221003T143730,-0.181421
369,20221003T145100,-0.133815
370,20221003T145200,-0.096735
371,20221003T150446,-0.135974
372,20221003T152454,0.094677
373,20221003T152454,0.092356
374,20221003T154900,0.026741
375,20221003T160000,-0.019472
376,20221003T175400,-0.080398
377,20221003T190730,-0.070606
378,20221003T190730,-0.058507
379,20221003T205235,0.046589
380,20221003T230200,0.185028
381,20221004T004827,-0.07877
382,20221004T010501,-0.014729
383,20221004T011303,-0.070606
384,20221004T014427,-0.10538
