,time,scores
0,20220303T080000,-0.092622
1,20220303T201500,0.150597
2,20220304T102419,-0.039211
3,20220304T130339,-0.103751
4,20220304T151933,-0.061315
5,20220304T161100,0.017721
6,20220304T210241,-0.131951
7,20220307T144800,-0.041162
8,20220307T153600,0.254281
9,20220307T200800,-0.087795
10,20220307T231900,-0.015007
11,20220308T133200,0.048484
12,20220308T160000,0.010022
13,20220308T181454,0.090215
14,20220309T010044,-0.021094
15,20220309T105100,0.197263
16,20220309T112009,0.013233
17,20220309T120500,0.224126
18,20220309T120605,0.026732
19,20220309T123128,0.04826
20,20220309T142300,0.374075
21,20220309T200110,0.037542
22,20220309T224500,0.055817
23,20220309T224500,0.053532
24,20220310T080000,0.156759
25,20220310T150900,0.039452
26,20220310T151700,0.025455
27,20220310T152700,0.006328
28,20220310T162008,0.338979
29,20220310T195436,-0.027452
30,20220311T141700,0.007141
31,20220311T143900,0.017051
32,20220311T145200,0.058383
33,20220311T150000,0.338054
34,20220311T151700,0.007141
35,20220311T212214,-0.004965
36,20220314T110000,-0.026241
37,20220314T130500,0.054706
38,20220314T180141,0.01993
39,20220315T083209,-0.05711
40,20220315T103339,0.026322
41,20220315T115000,0.171287
42,20220315T180800,-0.407735
43,20220316T080000,0.102267
44,20220316T080000,0.105058
45,20220316T103740,-0.011402
46,20220316T110000,0.032185
47,20220316T130000,0.165618
48,20220316T132300,0.02199
49,20220316T135800,0.165388
50,20220401T013000,-0.115418
51,20220401T095100,0.069928
52,20220401T102008,0.078354
53,20220401T111400,0.059433
54,20220401T121300,-0.079516
55,20220401T123000,-0.000882
56,20220401T152601,-0.324015
57,20220401T170000,0.006127
58,20220401T170000,0.004872
59,20220403T092100,-0.001742
60,20220403T100500,-0.146536
61,20220403T190000,0.041946
62,20220404T014100,0.041946
63,20220404T081500,0.003828
64,20220404T083951,0.030871
65,20220404T092000,-0.012013
66,20220404T111400,0.045781
67,20220404T120100,0.184386
68,20220404T121300,-0.041186
69,20220404T144700,-0.020443
70,20220404T162100,-0.016234
71,20220404T171500,0.054257
72,20220404T183000,0.123579
73,20220404T213000,-0.002828
74,20220405T110200,0.063302
75,20220405T112500,0.056531
76,20220405T124400,-0.044552
77,20220405T145250,0.070587
78,20220405T160100,0.019949
79,20220405T190539,-0.022495
80,20220406T120000,0.011905
81,20220406T122000,-0.189929
82,20220406T123005,0.072869
83,20220406T124200,0.161788
84,20220406T151200,0.039794
85,20220406T153000,0.005561
86,20220406T184300,0.028145
87,20220407T110000,-0.043066
88,20220407T111000,0.16971
89,20220407T121200,-0.159572
90,20220407T122300,-0.005788
91,20220407T151100,0.010201
92,20220408T110400,0.079271
93,20220408T134500,-0.092384
94,20220408T144000,0.271627
95,20220408T144100,-0.062524
96,20220408T145000,0.01034
97,20220411T081528,0.02013
98,20220411T084046,0.058141
99,20220411T090000,0.012444
100,20220502T115142,0.035899
101,20220502T131000,0.011866
102,20220502T131949,-0.034019
103,20220502T134931,-0.034465
104,20220502T150435,-0.041872
105,20220502T152044,0.097941
106,20220503T070000,0.077289
107,20220503T070000,-0.034081
108,20220503T113000,0.288665
109,20220503T114300,0.059375
110,20220503T120000,0.125673
111,20220503T145700,-0.059283
112,20220503T151000,0.092756
113,20220503T153900,-0.138969
114,20220503T155100,0.00949
115,20220503T155900,0.027376
116,20220503T160700,-0.049689
117,20220503T172000,0.097662
118,20220503T203059,0.093873
