,time,scores
0,20220303T172517,-0.04104
1,20220304T160140,0.010127
2,20220306T080000,0.207867
3,20220307T093000,0.034744
4,20220307T103000,0.009586
5,20220307T123000,-0.074655
6,20220307T141044,-0.100621
7,20220307T142427,-0.201534
8,20220307T180000,0.020789
9,20220308T055344,-0.401628
10,20220308T055344,-0.408426
11,20220308T055344,-0.450894
12,20220308T080000,0.007026
13,20220308T090445,0.028496
14,20220308T153626,0.045995
15,20220309T043742,-0.541085
16,20220309T075129,-0.709904
17,20220309T121300,-0.153138
18,20220309T122700,-0.08439
19,20220309T125115,-0.201953
20,20220309T131800,-0.08439
21,20220309T134100,0.060806
22,20220309T150000,0.01583
23,20220309T150006,0.19253
24,20220309T154800,-0.118917
25,20220309T175703,-0.158768
26,20220309T180800,0.026275
27,20220309T195443,-0.09411
28,20220309T212524,-0.187925
29,20220309T225800,0.065035
30,20220309T230000,0.065035
31,20220310T081010,-0.208295
32,20220310T093519,0.025343
33,20220310T113000,0.025125
34,20220310T113800,0.07654
35,20220310T120000,0.078935
36,20220310T120000,0.074124
37,20220310T121100,-0.161363
38,20220310T132019,-0.122497
39,20220310T140733,0.263567
40,20220310T142000,0.048335
41,20220310T143100,-0.085944
42,20220310T161100,-0.175263
43,20220310T161156,-0.175263
44,20220310T172200,0.103112
45,20220310T173354,0.111012
46,20220310T225017,0.023984
47,20220311T090023,-0.136309
48,20220311T133500,0.296791
49,20220311T145700,0.04297
50,20220401T100000,-0.070235
51,20220401T115218,-0.066735
52,20220401T120000,0.150019
53,20220402T141109,-0.054901
54,20220404T070000,0.299908
55,20220404T121037,0.007262
56,20220404T185100,-0.026832
57,20220404T193039,-0.055933
58,20220405T083155,0.060485
59,20220405T142300,0.039591
60,20220405T153000,-0.042217
61,20220406T001500,0.041313
62,20220406T083951,0.003828
63,20220406T091818,0.018568
64,20220406T113722,-0.052525
65,20220406T124531,0.041598
66,20220406T125609,0.033325
67,20220406T130000,-0.034084
68,20220406T154114,-0.128303
69,20220406T215019,0.02732
70,20220407T060059,-0.34484
71,20220407T080000,0.156795
72,20220407T080000,0.115656
73,20220407T095500,0.06017
74,20220407T134800,0.006452
75,20220407T163000,-0.34484
76,20220408T013100,0.286089
77,20220408T130610,-0.097944
78,20220408T133400,0.026516
79,20220408T145500,0.050258
80,20220409T033000,0.001793
81,20220409T132043,-0.055908
82,20220410T173415,-0.174481
83,20220411T080000,0.225262
84,20220411T092755,0.010159
85,20220411T160700,-0.026176
86,20220411T161407,-0.009931
87,20220412T100000,-0.088001
88,20220412T103334,-0.012424
89,20220412T183400,0.008701
90,20220413T110835,-0.003915
91,20220413T113000,0.043486
92,20220413T153000,-0.006439
93,20220414T114200,-0.04958
94,20220414T215020,-0.027607
95,20220415T113100,0.152539
96,20220415T122107,-0.065289
97,20220415T162824,0.01493
98,20220415T162824,-0.005292
99,20220415T184052,0.146057
100,20220501T130300,-0.117024
101,20220502T091000,0.013053
102,20220502T120014,-0.233856
103,20220502T130000,0.148091
104,20220502T130000,0.151375
105,20220502T184600,0.044243
106,20220503T090025,-0.348364
107,20220503T121100,-0.005989
108,20220503T123000,0.088308
109,20220503T135300,0.021218
110,20220503T160523,-0.009495
111,20220503T204224,-0.031283
112,20220504T124500,-0.095175
113,20220504T142100,-0.055794
114,20220504T145352,-0.016609
115,20220504T165659,-0.059126
116,20220504T210000,-0.033017
117,20220504T210100,-0.033017
118,20220505T114600,-0.106516
119,20220505T122423,-0.092054
120,20220505T130000,0.015133
121,20220505T144651,-0.051001
122,20220506T100000,0.080154
123,20220506T110021,-0.024953
124,20220506T130000,0.016161
125,20220509T110000,0.079477
126,20220509T144115,0.051389
127,20220509T182731,-0.275655
128,20220510T124300,0.232898
129,20220510T133821,0.032149
130,20220510T135447,0.130312
131,20220510T165214,0.012946
132,20220510T181600,0.00896
133,20220510T181634,-0.004691
134,20220510T210100,-0.066411
135,20220511T151500,0.004754
136,20220511T183000,-0.018344
137,20220511T190042,0.440089
138,20220512T023800,-0.38283
139,20220512T160821,-0.367858
140,20220512T171600,0.142664
141,20220513T103000,-0.025632
142,20220513T115100,0.018199
143,20220513T120000,0.102885
144,20220513T124746,-0.14429
