,time,scores
0,20220301T080000,-0.092611
1,20220301T080000,-0.116043
2,20220302T041700,-0.382544
3,20220302T080000,-0.380011
4,20220302T080000,-0.520567
5,20220302T093019,-0.093892
6,20220302T123812,-0.221891
7,20220303T080000,-0.376658
8,20220303T080000,-0.182834
9,20220303T131827,-0.238792
10,20220303T172517,-0.04104
11,20220303T231335,0.046259
12,20220304T080000,-0.139937
13,20220304T080000,-0.22482
14,20220304T080000,0.111281
15,20220304T151900,-0.273713
16,20220304T153000,0.186759
17,20220304T155300,0.106331
18,20220304T155600,0.262474
19,20220304T160140,0.010127
20,20220304T160643,-0.095044
21,20220304T183028,-0.267058
22,20220304T190547,-0.066337
23,20220304T200111,0.003331
24,20220304T203949,0.003331
25,20220304T213559,0.176178
26,20220304T222846,0.033246
27,20220305T000000,-0.517722
28,20220305T000000,-0.304198
29,20220305T022509,-0.249991
30,20220305T080000,0.147018
31,20220305T080000,-0.510118
32,20220305T080225,-0.177124
33,20220305T100020,-0.240753
34,20220305T104848,-0.214972
35,20220305T105013,-0.440789
36,20220305T134617,-0.040365
37,20220305T140002,-0.332659
38,20220305T142634,-0.542417
39,20220305T230100,-0.252991
40,20220306T000000,-0.365286
41,20220306T041907,-0.030033
42,20220306T153000,-0.130998
43,20220306T160043,0.277901
44,20220306T193200,-0.031958
45,20220306T203746,-0.484862
46,20220306T210100,-0.290753
47,20220307T002000,-0.279664
48,20220307T003600,-0.157338
49,20220307T073000,0.01084
50,20220401T022300,0.087915
51,20220401T034644,0.488709
52,20220401T035800,0.032693
53,20220401T035848,0.030559
54,20220401T040026,0.159457
55,20220401T051306,-0.110841
56,20220401T055840,0.126366
57,20220401T060314,-0.168565
58,20220401T073021,-0.033485
59,20220401T092952,-0.208875
60,20220401T093252,-0.609741
61,20220401T095951,0.048043
62,20220401T101500,-0.249034
63,20220401T110200,-0.25426
64,20220401T113400,0.043814
65,20220401T114100,-0.607914
66,20220401T123000,0.002161
67,20220401T123904,-0.140432
68,20220401T124100,-0.207617
69,20220401T125400,-0.166033
70,20220401T130038,-0.041928
71,20220401T131500,0.360981
72,20220401T132123,-0.016447
73,20220401T134324,0.060752
74,20220401T140000,-0.153666
75,20220401T140200,0.135248
76,20220401T140456,-0.011867
77,20220401T140600,-0.052754
78,20220401T141945,-0.230449
79,20220401T142020,0.12902
80,20220401T144100,0.019668
81,20220401T144500,0.107854
82,20220401T151301,-0.104054
83,20220401T153100,-0.039539
84,20220401T154118,0.199054
85,20220401T160000,0.138404
86,20220401T160006,-0.044671
87,20220401T162110,0.063244
88,20220401T162500,-0.553153
89,20220401T175900,0.099408
90,20220401T180800,0.086628
91,20220401T181015,0.022723
92,20220401T182006,-0.067329
93,20220401T182400,-0.142088
94,20220401T183706,0.014531
95,20220401T191400,-0.019023
96,20220401T191400,-0.022033
97,20220401T191400,-0.009901
98,20220401T191500,0.106573
99,20220401T192700,0.105937
100,20220501T032958,-0.12684
101,20220501T100552,0.019978
102,20220501T120500,-0.112676
103,20220501T130001,0.02328
104,20220501T131113,0.069658
105,20220501T144112,-0.131422
106,20220501T161004,-0.050405
107,20220501T201002,0.021468
108,20220501T215509,-0.23288
109,20220502T013800,0.348511
110,20220502T013800,0.348164
111,20220502T013800,0.454976
112,20220502T013800,0.454976
113,20220502T015329,0.404873
114,20220502T043600,-0.306424
115,20220502T070000,-0.342269
116,20220502T073121,-0.033198
117,20220502T085600,-0.096933
118,20220502T090017,-0.125044
119,20220502T091000,0.013053
120,20220502T092100,-0.166187
121,20220502T093000,-0.056689
122,20220502T100000,0.007404
123,20220502T100000,0.054314
124,20220502T100000,0.026416
125,20220502T100046,-0.01432
126,20220502T101925,0.023602
127,20220502T104406,-0.386642
128,20220502T110020,-0.291897
129,20220502T110255,0.053158
130,20220502T111229,-0.402972
131,20220502T112517,-0.063715
132,20220502T113444,0.014745
133,20220502T115558,0.028594
134,20220502T120000,-0.115453
135,20220502T120000,0.049836
136,20220502T120000,0.081332
137,20220502T120000,0.069565
138,20220502T120000,0.06969
139,20220502T120100,0.372943
140,20220502T121847,0.071483
141,20220502T123000,-0.120739
142,20220502T123003,-0.140269
143,20220502T131500,0.019101
144,20220502T132149,-0.193301
145,20220502T133000,0.012741
146,20220502T135700,-0.033875
147,20220502T141308,0.026899
148,20220502T141902,-0.386642
149,20220502T143423,0.006903
150,20220601T014800,0.090124
151,20220601T023207,-0.107807
152,20220601T043000,-0.203052
153,20220601T070011,-0.064484
154,20220601T083000,0.374389
155,20220601T083000,0.374389
156,20220601T090001,0.080814
157,20220601T092100,-0.230238
158,20220601T092556,0.035512
159,20220601T094016,0.064313
160,20220601T095200,-0.15255
161,20220601T095900,0.212751
162,20220601T095900,0.204254
163,20220601T100030,0.141844
164,20220601T100059,0.18446
165,20220601T103759,0.018863
166,20220601T105156,0.143572
167,20220601T111100,0.251728
168,20220601T112000,0.094169
169,20220601T112500,0.042903
170,20220601T114000,0.093628
171,20220601T114019,0.034282
172,20220601T120000,0.0264
173,20220601T120349,-0.033176
174,20220601T121000,-0.325633
175,20220601T122127,-0.065085
176,20220601T130012,0.069
177,20220601T130014,0.330256
178,20220601T131500,-0.057196
179,20220601T132215,0.029477
180,20220601T132447,0.053527
181,20220601T133036,0.374724
182,20220601T133100,-0.024444
183,20220601T134412,-0.024377
184,20220601T134611,0.067585
185,20220601T135900,0.091006
186,20220601T140512,-0.223961
187,20220601T141900,0.1488
188,20220601T142531,0.015232
189,20220601T143200,0.138531
190,20220601T144044,0.049519
191,20220601T144600,-0.027227
192,20220601T144600,-0.027227
193,20220601T144600,0.06328
194,20220601T145032,0.001548
195,20220601T150000,0.061972
196,20220601T150200,0.133315
197,20220601T151400,-0.079399
198,20220601T151500,0.008836
199,20220601T152652,0.185058
200,20220701T000000,-0.454547
201,20220701T015324,-0.076867
202,20220701T033555,-0.007085
203,20220701T040026,-0.07979
204,20220701T040539,0.106728
205,20220701T043800,0.286444
206,20220701T045605,0.274495
