,time,scores
0,20220306T113000,0.619608
1,20220308T112007,0.029527
2,20220310T141400,0.098308
3,20220314T145835,-0.250674
4,20220316T152500,-0.185964
5,20220317T170552,0.053403
6,20220321T161430,0.095834
7,20220324T140008,0.133011
8,20220329T193706,0.050553
9,20220404T100000,0.085127
10,20220414T133835,0.04223
11,20220414T142954,-0.02542
12,20220418T201555,-0.028006
13,20220420T134505,0.243842
14,20220420T171500,0.149436
15,20220421T102006,0.078155
16,20220421T105800,-0.058852
17,20220421T143100,-0.092819
18,20220426T095559,-0.06007
19,20220426T140300,0.032241
20,20220427T132904,-0.016737
21,20220428T085040,-0.011474
22,20220428T102005,0.039008
23,20220428T112508,-0.001153
24,20220428T153200,0.042966
25,20220428T175442,-0.016299
26,20220505T102007,0.086297
27,20220510T153000,0.007199
28,20220510T185800,0.077841
29,20220511T102008,0.028733
30,20220511T115200,-0.064558
31,20220512T101500,0.010745
32,20220517T110000,0.114632
33,20220517T113800,0.050286
34,20220518T134500,0.007841
35,20220518T150000,0.074959
36,20220519T192947,-0.202766
37,20220524T093734,0.002374
38,20220531T122100,-0.024428
39,20220531T152345,-0.136583
40,20220602T203138,0.224025
41,20220603T164025,0.050028
42,20220606T175200,-0.250625
43,20220606T221512,0.047379
44,20220607T130011,0.248898
45,20220608T071500,0.048331
46,20220608T192900,0.051668
47,20220610T174058,-0.022935
48,20220610T190800,-0.262994
49,20220610T205300,-0.119351
50,20220610T210300,-0.130075
51,20220613T134506,0.220396
52,20220614T095100,-0.021042
53,20220614T173310,0.00252
54,20220617T141500,0.040254
55,20220617T221518,0.045897
56,20220621T081500,-0.012491
57,20220622T182751,-0.072265
58,20220623T102008,0.076934
59,20220623T221518,-0.04847
60,20220624T134742,-0.051948
61,20220629T093000,0.163263
62,20220629T102007,0.082249
63,20220629T214638,-0.003596
64,20220630T155329,0.039374
65,20220630T221520,0.022228
66,20220704T154110,0.152691
67,20220707T102009,0.04092
68,20220707T221519,-0.026414
69,20220708T150712,-0.00947
70,20220713T100001,0.152095
71,20220713T102008,0.189107
72,20220714T134508,0.356411
73,20220714T151411,0.14636
74,20220714T160300,0.180327
75,20220714T161009,0.31456
76,20220715T100000,0.172899
77,20220715T102000,0.20495
78,20220715T141821,0.160819
79,20220715T171724,0.137452
80,20220718T081500,0.283421
81,20220720T154012,0.483253
82,20220722T094000,0.222794
83,20220722T221521,0.134906
84,20220725T201854,0.125922
85,20220726T113700,0.279767
86,20220728T112508,0.146478
87,20220728T151300,0.354878
88,20220728T173130,0.119926
89,20220729T215856,0.099062
90,20220801T210306,0.160819
91,20220808T131226,0.21865
92,20220810T162135,0.139297
93,20220810T205321,0.149649
94,20220815T165019,0.034533
95,20220815T204707,0.316786
96,20220817T170336,0.087202
97,20220818T203439,0.190104
98,20220822T185643,0.195681
99,20220824T102007,0.239502
100,20220825T142100,0.42003
101,20220830T102005,0.212645
102,20220902T150513,0.160819
103,20220902T221507,0.125451
104,20220906T102009,0.278772
105,20220912T102006,0.254201
106,20220913T132000,0.331427
107,20220915T195541,0.193022
108,20220916T134507,0.389029
109,20220916T183358,0.065558
110,20220919T103000,0.343515
111,20220919T121300,0.021658
112,20220920T125002,0.206612
113,20220923T102004,0.252733
114,20220925T103000,0.125055
115,20220926T133209,0.158373
116,20221003T103000,0.10861
117,20221004T230348,0.180167
118,20221005T090000,0.153681
119,20221017T110423,-0.081836
120,20221017T112401,-0.048845
121,20221017T152714,0.270433
122,20221017T175100,-0.036193
123,20221019T220506,0.237532
124,20221020T140202,0.147142
125,20221021T165407,0.098773
126,20221024T140036,0.188598
127,20221025T110214,-0.089627
128,20221025T113700,0.316579
129,20221025T160427,0.244678
130,20221027T102007,0.166358
131,20221027T112508,0.1416
132,20221027T135100,0.280373
133,20221027T150748,0.160819
134,20221027T160228,0.091323
135,20221102T010730,0.226011
136,20221104T164500,-0.016706
137,20221108T112006,0.222883
138,20221114T112005,0.211405
139,20221118T080000,0.335597
140,20221118T080000,0.334942
141,20221121T080000,0.319472
142,20221123T164600,0.165721
143,20221124T112008,0.12941
144,20221124T133002,0.329949
145,20221125T142100,0.149766
146,20221125T213000,0.334029
147,20221201T163122,0.188678
148,20221205T145007,0.235845
149,20221205T150000,0.196925
150,20221206T092000,0.318791
151,20221206T163000,0.155027
152,20221207T164952,0.113069
153,20221209T110000,0.139771
154,20221209T130500,0.324762
155,20221209T130500,0.324762
156,20221209T134838,0.089047
157,20221213T151900,0.264478
158,20221215T130555,-0.090462
159,20221216T164500,0.111494
160,20221219T080000,0.235562
161,20221221T144506,0.430815
162,20221221T174000,0.354034
163,20221221T235800,0.324602
164,20221222T155800,0.373766
165,20230103T112006,0.184544
166,20230103T190900,0.19776
167,20230104T130731,0.202998
168,20230104T143200,-0.127968
169,20230105T140900,0.146121
170,20230109T080000,0.227333
171,20230110T112007,0.222865
172,20230110T143400,0.334296
173,20230110T231518,0.182192
174,20230112T193300,0.261231
175,20230113T133600,0.397576
176,20230116T130000,0.121807
177,20230118T231518,0.150681
178,20230119T121600,-0.070746
179,20230119T222504,0.17521
180,20230120T071500,0.228432
181,20230120T144507,0.458758
182,20230120T171012,0.326653
183,20230124T231520,0.213481
184,20230125T084828,0.270355
185,20230125T112008,0.166113
186,20230126T135007,0.386288
187,20230130T135007,0.342004
188,20230130T231518,0.155341
189,20230131T150043,0.183956
190,20230202T121505,0.186796
191,20230203T061500,0.270293
192,20230203T115600,0.166676
193,20230203T133007,0.380515
194,20230203T133800,0.244796
195,20230203T152100,0.270293
196,20230204T130001,0.056276
197,20230206T133200,0.461499
198,20230206T174504,0.435001
199,20230206T181400,0.250072
200,20230207T112536,0.225283
201,20230207T121300,0.0
202,20230207T122506,0.169398
203,20230207T140134,0.160819
204,20230207T145900,0.176713
205,20230207T151500,0.240485
206,20230208T142506,0.10165
207,20230208T143500,0.385029
208,20230208T160700,0.257398
209,20230210T183500,0.09999
210,20230210T210221,0.305375
211,20230217T213600,0.035999
212,20230220T115900,0.166407
213,20230227T082000,0.002393
214,20230227T122313,0.141352
215,20230227T132500,0.142583
216,20230227T144009,0.259665
217,20230227T172400,0.241865
218,20230228T133003,0.349091
219,20230228T140700,0.206142
220,20230228T170323,0.166034
221,20230301T152200,0.272718
222,20230301T202600,0.234281
223,20230302T112005,0.205498
224,20230303T171000,0.160696
225,20230306T112006,0.1477
226,20230306T193107,0.160819
