,time,scores
0,20220512T151500,0.064239
1,20220519T133200,0.02127
2,20220520T132500,-0.011469
3,20220523T170039,-0.113675
4,20220711T135100,0.079713
5,20220711T151600,0.202771
6,20220711T170800,0.348743
7,20220711T215017,0.19739
8,20220712T112531,0.282772
9,20220713T100001,0.152095
10,20220713T102010,0.25062
11,20220713T134600,0.193507
12,20220714T125139,0.222169
13,20220714T190233,0.158543
14,20220715T120000,0.284803
15,20220715T120500,0.147904
16,20220715T153435,0.2767
17,20220715T183900,0.284764
18,20220715T214522,0.24641
19,20220718T121500,0.304825
20,20220719T115106,0.06946
21,20220720T124024,-0.142801
22,20220720T140600,0.245178
23,20220720T160527,0.271973
24,20220721T102009,0.274866
25,20220721T151500,0.191279
26,20220721T170318,0.231535
27,20220721T190500,0.216331
28,20220721T215018,0.219713
29,20220722T070000,0.055528
30,20220722T153000,0.192001
31,20220722T214517,0.216188
32,20220723T120000,0.167361
33,20220725T131627,0.014682
34,20220725T163900,0.393932
35,20220725T180153,0.229698
36,20220727T095500,0.268516
37,20220727T143200,0.041067
38,20220727T165500,0.109422
39,20220727T215513,0.153405
40,20220728T114508,0.168797
41,20220728T130000,0.292587
42,20220728T140229,0.150292
43,20220728T143922,0.026667
44,20220728T161100,0.17762
45,20220728T214521,0.199584
46,20220729T130502,0.162258
47,20220729T143240,0.074579
48,20220729T151800,0.147854
49,20220730T200425,0.084546
50,20220801T110500,0.133829
51,20220801T134006,0.244201
52,20220801T142900,0.106798
53,20220801T145111,0.002399
54,20220801T171100,0.178003
55,20220801T171314,0.117047
56,20220801T185831,0.121408
57,20220801T204129,0.146485
58,20220801T221344,0.158543
59,20220802T110000,-0.021522
60,20220802T133228,0.246771
61,20220802T145942,-0.081612
62,20220802T154700,0.148099
63,20220803T102007,0.294222
64,20220803T110000,0.035879
65,20220803T134553,-0.206005
66,20220803T134800,0.219116
67,20220803T143345,-0.021541
68,20220803T154300,0.150304
69,20220803T160200,0.181478
70,20220803T162300,0.390433
71,20220803T164400,0.158878
72,20220803T164700,0.078606
73,20220803T170145,0.160616
74,20220803T174031,0.093442
75,20220803T175839,0.272767
76,20220803T204234,0.149911
77,20220804T061837,0.132216
78,20220804T081717,0.170263
79,20220804T100000,0.047931
80,20220804T100928,0.03556
81,20220804T105900,-0.06722
82,20220804T110000,0.090433
83,20220804T114507,0.181284
84,20220804T114943,0.01728
85,20220804T115516,0.094121
86,20220804T121200,0.105786
87,20220804T125500,0.318553
88,20220804T130628,0.116523
89,20220804T131500,-0.019407
90,20220804T141159,0.038139
91,20220804T143300,-0.040045
92,20220804T144910,0.167357
93,20220804T152004,-0.067595
94,20220804T164100,0.098745
95,20220804T172200,0.162553
96,20220804T174000,0.0
97,20220804T180326,0.114112
98,20220804T214007,0.260785
99,20220804T235900,0.041174
100,20220905T120000,0.133292
101,20220906T121630,0.0552
102,20220906T152430,0.196609
103,20220906T155939,0.191163
104,20220906T215020,0.152371
105,20220907T165046,0.221109
106,20220907T180601,0.244019
107,20220907T214519,0.204573
108,20220908T221721,0.237186
109,20220909T111356,0.126482
110,20220909T124500,0.136121
111,20220909T135848,0.009741
112,20220909T150749,0.174097
113,20220909T210513,0.114858
114,20220912T102009,0.270664
115,20220912T120000,0.230011
116,20220912T162200,0.138341
117,20220913T125003,0.36124
118,20220913T174300,0.214893
119,20220914T095900,0.260361
120,20220914T215019,0.172566
121,20220915T094715,0.234133
122,20220915T130044,0.228056
123,20220915T160909,0.18328
124,20220915T192227,0.115717
125,20220915T195541,0.193022
126,20220916T144500,0.132288
127,20220916T183358,0.065558
128,20220917T080642,0.250761
129,20220919T163014,0.107124
130,20220919T203324,0.158543
131,20220920T215018,0.136583
132,20220921T131500,0.235277
133,20220921T134200,0.273758
134,20220921T154400,0.086203
135,20220922T115132,0.089801
136,20220922T124751,0.365286
137,20220922T142400,0.196951
138,20220922T160834,0.109283
139,20220922T163559,0.306001
140,20220922T164100,0.218273
141,20220922T172800,0.247304
142,20220922T180000,0.029049
143,20220922T190749,0.108801
144,20220922T201600,0.019646
145,20220922T205200,-0.034342
146,20220923T065700,0.272833
147,20220923T140200,0.16525
148,20220923T143000,0.366893
149,20220923T144633,0.122557
150,20221001T143700,0.347097
151,20221001T150000,0.180439
152,20221003T102007,0.302864
153,20221003T123509,0.108235
154,20221003T141000,0.299907
155,20221003T143700,0.324625
156,20221003T163243,0.185534
157,20221003T214522,0.161101
158,20221004T064450,0.308665
159,20221004T120500,0.043185
160,20221004T150232,0.158543
161,20221005T133700,0.243507
162,20221005T140000,0.258455
163,20221005T141500,0.250065
164,20221006T115349,0.141999
165,20221006T134300,0.250013
166,20221006T150614,0.17573
167,20221006T161851,0.136523
168,20221006T170933,0.303425
169,20221007T003800,-0.053226
170,20221007T102500,0.256958
171,20221007T140000,0.279707
172,20221007T154300,0.209598
173,20221007T165700,0.19351
174,20221007T173643,0.120509
175,20221007T210000,-0.072988
176,20221007T211800,0.221941
177,20221007T214900,0.190971
178,20221008T120000,0.197592
179,20221008T234500,-0.072988
180,20221009T203600,-0.055954
181,20221010T115225,-0.026568
182,20221010T140000,0.302525
183,20221010T191405,-0.045327
184,20221010T214518,0.170712
185,20221011T130000,0.217974
186,20221011T152700,0.090748
187,20221011T161114,0.045781
188,20221011T174300,0.203475
189,20221011T183550,-0.124229
190,20221011T205000,-0.041254
191,20221012T102900,-0.053311
192,20221012T130013,0.224213
193,20221012T150832,0.302525
194,20221012T154701,0.016608
195,20221012T160241,0.270131
196,20221012T183345,0.301288
197,20221013T120732,0.127674
198,20221013T141500,0.081098
199,20221013T170100,0.14369
200,20221101T075100,0.026888
201,20221101T080718,0.421127
202,20221101T094543,-0.276546
203,20221101T111225,0.252495
204,20221101T111527,0.250845
205,20221101T113504,0.15739
206,20221101T113907,0.135044
207,20221101T122900,0.267512
208,20221101T123400,0.012284
209,20221101T124541,0.156784
210,20221101T125515,0.230756
211,20221101T132309,0.031218
212,20221101T133000,0.252495
213,20221101T142900,0.196324
214,20221101T144100,0.14837
215,20221101T144945,0.045796
216,20221101T145500,0.210041
217,20221101T170059,0.102558
218,20221101T180200,0.05652
219,20221101T185732,0.134971
220,20221101T191117,0.14262
221,20221101T200154,-0.073877
222,20221101T210036,0.228236
223,20221102T160939,0.225928
224,20221104T130700,0.124479
225,20221104T143000,-0.068031
226,20221104T151605,0.029588
227,20221104T160647,-0.056336
228,20221104T171313,0.158543
229,20221104T182900,0.121703
230,20221104T210605,0.177043
231,20221107T123458,0.090687
232,20221107T190700,0.073218
233,20221108T140012,0.212812
234,20221108T143700,0.280269
235,20221108T152700,-0.021658
236,20221110T131929,-0.14866
237,20221110T135343,-0.007213
238,20221111T153300,-0.114974
239,20221111T170800,-0.078331
240,20221111T181700,-0.026931
241,20221111T211500,0.10833
242,20221111T213000,0.212949
243,20221112T160300,0.129447
244,20221112T160816,-0.062832
245,20221113T221420,-0.233329
246,20221114T065020,-0.106803
247,20221114T121036,0.141259
248,20221114T121621,-0.02686
249,20221114T123711,0.014569
250,20221201T130900,0.139104
251,20221201T143000,0.240405
252,20221201T163143,0.062274
253,20221202T110946,-0.019446
254,20221202T125500,0.100967
255,20221202T130700,0.307027
256,20221202T134500,0.143982
257,20221202T183024,-0.058739
258,20221205T130029,0.277616
259,20221205T164612,0.22487
260,20221205T180300,0.05918
261,20221205T223500,0.395768
262,20221207T145121,-0.16086
263,20221207T164839,0.191571
264,20221207T170615,0.133675
265,20221207T213148,0.158543
266,20221208T133529,0.085551
267,20221208T151500,0.213073
268,20221208T184800,0.121093
269,20221208T191600,0.052895
270,20221209T104100,0.069409
271,20221209T112004,0.248062
272,20221209T130500,0.324762
273,20221209T130500,0.324762
274,20221209T173100,0.181752
275,20221209T200419,0.113659
276,20221212T105200,0.273675
277,20221212T110311,0.063817
278,20221212T152300,0.030998
279,20221212T224521,0.177579
280,20221213T105700,0.27901
281,20221213T124400,0.356026
282,20221213T153654,0.134402
283,20221213T164306,0.151203
284,20221213T172800,0.249715
285,20221213T201900,0.195778
286,20221214T163900,0.059767
287,20221214T164014,0.520318
288,20221214T164550,0.176394
289,20221215T130555,-0.090462
290,20221215T151500,0.342798
291,20221216T130700,0.012247
292,20221216T172400,-0.078518
293,20221217T012000,0.202971
294,20221217T090000,0.226202
295,20221219T115000,0.105683
296,20221219T115000,0.110635
297,20221219T164155,0.231878
298,20221219T224520,0.123483
299,20221220T112005,0.195591
300,20230101T160000,0.119438
301,20230101T200318,0.236053
302,20230103T143700,0.330508
303,20230103T174500,0.185346
304,20230103T185315,0.091668
305,20230103T194700,0.135584
306,20230103T214425,-0.023498
307,20230103T225023,0.011987
308,20230104T013800,-0.058324
309,20230104T080000,0.315234
310,20230104T124800,-0.077784
311,20230104T190300,0.313042
312,20230105T150700,0.322999
313,20230105T153556,-0.106642
314,20230106T130000,0.07013
315,20230106T130200,0.170039
316,20230106T135000,0.031089
317,20230106T154100,0.223203
318,20230106T194716,0.349969
319,20230106T224519,0.169362
320,20230107T111000,0.217747
321,20230107T181100,0.076829
322,20230109T131719,0.164996
323,20230109T150400,0.085516
324,20230109T212946,0.353513
325,20230110T100000,0.184776
326,20230110T112000,0.071677
327,20230110T132700,0.224428
328,20230110T160229,0.158543
329,20230110T163215,0.186236
330,20230111T112008,0.217457
331,20230111T143800,0.14411
332,20230111T151500,0.304171
333,20230112T140011,0.224417
334,20230112T140300,0.070965
335,20230112T153942,0.230675
336,20230112T224537,0.159029
337,20230113T130000,0.081523
338,20230113T155800,0.14614
339,20230113T163900,-0.105002
340,20230113T200425,0.228448
341,20230114T125000,0.092997
342,20230116T173300,0.173903
343,20230117T110320,0.035881
344,20230117T112007,0.184127
345,20230117T134848,0.159656
346,20230117T143600,0.237767
347,20230117T164010,0.476014
348,20230117T224800,0.107314
349,20230118T131900,0.086229
350,20230201T145300,0.288835
351,20230201T154400,0.150526
352,20230201T185600,0.121011
353,20230201T215700,0.067188
354,20230202T113000,0.048153
355,20230202T113423,0.049974
356,20230202T114500,0.128845
357,20230202T122500,-0.19533
358,20230202T130508,0.139593
359,20230202T135800,0.285541
360,20230202T135949,0.219678
361,20230202T153612,0.12997
362,20230202T153647,0.170354
363,20230202T153900,0.0706
364,20230202T160400,0.077765
365,20230202T162655,0.111784
366,20230202T171538,0.189307
367,20230202T184900,0.057254
368,20230202T190300,-0.02413
369,20230202T190500,0.091578
370,20230202T194352,0.414211
371,20230202T221800,-0.177168
372,20230203T010020,0.248319
373,20230203T115600,0.11528
374,20230203T130400,0.140112
375,20230203T135944,0.218864
376,20230203T141900,-0.004868
377,20230203T184300,-0.119635
378,20230203T223100,0.120009
379,20230206T124600,0.131174
380,20230207T155000,0.183202
381,20230208T140000,0.317167
382,20230208T150500,0.133243
383,20230209T140012,0.217503
384,20230210T130018,0.10041
385,20230210T210141,0.158543
386,20230211T193100,0.266094
387,20230213T103300,0.132272
388,20230213T110000,0.319489
389,20230213T110000,0.324015
390,20230213T220800,0.04817
391,20230214T131703,0.171257
392,20230216T113045,0.123987
393,20230216T151700,0.245552
394,20230216T160000,0.196944
395,20230217T141500,0.275331
396,20230217T163900,0.0
397,20230220T133000,0.276352
398,20230221T154500,0.258893
399,20230222T123000,0.166219
400,20230301T141911,0.009788
401,20230301T142500,0.109971
402,20230301T145023,0.28472
403,20230301T150700,-0.046672
404,20230301T164900,-0.233914
405,20230301T165900,-0.058181
406,20230301T170727,0.156976
407,20230302T133000,0.446327
408,20230302T145500,0.15573
409,20230302T154500,0.152965
410,20230303T105800,0.134534
411,20230303T131032,0.045661
412,20230303T143456,0.074065
413,20230303T164011,0.450939
414,20230303T224524,0.191082
415,20230304T135900,0.192417
416,20230306T112008,0.248158
417,20230306T113650,0.052868
418,20230306T131600,0.104187
419,20230306T165743,0.143962
420,20230307T121200,0.108754
421,20230307T140012,0.234907
422,20230307T144000,0.254958
423,20230307T160000,-0.014488
424,20230307T183300,0.132856
425,20230308T003406,0.167756
426,20230308T125741,0.078037
427,20230308T144500,0.110951
428,20230308T211746,0.199947
429,20230308T225400,-0.11505
430,20230309T130814,0.218996
431,20230309T141828,0.169334
432,20230309T143300,0.009581
433,20230309T143700,0.099989
434,20230309T163051,0.129841
