,time,scores
0,20220301T203854,0.031452
1,20220302T030642,-0.14593
2,20220302T080000,-0.520567
3,20220302T080000,-0.162332
4,20220302T093019,-0.093892
5,20220302T123812,-0.221891
6,20220302T133018,0.056736
7,20220303T065619,0.010325
8,20220303T080000,-0.54507
9,20220303T164723,-0.039877
10,20220303T172517,-0.04104
11,20220303T210336,-0.009081
12,20220304T080000,-0.260707
13,20220304T080000,-0.387534
14,20220304T151933,-0.061315
15,20220304T160643,-0.095044
16,20220304T185000,0.072907
17,20220304T210050,0.288176
18,20220304T213559,0.176178
19,20220305T022509,-0.249991
20,20220305T050036,-0.032453
21,20220305T080000,-0.349264
22,20220305T105013,-0.440789
23,20220305T110403,-0.448779
24,20220305T151200,0.082638
25,20220306T160043,0.277901
26,20220306T203746,-0.484862
27,20220306T221200,0.032512
28,20220307T050054,0.029807
29,20220307T070000,0.065314
30,20220307T075706,0.070558
31,20220307T080000,-0.182906
32,20220307T082800,0.08591
33,20220307T113100,0.019783
34,20220307T120000,0.008423
35,20220307T120000,0.009702
36,20220307T123000,0.029722
37,20220307T123331,-0.37646
38,20220307T125547,-0.245551
39,20220307T130100,-0.263773
40,20220307T130100,-0.261001
41,20220307T130100,-0.263752
42,20220307T135700,-0.066837
43,20220307T140000,0.112165
44,20220307T142000,-0.169237
45,20220307T144300,-0.302677
46,20220307T150459,-0.184517
47,20220307T150459,-0.184517
48,20220307T151451,-0.115669
49,20220307T153223,-0.008047
50,20220401T022600,-0.109046
51,20220401T043049,0.197464
52,20220401T053841,-0.069865
53,20220401T060400,0.051028
54,20220401T093252,-0.609741
55,20220401T101500,0.028177
56,20220401T102008,0.077727
57,20220401T102008,0.087454
58,20220401T105200,-0.201736
59,20220401T111040,-0.174092
60,20220401T114500,0.049715
61,20220401T120039,0.079528
62,20220401T121300,-0.079516
63,20220401T121727,0.051059
64,20220401T123000,-0.000882
65,20220401T130653,0.20455
66,20220401T132123,-0.016447
67,20220401T140456,-0.011867
68,20220401T141138,-0.481162
69,20220401T141352,-0.040714
70,20220401T141945,-0.230449
71,20220401T142200,0.155585
72,20220401T144100,0.019668
73,20220401T144900,0.250488
74,20220401T152121,-0.078277
75,20220401T153013,0.132333
76,20220401T153013,0.133656
77,20220401T160000,0.143432
78,20220401T160500,-0.317871
79,20220401T171100,-0.077198
80,20220401T180800,0.086628
81,20220401T182006,-0.067329
82,20220401T185600,0.045133
83,20220401T193026,0.018147
84,20220401T193800,0.014665
85,20220401T201958,-0.291351
86,20220401T203800,0.349413
87,20220401T204311,-0.133033
88,20220401T225043,-0.187379
89,20220401T225900,-0.109057
90,20220401T231900,-0.253399
91,20220402T040004,0.000129
92,20220402T040400,0.030031
93,20220402T121100,0.26394
94,20220402T122000,0.326072
95,20220402T151134,0.035292
96,20220402T152300,0.07387
97,20220402T155334,0.01524
98,20220402T172039,0.006834
99,20220402T225800,-0.001224
100,20220501T034245,-0.075815
101,20220501T120500,-0.112676
102,20220501T130300,-0.117024
103,20220501T131113,0.069658
104,20220501T195841,-0.045991
105,20220501T203323,-0.121368
106,20220502T000022,-0.347652
107,20220502T033831,-0.375222
108,20220502T033831,-0.337987
109,20220502T041936,-0.270804
110,20220502T043600,-0.306424
111,20220502T060000,0.042971
112,20220502T060000,0.042971
113,20220502T064000,-0.012446
114,20220502T070000,-0.342269
115,20220502T081240,-0.087162
116,20220502T084000,0.012348
117,20220502T084000,0.092779
118,20220502T090300,-0.122611
119,20220502T091000,0.013053
120,20220502T091600,-0.219222
121,20220502T093000,-0.056689
122,20220502T100000,0.054314
123,20220502T100000,0.016412
124,20220502T100600,-0.119304
125,20220502T102006,0.045915
126,20220502T102308,-0.024775
127,20220502T103300,0.028067
128,20220502T105300,-0.363788
129,20220502T110529,-0.055506
130,20220502T110602,-0.020128
131,20220502T113000,0.023671
132,20220502T113000,0.023671
133,20220502T114000,-0.165058
134,20220502T115558,0.028594
135,20220502T120000,-0.196238
136,20220502T120014,-0.233856
137,20220502T120024,-0.044033
138,20220502T120442,-0.341549
139,20220502T121700,-0.347167
140,20220502T122029,-0.025177
141,20220502T123003,-0.140269
142,20220502T123023,0.189291
143,20220502T125000,0.011213
144,20220502T130000,0.004182
145,20220502T130007,0.06712
146,20220502T130817,-0.097136
147,20220502T131000,0.011866
148,20220502T131949,-0.034019
149,20220502T133200,-0.104015
150,20220601T044400,0.065477
151,20220601T070000,-0.008286
152,20220601T073700,0.119061
153,20220601T073700,0.119061
154,20220601T080000,0.202314
155,20220601T092249,0.080512
156,20220601T100030,0.141844
157,20220601T101800,0.113969
158,20220601T101800,0.113969
159,20220601T101845,0.058389
160,20220601T102006,0.04047
161,20220601T102008,0.031631
162,20220601T102009,0.044436
163,20220601T113000,-0.075294
164,20220601T113843,-0.192204
165,20220601T122850,0.001293
166,20220601T123000,0.248353
167,20220601T124500,0.107276
168,20220601T125200,0.053701
169,20220601T130000,0.076438
170,20220601T130001,0.161589
171,20220601T131500,-0.057196
172,20220601T132215,0.029477
173,20220601T132447,0.053527
174,20220601T132800,-0.045986
175,20220601T133000,0.103526
176,20220601T133036,0.374724
177,20220601T135500,-0.060812
178,20220601T135900,0.091006
179,20220601T141125,0.014505
180,20220601T143000,-0.037409
181,20220601T144940,0.009398
182,20220601T150000,0.061972
183,20220601T152200,-0.074187
184,20220601T154250,-0.018102
185,20220601T155603,0.095609
186,20220601T155629,-0.260453
187,20220601T161156,-0.116183
188,20220601T161259,0.158689
189,20220601T170207,0.013158
190,20220601T185333,0.034872
191,20220601T201433,-0.003062
192,20220601T205400,0.091006
193,20220601T210203,-0.032907
194,20220601T211100,-0.179765
195,20220601T214519,0.015685
196,20220601T224400,-0.110461
197,20220601T225000,-0.110461
198,20220602T003500,0.041918
199,20220602T033046,0.250899
200,20220701T002500,0.056472
201,20220701T033555,-0.007085
202,20220701T051100,-0.093944
203,20220701T060000,-0.006996
204,20220701T082248,0.230001
205,20220701T090600,0.026456
206,20220701T102005,0.03971
207,20220701T102009,0.051329
208,20220701T103600,-0.058685
209,20220701T110000,0.049977
210,20220701T110100,0.095759
211,20220701T110500,0.004374
212,20220701T113500,0.206943
213,20220701T114700,-0.109903
214,20220701T115800,0.068847
215,20220701T120000,0.080406
216,20220701T120000,0.011645
217,20220701T120000,-0.147289
218,20220701T124244,0.046583
219,20220701T130905,-0.000156
220,20220701T131209,-0.204064
221,20220701T131500,-0.047642
222,20220701T132029,0.032183
223,20220701T133000,0.105166
224,20220701T133000,0.03569
225,20220701T133013,-0.815273
226,20220701T133535,-0.02161
227,20220701T134800,-0.104934
228,20220701T135400,-0.186158
229,20220701T135409,-0.274328
230,20220701T140010,-0.037427
231,20220701T141044,-0.069146
232,20220701T144500,0.034838
233,20220701T145128,0.011159
234,20220701T150000,0.018
235,20220701T150112,-0.013963
236,20220701T151035,-0.362552
237,20220701T154700,-0.118161
238,20220701T163500,-0.646466
239,20220701T180000,0.038914
240,20220701T180543,-0.013269
241,20220701T184415,-0.139301
242,20220701T190041,0.057693
243,20220701T192600,0.096816
244,20220701T192738,-0.201736
245,20220701T193406,-0.008995
246,20220701T194302,-0.12438
247,20220701T195338,-0.244997
248,20220701T205300,-0.172009
249,20220701T205500,0.105253
250,20220801T030028,-0.100725
251,20220801T030659,0.251611
252,20220801T043000,0.415358
253,20220801T060000,0.136304
254,20220801T061058,0.320165
255,20220801T063442,0.162784
256,20220801T063500,-0.146998
257,20220801T070302,0.292966
258,20220801T102006,0.189819
259,20220801T102008,0.228475
260,20220801T102009,0.241226
261,20220801T102010,0.309148
262,20220801T102010,0.281285
263,20220801T103000,0.009871
264,20220801T104800,0.265473
265,20220801T110500,0.304023
266,20220801T120000,0.267446
267,20220801T121000,0.187126
268,20220801T121400,0.170269
269,20220801T121924,-0.066555
270,20220801T123400,0.203294
271,20220801T123706,0.375284
272,20220801T124300,0.414614
273,20220801T124300,0.18589
274,20220801T124500,0.18273
275,20220801T130013,0.226393
276,20220801T130348,0.187234
277,20220801T135300,-0.089326
278,20220801T140000,0.171746
279,20220801T140352,-0.166286
280,20220801T144648,0.050271
281,20220801T150256,0.283448
282,20220801T150827,-0.052035
283,20220801T151235,0.152426
284,20220801T151500,0.231953
285,20220801T152300,0.254011
286,20220801T155221,0.080144
287,20220801T160100,0.205876
288,20220801T163700,0.386889
289,20220801T180435,0.265463
290,20220801T191419,0.245483
291,20220801T200900,0.229586
292,20220801T201000,0.248208
293,20220801T202700,-0.095307
294,20220801T202800,0.07579
295,20220801T202800,0.189876
296,20220801T203130,0.075045
297,20220801T204129,0.146485
298,20220801T205000,0.083671
299,20220801T205200,0.157326
300,20220901T020053,0.229855
301,20220901T020057,0.229716
302,20220901T020100,0.205545
303,20220901T020103,0.312631
304,20220901T021358,-0.067209
305,20220901T023143,0.03829
306,20220901T035454,-0.142931
307,20220901T040025,0.091196
308,20220901T040557,0.228166
309,20220901T050000,0.141616
310,20220901T054808,0.17218
311,20220901T054808,0.172185
312,20220901T054808,0.199113
313,20220901T102006,0.237671
314,20220901T102007,0.284835
315,20220901T102007,0.217057
316,20220901T102008,0.223482
317,20220901T103300,0.161351
318,20220901T110000,0.221665
319,20220901T110019,0.236322
320,20220901T112000,0.267016
321,20220901T112750,0.045871
322,20220901T113215,-0.031442
323,20220901T113500,-0.331758
324,20220901T115500,0.290045
325,20220901T115800,0.197739
326,20220901T120000,0.211296
327,20220901T122211,0.047622
328,20220901T122300,0.041502
329,20220901T123000,0.130588
330,20220901T123500,0.019569
331,20220901T124400,-0.1265
332,20220901T130000,0.249829
333,20220901T133005,0.212829
334,20220901T140823,-0.087932
335,20220901T141551,0.148936
336,20220901T141800,0.292663
337,20220901T142153,-0.063093
338,20220901T142153,0.123299
339,20220901T143000,0.249796
340,20220901T145729,0.284385
341,20220901T150349,0.004906
342,20220901T150800,0.070057
343,20220901T151300,-0.068204
344,20220901T153129,0.097716
345,20220901T154800,0.009674
346,20220901T160000,0.020983
347,20220901T170248,-0.053723
348,20220901T172000,0.337401
349,20220901T172052,0.361337
350,20221001T002455,0.131852
351,20221001T004500,0.226272
352,20221001T055100,0.117993
353,20221001T120000,0.147284
354,20221001T133900,0.183035
355,20221001T141000,0.209898
356,20221001T145300,0.263991
357,20221001T165027,0.203213
358,20221001T183255,0.0546
359,20221001T185400,0.149331
360,20221001T194006,0.239443
361,20221002T062700,0.175279
362,20221002T114600,0.116248
363,20221002T130300,0.131597
364,20221002T150001,0.279893
365,20221002T151900,0.168101
366,20221002T152017,-0.014303
367,20221002T182200,0.283041
368,20221002T190012,-0.004901
369,20221002T211121,0.03149
370,20221002T220641,0.206586
371,20221003T003012,0.187883
372,20221003T040055,-0.019575
373,20221003T040400,-0.079084
374,20221003T052624,-0.014729
375,20221003T052624,-0.070606
376,20221003T052624,-0.075425
377,20221003T052624,-0.181421
378,20221003T054029,-0.030421
379,20221003T084930,0.063274
380,20221003T090400,0.248234
381,20221003T094500,0.254587
382,20221003T095908,0.127205
383,20221003T102006,0.341291
384,20221003T102007,0.244288
385,20221003T102009,0.298507
386,20221003T102010,0.274399
387,20221003T103800,0.448522
388,20221003T110000,0.352934
389,20221003T114241,0.309053
390,20221003T115800,0.176227
391,20221003T120000,0.194944
392,20221003T123400,0.368287
393,20221003T131000,0.398256
394,20221003T133000,0.250032
395,20221003T134000,0.384727
396,20221003T140600,0.081539
397,20221003T140600,0.221533
398,20221003T142007,0.155975
399,20221003T142021,0.322755
400,20221101T060000,0.305533
401,20221101T060034,0.185687
402,20221101T061453,0.236639
403,20221101T061628,0.180979
404,20221101T061823,0.357794
405,20221101T064242,0.215624
406,20221101T064442,0.163093
407,20221101T072907,0.185767
408,20221101T073445,0.416825
409,20221101T074720,0.054795
410,20221101T082646,0.321479
411,20221101T085157,0.169422
412,20221101T091300,0.059993
413,20221101T092326,0.188487
414,20221101T095018,-0.104024
415,20221101T095333,0.182456
416,20221101T095400,0.065605
417,20221101T095500,0.226296
418,20221101T100000,0.376456
419,20221101T100000,0.029218
420,20221101T100000,0.263567
421,20221101T102006,0.185075
422,20221101T102008,0.138824
423,20221101T102800,0.119663
424,20221101T112146,0.170637
425,20221101T114500,0.164267
426,20221101T115000,0.038365
427,20221101T120000,0.427241
428,20221101T122700,0.238835
429,20221101T122717,0.11414
430,20221101T130000,0.425497
431,20221101T130000,0.205657
432,20221101T130000,0.414792
433,20221101T130018,0.248301
434,20221101T132715,0.293969
435,20221101T132909,0.153445
436,20221101T132930,0.349177
437,20221101T133000,0.08566
438,20221101T135723,-0.216463
439,20221101T140000,0.214694
440,20221101T144500,0.19987
441,20221101T145400,0.082228
442,20221101T150400,0.184135
443,20221101T154000,0.132413
444,20221101T160000,0.231998
445,20221101T160314,0.128085
446,20221101T190046,0.057186
447,20221101T191000,-0.152065
448,20221101T194305,0.195459
449,20221101T200100,0.186
450,20221201T004113,0.161181
451,20221201T024150,0.057344
452,20221201T051500,0.375043
453,20221201T051500,0.368822
454,20221201T065810,0.03649
455,20221201T070000,0.350532
456,20221201T070046,0.267848
457,20221201T070050,0.227252
458,20221201T070053,0.283158
459,20221201T070057,0.283278
460,20221201T075700,0.52419
461,20221201T075700,0.52419
462,20221201T080000,0.156234
463,20221201T090000,0.435121
