,time,scores
0,20220304T150007,0.277246
1,20220304T172200,0.125201
2,20220304T173700,-0.218787
3,20220307T112008,0.040195
4,20220307T153223,-0.008047
5,20220308T130100,-0.25219
6,20220308T144100,-0.236214
7,20220309T110024,0.207992
8,20220309T132100,-0.160793
9,20220309T173800,-0.144397
10,20220309T174200,0.219469
11,20220309T185200,0.028328
12,20220310T143900,-0.261538
13,20220310T155300,0.212307
14,20220310T155700,-0.208094
15,20220310T161100,-0.175263
16,20220310T161156,-0.175263
17,20220310T170600,0.053724
18,20220310T172234,-0.190106
19,20220310T221200,-0.144718
20,20220310T225020,0.005367
21,20220311T000500,-0.018092
22,20220311T111900,-0.102321
23,20220311T141600,-0.116171
24,20220311T153000,-0.267275
25,20220311T161825,0.143837
26,20220311T185400,0.084493
27,20220311T224521,-0.007523
28,20220312T000200,-0.128213
29,20220312T021800,-0.128213
30,20220312T130000,-0.265398
31,20220314T072600,0.025664
32,20220314T134355,-0.182069
33,20220314T140007,0.198078
34,20220314T152421,0.006675
35,20220314T161018,-0.092404
36,20220314T163637,0.08177
37,20220314T174206,-0.137104
38,20220314T180104,0.03401
39,20220314T203034,-0.248565
40,20220314T205850,-0.024266
41,20220314T211434,-0.147726
42,20220314T212400,-0.144701
43,20220315T023817,-0.03629
44,20220315T102009,0.022208
45,20220315T133933,-0.196848
46,20220315T160257,-0.333441
47,20220315T173726,0.150179
48,20220315T180847,-0.135188
49,20220315T204207,-0.155395
50,20220401T121300,-0.079516
51,20220401T162527,-0.053924
52,20220401T204618,-0.045841
53,20220401T214519,0.013914
54,20220403T170000,0.130394
55,20220404T121300,-0.041186
56,20220404T140600,0.113404
57,20220404T150640,-0.085339
58,20220404T160957,0.011272
59,20220404T161726,-0.006154
60,20220404T163509,-0.05936
61,20220404T212852,0.066309
62,20220404T213835,0.066309
63,20220405T104600,-0.157305
64,20220405T105750,-0.216964
65,20220405T145600,0.122143
66,20220405T152200,0.060526
67,20220405T181500,-0.203004
68,20220405T183001,0.077416
69,20220405T203608,-0.047989
70,20220405T204000,-0.179453
71,20220405T220624,0.012139
72,20220405T225600,-0.074633
73,20220406T123700,-0.05774
74,20220406T142000,0.016051
75,20220406T142000,0.049702
76,20220406T143008,-0.043449
77,20220406T151134,-0.059572
78,20220406T174200,-0.256491
79,20220406T195207,0.019961
80,20220406T202800,-0.255778
81,20220407T021200,-0.090644
82,20220407T120400,0.146493
83,20220407T125229,-0.030105
84,20220407T154700,0.068755
85,20220407T154741,-0.282734
86,20220407T155653,-0.061383
87,20220407T160000,0.087274
88,20220407T171622,-0.033332
89,20220407T210826,-0.29034
90,20220408T110000,0.129835
91,20220408T135400,0.185402
92,20220408T151500,0.193217
93,20220408T153337,-0.147566
94,20220408T153709,-0.019431
95,20220408T182004,-0.029664
96,20220408T183000,0.03838
97,20220408T203400,-0.000598
98,20220408T210126,-0.000887
99,20220409T011000,-0.032796
100,20220502T102006,0.068659
101,20220502T123100,0.117292
102,20220502T123700,0.08567
103,20220502T140200,-0.085378
104,20220502T150405,-0.007266
105,20220502T201311,-0.12148
106,20220502T224028,-0.233173
107,20220502T231700,0.045008
108,20220503T133000,0.073733
109,20220503T143300,0.157908
110,20220503T144800,0.018978
111,20220503T164700,-0.081667
112,20220504T102007,0.066676
113,20220504T102008,0.084314
114,20220504T102008,0.062995
115,20220504T140000,-0.018957
116,20220504T140400,0.132755
117,20220504T144800,0.040111
118,20220504T145400,-0.00144
119,20220504T145700,-0.099353
120,20220504T145900,0.161426
121,20220504T150000,0.036445
122,20220504T151900,0.014908
123,20220504T154200,0.019826
124,20220505T114800,0.120222
125,20220505T134100,0.12031
126,20220505T134400,-0.160004
127,20220505T134400,-0.165879
128,20220505T134800,0.127689
129,20220505T142800,0.0802
130,20220505T144400,-0.124051
131,20220505T144900,0.013932
132,20220505T145400,-0.179439
133,20220505T150300,0.080107
134,20220505T152100,0.09057
135,20220506T090022,-0.336747
136,20220506T121400,0.09447
137,20220506T140900,-0.11684
138,20220506T143400,0.069108
139,20220506T143700,0.015965
140,20220506T145300,0.005491
141,20220506T145500,0.02272
142,20220506T150043,0.37147
143,20220506T150100,0.125092
144,20220506T161600,-0.019493
145,20220506T161700,-0.098249
146,20220506T171635,0.000963
147,20220509T100000,0.053428
148,20220509T100000,0.078672
149,20220509T103000,0.128857
150,20220601T113000,0.042378
151,20220601T123200,-0.052991
152,20220601T124000,0.003389
153,20220601T135600,0.034763
154,20220601T135800,0.020338
155,20220601T140000,0.014956
156,20220601T141221,-0.034313
157,20220601T160211,0.051383
158,20220601T214518,0.009882
159,20220602T132700,0.031029
160,20220602T142500,0.100177
161,20220602T143000,0.089645
162,20220602T151000,-0.033394
163,20220602T162900,0.124008
164,20220602T170300,0.198319
165,20220603T140000,0.032572
166,20220603T140500,-0.10297
167,20220603T143300,0.111145
168,20220603T151300,0.04665
169,20220603T161300,0.094396
170,20220604T142900,-0.029812
171,20220605T125800,-0.143797
172,20220606T104550,-0.100147
173,20220606T131800,0.024841
174,20220606T132100,0.022842
175,20220606T144600,-0.020925
176,20220606T150300,0.178551
177,20220606T150944,0.020434
178,20220606T160000,0.002873
179,20220606T165200,0.103903
180,20220606T165735,0.073324
181,20220607T130200,0.004611
182,20220607T140800,0.09124
183,20220607T141000,0.04915
184,20220607T144400,0.083257
185,20220607T161300,0.199589
186,20220607T162100,0.160141
187,20220607T175000,-0.001188
188,20220607T200333,0.089387
189,20220607T200726,0.089387
190,20220607T214519,0.019546
191,20220608T125511,-0.038173
192,20220608T132342,-0.157441
193,20220608T140800,0.040389
194,20220608T153400,0.163377
195,20220608T165700,0.124851
196,20220608T190632,-0.027122
197,20220609T134400,0.107323
198,20220609T135800,0.098992
199,20220609T140200,0.158021
200,20220701T120708,0.0507
201,20220701T122000,-0.025985
202,20220701T134800,-0.104934
203,20220701T144200,-0.150743
204,20220701T173500,0.16394
205,20220701T204100,-0.113038
206,20220701T204549,-0.117141
207,20220702T130700,0.010186
208,20220702T194117,0.078377
209,20220704T102008,0.080826
210,20220704T124000,-0.000783
211,20220705T071600,-0.059145
212,20220705T101200,0.02856
213,20220705T121700,-0.153501
214,20220705T130800,-0.05597
215,20220705T131918,0.07701
216,20220705T160730,-0.393292
217,20220705T164356,0.156932
218,20220705T171500,-0.165529
219,20220705T203000,0.014596
220,20220706T020000,-0.121724
221,20220706T102008,0.029
222,20220706T114600,0.026739
223,20220706T120700,-0.107036
224,20220706T145100,0.080917
225,20220706T163454,-0.049251
226,20220706T183100,-0.103801
227,20220706T191500,0.085385
228,20220706T204900,-0.000584
229,20220706T211900,-0.039985
230,20220706T215345,-0.077897
231,20220707T110300,-0.068961
232,20220707T122100,-0.007744
233,20220707T130011,0.047855
234,20220707T160532,-0.219645
235,20220707T214520,0.01559
236,20220708T102006,0.08932
237,20220708T130800,0.248508
238,20220708T133100,-0.085502
239,20220708T144300,0.038991
240,20220708T145100,0.010704
241,20220708T174200,0.112515
242,20220708T175640,-0.184098
243,20220708T190200,0.344818
244,20220708T191500,0.163486
245,20220708T195200,0.219849
246,20220708T201023,0.151109
247,20220708T203000,0.152178
248,20220708T204300,0.078448
249,20220708T211100,0.079167
250,20220801T101300,0.055107
251,20220801T102010,0.309148
252,20220801T121000,0.187126
253,20220801T171100,0.178003
254,20220801T171133,0.009533
255,20220801T172200,0.260197
256,20220801T175206,-0.073063
257,20220801T180435,0.265463
258,20220801T195123,0.205364
259,20220801T200249,0.036359
260,20220801T205200,0.157326
261,20220802T092100,0.204751
262,20220802T115800,0.108445
263,20220802T144100,0.233118
264,20220802T181720,0.324048
265,20220803T062711,0.127534
266,20220803T104607,0.052144
267,20220803T132600,0.358537
268,20220803T135000,0.112195
269,20220803T135900,0.011958
270,20220803T174031,0.093442
271,20220803T195713,0.150369
272,20220804T105200,0.232547
273,20220804T130011,0.221961
274,20220804T134300,0.155368
275,20220804T154648,0.340368
276,20220804T180800,0.340539
277,20220804T213554,0.171182
278,20220805T110000,0.225674
279,20220805T110000,0.207648
280,20220805T140100,0.091521
281,20220805T185700,0.162472
282,20220805T190409,0.245712
283,20220806T092100,0.208508
284,20220806T134400,0.255536
285,20220807T183937,0.257052
286,20220808T122000,0.163878
287,20220808T154001,0.157057
288,20220808T204900,0.090813
289,20220809T135500,0.04119
290,20220810T100205,0.081764
291,20220810T100205,0.081764
292,20220810T110250,0.081764
293,20220810T134437,0.058521
294,20220810T210749,0.334648
295,20220811T111600,0.362779
296,20220811T124700,0.303459
297,20220811T135400,0.164744
298,20220811T185200,0.349426
299,20220811T202400,0.228974
300,20220901T123832,0.187405
301,20220901T211500,0.068113
302,20220902T033031,0.248591
303,20220902T120000,0.346156
304,20220902T123013,0.022033
305,20220902T162300,0.295221
306,20220902T221600,0.117406
307,20220902T222500,0.094149
308,20220904T075324,0.268779
309,20220905T102009,0.289321
310,20220905T210600,0.213468
311,20220905T210800,0.419197
312,20220906T090000,0.252539
313,20220906T092000,0.348042
314,20220906T100000,0.37958
315,20220906T102007,0.310774
316,20220906T113000,-0.10863
317,20220906T120000,0.386741
318,20220906T120000,0.453986
319,20220906T120000,0.046448
320,20220906T121839,0.421127
321,20220906T133500,0.180853
322,20220906T171900,0.160285
323,20220906T171900,0.162729
324,20220906T190800,0.102581
325,20220906T204522,0.126408
326,20220906T214523,0.175525
327,20220907T103000,0.465135
328,20220907T103600,0.224824
329,20220907T134500,0.370542
330,20220907T142600,0.186671
331,20220907T144431,0.228302
332,20220907T164051,0.305358
333,20220907T170940,0.305371
334,20220907T195100,-0.049964
335,20220907T205000,0.38385
336,20220907T213047,0.146703
337,20220908T053037,0.108018
338,20220908T102006,0.295978
339,20220908T102009,0.314155
340,20220908T171026,0.249138
341,20220908T210400,0.409933
342,20220908T232800,-0.227695
343,20220909T122852,0.038476
344,20220909T124500,0.136121
345,20220909T132925,0.246308
346,20220909T150554,0.300494
347,20220909T162900,0.165045
348,20220909T194500,0.325069
349,20220912T024125,0.11468
350,20221002T203237,0.25897
351,20221003T102010,0.274399
352,20221003T121700,0.08999
353,20221003T135300,0.202651
354,20221003T140600,0.081539
355,20221003T141200,-0.002432
356,20221003T171500,0.116338
357,20221003T172025,0.116338
358,20221003T180555,0.133297
359,20221003T193946,0.160819
360,20221003T204800,0.128448
361,20221003T215331,-0.00712
362,20221004T122300,0.170522
363,20221004T123100,0.226084
364,20221004T131243,0.198421
365,20221004T133000,0.242871
366,20221004T150500,0.494656
367,20221004T161011,0.338216
368,20221004T164853,0.033784
369,20221004T214529,0.193201
370,20221004T215500,0.295307
371,20221004T215500,0.302034
372,20221005T095200,0.130866
373,20221005T122100,0.1268
374,20221005T141000,0.379883
375,20221005T192500,0.261156
376,20221006T113000,0.253593
377,20221006T141100,0.048286
378,20221006T144800,0.041332
379,20221006T154346,0.052832
380,20221006T160219,0.163554
381,20221006T225327,0.045302
382,20221007T101800,0.40702
383,20221007T102005,0.249925
384,20221007T121800,0.105761
385,20221007T130011,0.219766
386,20221007T140008,0.19583
387,20221007T145200,0.134551
388,20221007T160256,-0.036154
389,20221007T162100,-0.120954
390,20221007T163327,0.155154
391,20221007T170721,0.228894
392,20221007T194700,0.02428
393,20221007T214900,0.190971
